ModelGeography,SubGeography1,SubGeography2,Year,BOF+EAF+IF
INDIA,ER,BR,2034,0
INDIA,ER,JH,2034,31.09203132
INDIA,ER,OD,2034,53.9111952
INDIA,ER,SK,2034,0
INDIA,ER,WB,2034,9.628984092
INDIA,NER,AS,2034,0
INDIA,NER,NE,2034,0
INDIA,NR,DL,2034,0
INDIA,NR,HP,2034,0
INDIA,NR,HR,2034,0
INDIA,NR,JK,2034,0
INDIA,NR,PB,2034,0
INDIA,NR,RJ,2034,0
INDIA,NR,UK,2034,0
INDIA,NR,UP,2034,0
INDIA,SR,AP,2034,9.17046104
INDIA,SR,KA,2034,25.86903691
INDIA,SR,KL,2034,0
INDIA,SR,TN,2034,1.389463794
INDIA,SR,TS,2034,0
INDIA,WR,CG,2034,13.89463794
INDIA,WR,GA,2034,0
INDIA,WR,GJ,2034,8.336782763
INDIA,WR,MH,2034,13.89463794
INDIA,WR,MP,2034,0
INDIA,ER,BR,2035,0
INDIA,ER,JH,2035,32.02479226
INDIA,ER,OD,2035,55.52853106
INDIA,ER,SK,2035,0
INDIA,ER,WB,2035,9.917853614
INDIA,NER,AS,2035,0
INDIA,NER,NE,2035,0
INDIA,NR,DL,2035,0
INDIA,NR,HP,2035,0
INDIA,NR,HR,2035,0
INDIA,NR,JK,2035,0
INDIA,NR,PB,2035,0
INDIA,NR,RJ,2035,0
INDIA,NR,UK,2035,0
INDIA,NR,UP,2035,0
INDIA,SR,AP,2035,9.445574871
INDIA,SR,KA,2035,26.64510802
INDIA,SR,KL,2035,0
INDIA,SR,TN,2035,1.431147708
INDIA,SR,TS,2035,0
INDIA,WR,CG,2035,14.31147708
INDIA,WR,GA,2035,0
INDIA,WR,GJ,2035,8.586886246
INDIA,WR,MH,2035,14.31147708
INDIA,WR,MP,2035,0
INDIA,ER,BR,2036,0
INDIA,ER,JH,2036,32.98553602
INDIA,ER,OD,2036,57.19438699
INDIA,ER,SK,2036,0
INDIA,ER,WB,2036,10.21538922
INDIA,NER,AS,2036,0
INDIA,NER,NE,2036,0
INDIA,NR,DL,2036,0
INDIA,NR,HP,2036,0
INDIA,NR,HR,2036,0
INDIA,NR,JK,2036,0
INDIA,NR,PB,2036,0
INDIA,NR,RJ,2036,0
INDIA,NR,UK,2036,0
INDIA,NR,UP,2036,0
INDIA,SR,AP,2036,9.728942117
INDIA,SR,KA,2036,27.44446126
INDIA,SR,KL,2036,0
INDIA,SR,TN,2036,1.474082139
