ModelGeography,SubGeography1,SubGeography2,Year,4W+IPT3W+IPT4W+2W+BUS+RAIL
INDIA,NR,UK,2017,13177.5359729736
INDIA,NR,UK,2018,13086.933274791047
INDIA,NR,UK,2019,12996.95351923865
INDIA,NR,UK,2020,13453.125
INDIA,NR,UK,2021,13360.627477968035
INDIA,NR,UK,2022,13268.76592650663
INDIA,NR,UK,2023,13177.5359729736
INDIA,NR,UK,2024,13086.933274791047
INDIA,NR,UK,2025,12835.048612541848
INDIA,NR,UK,2026,12587.484131151812
INDIA,NR,UK,2027,12344.182188336934
INDIA,NR,UK,2028,12106.540738160988
INDIA,NR,UK,2029,11873.028502662848
INDIA,NR,UK,2030,11643.59
INDIA,NR,UK,2031,11321.348589558313
INDIA,NR,UK,2032,11009.024081974698
INDIA,NR,UK,2033,10704.975766437748
INDIA,NR,UK,2034,10410.351756691589
INDIA,NR,UK,2035,10122.236493139742
INDIA,NR,UK,2036,9843.116247569047
INDIA,NR,UK,2037,9571.455005133177
INDIA,NR,UK,2038,9307.070173909668
INDIA,NR,UK,2039,9049.78330421651
INDIA,NR,UK,2040,8800.65
INDIA,NR,UK,2041,8557.021016892106
INDIA,NR,UP,2014,13453.125
INDIA,NR,UP,2015,13360.627477968035
INDIA,NR,UP,2016,13268.76592650663
INDIA,NR,UP,2017,13177.5359729736
INDIA,NR,UP,2018,13086.933274791047
INDIA,NR,UP,2019,12996.95351923865
INDIA,NR,UP,2020,13453.125
INDIA,NR,UP,2021,13360.627477968035
INDIA,NR,UP,2022,13268.76592650663
INDIA,NR,UP,2023,13177.5359729736
INDIA,NR,UP,2024,13086.933274791047
INDIA,NR,UP,2025,12835.048612541848
INDIA,NR,UP,2026,12587.484131151812
INDIA,NR,UP,2027,12344.182188336934
INDIA,NR,UP,2028,12106.540738160988
INDIA,NR,UP,2029,11873.028502662848
INDIA,NR,UP,2030,11643.59
INDIA,NR,UP,2031,11321.348589558313
INDIA,NR,UP,2032,11009.024081974698
INDIA,NR,UP,2033,10704.975766437748
INDIA,NR,UP,2034,10410.351756691589
INDIA,NR,UP,2035,10122.236493139742
INDIA,NR,UP,2036,9843.116247569047
INDIA,NR,UP,2037,9571.455005133177
INDIA,NR,UP,2038,9307.070173909668
INDIA,NR,UP,2039,9049.78330421651
INDIA,NR,UP,2040,8800.65
INDIA,NR,UP,2041,8557.021016892106
INDIA,SR,AP,2014,13453.125
INDIA,SR,AP,2015,13360.627477968035
INDIA,SR,AP,2016,13268.76592650663
INDIA,SR,AP,2017,13177.5359729736
INDIA,SR,AP,2018,13086.933274791047
INDIA,SR,AP,2019,12996.95351923865
INDIA,SR,AP,2020,13453.125
INDIA,SR,AP,2021,13360.627477968035
INDIA,SR,AP,2022,13268.76592650663
INDIA,SR,AP,2023,13177.5359729736
INDIA,SR,AP,2024,13086.933274791047
INDIA,SR,AP,2025,12835.048612541848
INDIA,SR,AP,2026,12587.484131151812
INDIA,SR,AP,2027,12344.182188336934
INDIA,SR,AP,2028,12106.540738160988
INDIA,SR,AP,2029,11873.028502662848
INDIA,SR,AP,2030,11643.59
INDIA,SR,AP,2031,11321.348589558313
INDIA,SR,AP,2032,11009.024081974698
INDIA,SR,AP,2033,10704.975766437748
INDIA,SR,AP,2034,10410.351756691589
INDIA,SR,AP,2035,10122.236493139742
INDIA,SR,AP,2036,9843.116247569047
INDIA,SR,AP,2037,9571.455005133177
INDIA,SR,AP,2038,9307.070173909668
INDIA,SR,AP,2039,9049.78330421651
INDIA,SR,AP,2040,8800.65
INDIA,SR,AP,2041,8557.021016892106
INDIA,SR,KA,2014,13453.125
INDIA,SR,KA,2015,13360.627477968035
INDIA,SR,KA,2016,13268.76592650663
INDIA,SR,KA,2017,13177.5359729736
INDIA,SR,KA,2018,13086.933274791047
INDIA,SR,KA,2019,12996.95351923865
INDIA,SR,KA,2020,13453.125
INDIA,SR,KA,2021,13360.627477968035
INDIA,SR,KA,2022,13268.76592650663
INDIA,SR,KA,2023,13177.5359729736
INDIA,SR,KA,2024,13086.933274791047
INDIA,SR,KA,2025,12835.048612541848
INDIA,SR,KA,2026,12587.484131151812
INDIA,SR,KA,2027,12344.182188336934
INDIA,SR,KA,2028,12106.540738160988
INDIA,SR,KA,2029,11873.028502662848
INDIA,SR,KA,2030,11643.59
INDIA,SR,KA,2031,11321.348589558313
INDIA,SR,KA,2032,11009.024081974698
INDIA,SR,KA,2033,10704.975766437748
INDIA,SR,KA,2034,10410.351756691589
INDIA,SR,KA,2035,10122.236493139742
INDIA,SR,KA,2036,9843.116247569047
INDIA,SR,KA,2037,9571.455005133177
INDIA,SR,KA,2038,9307.070173909668
INDIA,SR,KA,2039,9049.78330421651
INDIA,SR,KA,2040,8800.65
INDIA,SR,KA,2041,8557.021016892106
INDIA,SR,KL,2014,13453.125
INDIA,SR,KL,2015,13360.627477968035
INDIA,SR,KL,2016,13268.76592650663
INDIA,SR,KL,2017,13177.5359729736
INDIA,SR,KL,2018,13086.933274791047
INDIA,SR,KL,2019,12996.95351923865
INDIA,SR,KL,2020,13453.125
INDIA,SR,KL,2021,13360.627477968035
INDIA,SR,KL,2022,13268.76592650663
INDIA,SR,KL,2023,13177.5359729736
INDIA,SR,KL,2024,13086.933274791047
INDIA,SR,KL,2025,12835.048612541848
INDIA,SR,KL,2026,12587.484131151812
INDIA,SR,KL,2027,12344.182188336934
INDIA,SR,KL,2028,12106.540738160988
INDIA,SR,KL,2029,11873.028502662848
INDIA,SR,KL,2030,11643.59
INDIA,SR,KL,2031,11321.348589558313
INDIA,SR,KL,2032,11009.024081974698
INDIA,SR,KL,2033,10704.975766437748
INDIA,SR,KL,2034,10410.351756691589
INDIA,SR,KL,2035,10122.236493139742
INDIA,SR,KL,2036,9843.116247569047
INDIA,SR,KL,2037,9571.455005133177
INDIA,SR,KL,2038,9307.070173909668
INDIA,SR,KL,2039,9049.78330421651
INDIA,SR,KL,2040,8800.65
INDIA,SR,KL,2041,8557.021016892106
INDIA,SR,TN,2014,13453.125
INDIA,SR,TN,2015,13360.627477968035
INDIA,SR,TN,2016,13268.76592650663
INDIA,SR,TN,2017,13177.5359729736
INDIA,SR,TN,2018,13086.933274791047
INDIA,SR,TN,2019,12996.95351923865
INDIA,SR,TN,2020,13453.125
INDIA,SR,TN,2021,13360.627477968035
INDIA,SR,TN,2022,13268.76592650663
INDIA,SR,TN,2023,13177.5359729736
INDIA,SR,TN,2024,13086.933274791047
INDIA,SR,TN,2025,12835.048612541848
INDIA,SR,TN,2026,12587.484131151812
INDIA,SR,TN,2027,12344.182188336934
INDIA,SR,TN,2028,12106.540738160988
INDIA,SR,TN,2029,11873.028502662848
INDIA,SR,TN,2030,11643.59
INDIA,SR,TN,2031,11321.348589558313
INDIA,SR,TN,2032,11009.024081974698
INDIA,SR,TN,2033,10704.975766437748
INDIA,SR,TN,2034,10410.351756691589
INDIA,SR,TN,2035,10122.236493139742
INDIA,SR,TN,2036,9843.116247569047
INDIA,SR,TN,2037,9571.455005133177
INDIA,SR,TN,2038,9307.070173909668
INDIA,SR,TN,2039,9049.78330421651
INDIA,SR,TN,2040,8800.65
INDIA,SR,TN,2041,8557.021016892106
INDIA,SR,TS,2014,13453.125
INDIA,SR,TS,2015,13360.627477968035
INDIA,SR,TS,2016,13268.76592650663
INDIA,SR,TS,2017,13177.5359729736
INDIA,SR,TS,2018,13086.933274791047
INDIA,SR,TS,2019,12996.95351923865
INDIA,SR,TS,2020,13453.125
INDIA,SR,TS,2021,13360.627477968035
INDIA,SR,TS,2022,13268.76592650663
INDIA,SR,TS,2023,13177.5359729736
INDIA,SR,TS,2024,13086.933274791047
INDIA,SR,TS,2025,12835.048612541848
INDIA,SR,TS,2026,12587.484131151812
INDIA,SR,TS,2027,12344.182188336934
INDIA,SR,TS,2028,12106.540738160988
INDIA,SR,TS,2029,11873.028502662848
INDIA,SR,TS,2030,11643.59
INDIA,SR,TS,2031,11321.348589558313
INDIA,SR,TS,2032,11009.024081974698
INDIA,SR,TS,2033,10704.975766437748
INDIA,SR,TS,2034,10410.351756691589
INDIA,SR,TS,2035,10122.236493139742
INDIA,SR,TS,2036,9843.116247569047
INDIA,SR,TS,2037,9571.455005133177
INDIA,SR,TS,2038,9307.070173909668
INDIA,SR,TS,2039,9049.78330421651
INDIA,SR,TS,2040,8800.65
INDIA,SR,TS,2041,8557.021016892106
INDIA,WR,CG,2014,13453.125
INDIA,WR,CG,2015,13360.627477968035
INDIA,WR,CG,2016,13268.76592650663
INDIA,WR,CG,2017,13177.5359729736
INDIA,WR,CG,2018,13086.933274791047
INDIA,WR,CG,2019,12996.95351923865
INDIA,WR,CG,2020,13453.125
INDIA,WR,CG,2021,13360.627477968035
INDIA,WR,CG,2022,13268.76592650663
INDIA,WR,CG,2023,13177.5359729736
INDIA,WR,CG,2024,13086.933274791047
INDIA,WR,CG,2025,12835.048612541848
INDIA,WR,CG,2026,12587.484131151812
INDIA,WR,CG,2027,12344.182188336934
INDIA,WR,CG,2028,12106.540738160988
INDIA,WR,CG,2029,11873.028502662848
INDIA,WR,CG,2030,11643.59
INDIA,WR,CG,2031,11321.348589558313
INDIA,WR,CG,2032,11009.024081974698
INDIA,WR,CG,2033,10704.975766437748
INDIA,WR,CG,2034,10410.351756691589
INDIA,WR,CG,2035,10122.236493139742
INDIA,WR,CG,2036,9843.116247569047
INDIA,WR,CG,2037,9571.455005133177
INDIA,WR,CG,2038,9307.070173909668
INDIA,WR,CG,2039,9049.78330421651
INDIA,WR,CG,2040,8800.65
INDIA,WR,CG,2041,8557.021016892106
INDIA,WR,GA,2014,13453.125
INDIA,WR,GA,2015,13360.627477968035
INDIA,WR,GA,2016,13268.76592650663
INDIA,WR,GA,2017,13177.5359729736
INDIA,WR,GA,2018,13086.933274791047
INDIA,WR,GA,2019,12996.95351923865
INDIA,WR,GA,2020,13453.125
INDIA,WR,GA,2021,13360.627477968035
INDIA,WR,GA,2022,13268.76592650663
INDIA,WR,GA,2023,13177.5359729736
