ModelGeography,Year,SubGeography1,SubGeography2,PRIMARY+SECONDARY
INDIA,2023,NR,PB,0
INDIA,2024,NR,PB,0
INDIA,2025,NR,PB,0
INDIA,2026,NR,PB,0
INDIA,2027,NR,PB,0
INDIA,2028,NR,PB,0
INDIA,2029,NR,PB,0
INDIA,2030,NR,PB,0
INDIA,2031,NR,PB,0
INDIA,2032,NR,PB,0
INDIA,2033,NR,PB,0
INDIA,2034,NR,PB,0
INDIA,2035,NR,PB,0
INDIA,2036,NR,PB,0
INDIA,2037,NR,PB,0
INDIA,2038,NR,PB,0
INDIA,2039,NR,PB,0
INDIA,2040,NR,PB,0
INDIA,2041,NR,PB,0
INDIA,2022,NR,UP,0.397301474
INDIA,2023,NR,UP,0.402581423
INDIA,2024,NR,UP,0.423921871
INDIA,2025,NR,UP,0.4480755
INDIA,2026,NR,UP,0.473103753
INDIA,2027,NR,UP,0.498942763
INDIA,2028,NR,UP,0.525895575
INDIA,2029,NR,UP,0.554304375
INDIA,2030,NR,UP,0.584247814
INDIA,2031,NR,UP,0.615808793
INDIA,2032,NR,UP,0.649074691
INDIA,2033,NR,UP,0.684137608
INDIA,2034,NR,UP,0.721094618
INDIA,2035,NR,UP,0.760048041
INDIA,2036,NR,UP,0.801105721
INDIA,2037,NR,UP,0.844381331
INDIA,2038,NR,UP,0.889994684
INDIA,2039,NR,UP,0.938072062
INDIA,2040,NR,UP,0.988746574
INDIA,2041,NR,UP,1.042158514
INDIA,2022,NR,UK,0
INDIA,2023,NR,UK,0
INDIA,2024,NR,UK,0
INDIA,2025,NR,UK,0
INDIA,2026,NR,UK,0
INDIA,2027,NR,UK,0
INDIA,2028,NR,UK,0
INDIA,2029,NR,UK,0
INDIA,2030,NR,UK,0
INDIA,2031,NR,UK,0
INDIA,2032,NR,UK,0
INDIA,2033,NR,UK,0
INDIA,2034,NR,UK,0
INDIA,2035,NR,UK,0
INDIA,2036,NR,UK,0
INDIA,2037,NR,UK,0
INDIA,2038,NR,UK,0
INDIA,2039,NR,UK,0
INDIA,2040,NR,UK,0
INDIA,2041,NR,UK,0
INDIA,2022,WR,CG,0
INDIA,2023,WR,CG,0
INDIA,2024,WR,CG,0
INDIA,2025,WR,CG,0
INDIA,2026,WR,CG,0
INDIA,2027,WR,CG,0
INDIA,2028,WR,CG,0
INDIA,2029,WR,CG,0
INDIA,2030,WR,CG,0
INDIA,2031,WR,CG,0
INDIA,2032,WR,CG,0
INDIA,2033,WR,CG,0
INDIA,2034,WR,CG,0
INDIA,2035,WR,CG,0
INDIA,2036,WR,CG,0
INDIA,2037,WR,CG,0
INDIA,2038,WR,CG,0
INDIA,2039,WR,CG,0
INDIA,2040,WR,CG,0
INDIA,2041,WR,CG,0
INDIA,2022,WR,GA,0
INDIA,2023,WR,GA,0
INDIA,2024,WR,GA,0
INDIA,2025,WR,GA,0
INDIA,2026,WR,GA,0
INDIA,2027,WR,GA,0
INDIA,2028,WR,GA,0
INDIA,2029,WR,GA,0
INDIA,2030,WR,GA,0
INDIA,2031,WR,GA,0
INDIA,2032,WR,GA,0
INDIA,2033,WR,GA,0
INDIA,2034,WR,GA,0
INDIA,2035,WR,GA,0
INDIA,2036,WR,GA,0
INDIA,2037,WR,GA,0
INDIA,2038,WR,GA,0
INDIA,2039,WR,GA,0
INDIA,2040,WR,GA,0
INDIA,2041,WR,GA,0
INDIA,2022,WR,GJ,0
INDIA,2023,WR,GJ,0
INDIA,2024,WR,GJ,0
INDIA,2025,WR,GJ,0
INDIA,2026,WR,GJ,0
INDIA,2027,WR,GJ,0
INDIA,2028,WR,GJ,0
INDIA,2029,WR,GJ,0
INDIA,2030,WR,GJ,0
INDIA,2031,WR,GJ,0
INDIA,2032,WR,GJ,0
INDIA,2033,WR,GJ,0
INDIA,2034,WR,GJ,0
INDIA,2035,WR,GJ,0
INDIA,2036,WR,GJ,0
INDIA,2037,WR,GJ,0
INDIA,2038,WR,GJ,0
INDIA,2039,WR,GJ,0
INDIA,2040,WR,GJ,0
INDIA,2041,WR,GJ,0
INDIA,2022,WR,MP,0.919607558
INDIA,2023,WR,MP,0.931828709
INDIA,2024,WR,MP,0.981224038
INDIA,2025,WR,MP,1.037130853
INDIA,2026,WR,MP,1.095062101
INDIA,2027,WR,MP,1.154869955
INDIA,2028,WR,MP,1.217255856
INDIA,2029,WR,MP,1.283011834
INDIA,2030,WR,MP,1.35231994
INDIA,2031,WR,MP,1.425372059
INDIA,2032,WR,MP,1.502370443
INDIA,2033,WR,MP,1.583528267
INDIA,2034,WR,MP,1.669070226
INDIA,2035,WR,MP,1.759233148
INDIA,2036,WR,MP,1.854266657
INDIA,2037,WR,MP,1.954433862
INDIA,2038,WR,MP,2.060012085
INDIA,2039,WR,MP,2.171293627
INDIA,2040,WR,MP,2.288586581
INDIA,2041,WR,MP,2.412215683
INDIA,2022,WR,MH,0
INDIA,2023,WR,MH,0
INDIA,2024,WR,MH,0
INDIA,2025,WR,MH,0
INDIA,2026,WR,MH,0
INDIA,2027,WR,MH,0
INDIA,2028,WR,MH,0
INDIA,2029,WR,MH,0
INDIA,2030,WR,MH,0
INDIA,2031,WR,MH,0
INDIA,2032,WR,MH,0
INDIA,2033,WR,MH,0
INDIA,2034,WR,MH,0
INDIA,2035,WR,MH,0
INDIA,2036,WR,MH,0
INDIA,2037,WR,MH,0
INDIA,2038,WR,MH,0
INDIA,2039,WR,MH,0
INDIA,2040,WR,MH,0
INDIA,2041,WR,MH,0
INDIA,2022,NR,RJ,0
INDIA,2023,NR,RJ,0
INDIA,2024,NR,RJ,0
INDIA,2025,NR,RJ,0
INDIA,2026,NR,RJ,0
INDIA,2027,NR,RJ,0
INDIA,2028,NR,RJ,0
INDIA,2029,NR,RJ,0
INDIA,2030,NR,RJ,0
INDIA,2031,NR,RJ,0
INDIA,2032,NR,RJ,0
INDIA,2033,NR,RJ,0
INDIA,2034,NR,RJ,0
INDIA,2035,NR,RJ,0
INDIA,2036,NR,RJ,0
INDIA,2037,NR,RJ,0
INDIA,2038,NR,RJ,0
INDIA,2039,NR,RJ,0
INDIA,2040,NR,RJ,0
INDIA,2041,NR,RJ,0
INDIA,2022,SR,AP,0
INDIA,2023,SR,AP,0
INDIA,2024,SR,AP,0
INDIA,2025,SR,AP,0
INDIA,2026,SR,AP,0
INDIA,2027,SR,AP,0
INDIA,2028,SR,AP,0
INDIA,2029,SR,AP,0
INDIA,2030,SR,AP,0
INDIA,2031,SR,AP,0
INDIA,2032,SR,AP,0
INDIA,2033,SR,AP,0
INDIA,2034,SR,AP,0
INDIA,2035,SR,AP,0
INDIA,2036,SR,AP,0
INDIA,2037,SR,AP,0
INDIA,2038,SR,AP,0
INDIA,2039,SR,AP,0
INDIA,2040,SR,AP,0
INDIA,2041,SR,AP,0
INDIA,2022,SR,KA,0
INDIA,2023,SR,KA,0
INDIA,2024,SR,KA,0
INDIA,2025,SR,KA,0
INDIA,2026,SR,KA,0
INDIA,2027,SR,KA,0
INDIA,2028,SR,KA,0
INDIA,2029,SR,KA,0
INDIA,2030,SR,KA,0
INDIA,2031,SR,KA,0
INDIA,2032,SR,KA,0
INDIA,2033,SR,KA,0
INDIA,2034,SR,KA,0
INDIA,2035,SR,KA,0
INDIA,2036,SR,KA,0
INDIA,2037,SR,KA,0
INDIA,2038,SR,KA,0
INDIA,2039,SR,KA,0
INDIA,2040,SR,KA,0
INDIA,2041,SR,KA,0
INDIA,2022,SR,KL,0
INDIA,2023,SR,KL,0
INDIA,2024,SR,KL,0
INDIA,2025,SR,KL,0
INDIA,2026,SR,KL,0
INDIA,2027,SR,KL,0
INDIA,2028,SR,KL,0
INDIA,2029,SR,KL,0
INDIA,2030,SR,KL,0
INDIA,2031,SR,KL,0
INDIA,2032,SR,KL,0
INDIA,2033,SR,KL,0
INDIA,2034,SR,KL,0
INDIA,2035,SR,KL,0
INDIA,2036,SR,KL,0
INDIA,2037,SR,KL,0
INDIA,2038,SR,KL,0
INDIA,2039,SR,KL,0
INDIA,2040,SR,KL,0
INDIA,2041,SR,KL,0
INDIA,2022,SR,TN,0
INDIA,2023,SR,TN,0
INDIA,2024,SR,TN,0
INDIA,2025,SR,TN,0
INDIA,2026,SR,TN,0
INDIA,2027,SR,TN,0
INDIA,2028,SR,TN,0
INDIA,2029,SR,TN,0
INDIA,2030,SR,TN,0
INDIA,2031,SR,TN,0
INDIA,2032,SR,TN,0
INDIA,2033,SR,TN,0
INDIA,2034,SR,TN,0
INDIA,2035,SR,TN,0
INDIA,2036,SR,TN,0
INDIA,2037,SR,TN,0
INDIA,2038,SR,TN,0
INDIA,2039,SR,TN,0
INDIA,2040,SR,TN,0
INDIA,2041,SR,TN,0
INDIA,2022,SR,TS,0
INDIA,2023,SR,TS,0
INDIA,2024,SR,TS,0
INDIA,2025,SR,TS,0
INDIA,2026,SR,TS,0
INDIA,2027,SR,TS,0
INDIA,2028,SR,TS,0
INDIA,2029,SR,TS,0
INDIA,2030,SR,TS,0
INDIA,2031,SR,TS,0
INDIA,2032,SR,TS,0
INDIA,2033,SR,TS,0
INDIA,2034,SR,TS,0
INDIA,2035,SR,TS,0
INDIA,2036,SR,TS,0
INDIA,2037,SR,TS,0
INDIA,2038,SR,TS,0
INDIA,2039,SR,TS,0
INDIA,2040,SR,TS,0
INDIA,2041,SR,TS,0
INDIA,2022,ER,BR,0
INDIA,2023,ER,BR,0
INDIA,2024,ER,BR,0
INDIA,2025,ER,BR,0
INDIA,2026,ER,BR,0
INDIA,2027,ER,BR,0
INDIA,2028,ER,BR,0
INDIA,2029,ER,BR,0
INDIA,2030,ER,BR,0
INDIA,2031,ER,BR,0
INDIA,2032,ER,BR,0
INDIA,2033,ER,BR,0
INDIA,2034,ER,BR,0
INDIA,2035,ER,BR,0
INDIA,2036,ER,BR,0
INDIA,2037,ER,BR,0
INDIA,2038,ER,BR,0
INDIA,2039,ER,BR,0
INDIA,2040,ER,BR,0
INDIA,2041,ER,BR,0
INDIA,2022,ER,JH,0
INDIA,2023,ER,JH,0
INDIA,2024,ER,JH,0
INDIA,2025,ER,JH,0
INDIA,2026,ER,JH,0
INDIA,2027,ER,JH,0
INDIA,2028,ER,JH,0
INDIA,2029,ER,JH,0
INDIA,2030,ER,JH,0
INDIA,2031,ER,JH,0
INDIA,2032,ER,JH,0
INDIA,2033,ER,JH,0
INDIA,2034,ER,JH,0
INDIA,2035,ER,JH,0
INDIA,2036,ER,JH,0
INDIA,2037,ER,JH,0
INDIA,2038,ER,JH,0
INDIA,2039,ER,JH,0
INDIA,2040,ER,JH,0
INDIA,2041,ER,JH,0
INDIA,2022,ER,OD,2.699711968
INDIA,2023,ER,OD,2.735589867
INDIA,2024,ER,OD,2.880600812
INDIA,2025,ER,OD,3.044727667
INDIA,2026,ER,OD,3.214797697
INDIA,2027,ER,OD,3.390376918
INDIA,2028,ER,OD,3.573524568
INDIA,2029,ER,OD,3.766565826
INDIA,2030,ER,OD,3.970035144
INDIA,2031,ER,OD,4.184495844
INDIA,2032,ER,OD,4.410541679
INDIA,2033,ER,OD,4.648798475
INDIA,2034,ER,OD,4.899925868
INDIA,2035,ER,OD,5.164619125
INDIA,2036,ER,OD,5.443611071
INDIA,2037,ER,OD,5.73767412
INDIA,2038,ER,OD,6.047622411
INDIA,2039,ER,OD,6.374314062
INDIA,2040,ER,OD,6.718653546
INDIA,2041,ER,OD,7.081594198
INDIA,2022,ER,WB,0
INDIA,2023,ER,WB,0
INDIA,2024,ER,WB,0
INDIA,2025,ER,WB,0
INDIA,2026,ER,WB,0
INDIA,2027,ER,WB,0
INDIA,2028,ER,WB,0
INDIA,2029,ER,WB,0
INDIA,2030,ER,WB,0
INDIA,2031,ER,WB,0
INDIA,2032,ER,WB,0
INDIA,2033,ER,WB,0
INDIA,2034,ER,WB,0
INDIA,2035,ER,WB,0
INDIA,2036,ER,WB,0
INDIA,2037,ER,WB,0
INDIA,2038,ER,WB,0
INDIA,2039,ER,WB,0
INDIA,2040,ER,WB,0
INDIA,2041,ER,WB,0
INDIA,2022,ER,SK,0
INDIA,2023,ER,SK,0
INDIA,2024,ER,SK,0
INDIA,2025,ER,SK,0
INDIA,2026,ER,SK,0
INDIA,2027,ER,SK,0
INDIA,2028,ER,SK,0
INDIA,2029,ER,SK,0
INDIA,2030,ER,SK,0
INDIA,2031,ER,SK,0
INDIA,2032,ER,SK,0
INDIA,2033,ER,SK,0
INDIA,2034,ER,SK,0
INDIA,2035,ER,SK,0
INDIA,2036,ER,SK,0
INDIA,2037,ER,SK,0
INDIA,2038,ER,SK,0
INDIA,2039,ER,SK,0
INDIA,2040,ER,SK,0
INDIA,2041,ER,SK,0
INDIA,2022,NER,AS,0
INDIA,2023,NER,AS,0
INDIA,2024,NER,AS,0
INDIA,2025,NER,AS,0
INDIA,2026,NER,AS,0
INDIA,2027,NER,AS,0
INDIA,2028,NER,AS,0
INDIA,2029,NER,AS,0
INDIA,2030,NER,AS,0
INDIA,2031,NER,AS,0
INDIA,2032,NER,AS,0
INDIA,2033,NER,AS,0
INDIA,2034,NER,AS,0
INDIA,2035,NER,AS,0
INDIA,2036,NER,AS,0
INDIA,2037,NER,AS,0
INDIA,2038,NER,AS,0
INDIA,2039,NER,AS,0
INDIA,2040,NER,AS,0
INDIA,2041,NER,AS,0
INDIA,2022,NER,NE,0
INDIA,2023,NER,NE,0
INDIA,2024,NER,NE,0
INDIA,2025,NER,NE,0
INDIA,2026,NER,NE,0
INDIA,2027,NER,NE,0
INDIA,2028,NER,NE,0
INDIA,2029,NER,NE,0
INDIA,2030,NER,NE,0
INDIA,2031,NER,NE,0
INDIA,2032,NER,NE,0
INDIA,2033,NER,NE,0
INDIA,2034,NER,NE,0
INDIA,2035,NER,NE,0
INDIA,2036,NER,NE,0
INDIA,2037,NER,NE,0
INDIA,2038,NER,NE,0
INDIA,2039,NER,NE,0
INDIA,2040,NER,NE,0
INDIA,2041,NER,NE,0
