EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ECCostInBT_BA
ELECTRICITY,2026,WINTER,ALLDAYS,EVENING,INDIA,ER,270.8856939050396
ELECTRICITY,2026,WINTER,ALLDAYS,EVENING,INDIA,WR,814.5178735068765
ELECTRICITY,2026,WINTER,ALLDAYS,EVENING,INDIA,NR,699.7167319717828
ELECTRICITY,2026,WINTER,ALLDAYS,EVENING,INDIA,SR,447.9325896231266
ELECTRICITY,2026,WINTER,ALLDAYS,EVENING,INDIA,NER,30.179383043922353
ELECTRICITY,2026,WINTER,ALLDAYS,NIGHT,INDIA,ER,380.2853626022488
ELECTRICITY,2026,WINTER,ALLDAYS,NIGHT,INDIA,WR,1240.2849747901155
ELECTRICITY,2026,WINTER,ALLDAYS,NIGHT,INDIA,NR,987.7721456947062
ELECTRICITY,2026,WINTER,ALLDAYS,NIGHT,INDIA,SR,626.5357590731464
ELECTRICITY,2026,WINTER,ALLDAYS,NIGHT,INDIA,NER,25.038241477936168
ELECTRICITY,2026,SPRING,ALLDAYS,EARLY,INDIA,ER,162.65920980214165
ELECTRICITY,2026,SPRING,ALLDAYS,EARLY,INDIA,WR,600.7182255866741
ELECTRICITY,2026,SPRING,ALLDAYS,EARLY,INDIA,NR,507.00450755619715
ELECTRICITY,2026,SPRING,ALLDAYS,EARLY,INDIA,SR,322.2204656600795
ELECTRICITY,2026,SPRING,ALLDAYS,EARLY,INDIA,NER,10.27812478759426
ELECTRICITY,2026,SPRING,ALLDAYS,MORN,INDIA,ER,217.3918405259045
ELECTRICITY,2026,SPRING,ALLDAYS,MORN,INDIA,WR,780.6309075082772
ELECTRICITY,2026,SPRING,ALLDAYS,MORN,INDIA,NR,571.8169827145442
ELECTRICITY,2026,SPRING,ALLDAYS,MORN,INDIA,SR,426.7551484724114
ELECTRICITY,2026,SPRING,ALLDAYS,MORN,INDIA,NER,13.568271669532947
ELECTRICITY,2026,SPRING,ALLDAYS,MID,INDIA,ER,242.6634237565939
ELECTRICITY,2026,SPRING,ALLDAYS,MID,INDIA,WR,858.9689303273725
ELECTRICITY,2026,SPRING,ALLDAYS,MID,INDIA,NR,655.5789341447991
ELECTRICITY,2026,SPRING,ALLDAYS,MID,INDIA,SR,481.0465604037666
ELECTRICITY,2026,SPRING,ALLDAYS,MID,INDIA,NER,16.836604507943537
ELECTRICITY,2026,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,238.6021866714606
ELECTRICITY,2026,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,833.3135345875064
ELECTRICITY,2026,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,685.2274428897272
ELECTRICITY,2026,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,460.8843659380737
ELECTRICITY,2026,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,16.205108307889336
ELECTRICITY,2026,SPRING,ALLDAYS,EVENING,INDIA,ER,301.34074029364785
ELECTRICITY,2026,SPRING,ALLDAYS,EVENING,INDIA,WR,908.3490590985205
ELECTRICITY,2026,SPRING,ALLDAYS,EVENING,INDIA,NR,792.7673510293423
ELECTRICITY,2026,SPRING,ALLDAYS,EVENING,INDIA,SR,520.3721654933184
ELECTRICITY,2026,SPRING,ALLDAYS,EVENING,INDIA,NER,31.70154922653297
ELECTRICITY,2026,SPRING,ALLDAYS,NIGHT,INDIA,ER,391.61768622678625
ELECTRICITY,2026,SPRING,ALLDAYS,NIGHT,INDIA,WR,1272.1982453882342
ELECTRICITY,2026,SPRING,ALLDAYS,NIGHT,INDIA,NR,1028.953542635278
ELECTRICITY,2026,SPRING,ALLDAYS,NIGHT,INDIA,SR,663.0460960595051
ELECTRICITY,2026,SPRING,ALLDAYS,NIGHT,INDIA,NER,25.67877625192757
ELECTRICITY,2027,SUMMER,ALLDAYS,EARLY,INDIA,ER,215.33515242618478
ELECTRICITY,2027,SUMMER,ALLDAYS,EARLY,INDIA,WR,752.354621134486
ELECTRICITY,2027,SUMMER,ALLDAYS,EARLY,INDIA,NR,682.355933116903
ELECTRICITY,2027,SUMMER,ALLDAYS,EARLY,INDIA,SR,446.1864256801062
ELECTRICITY,2027,SUMMER,ALLDAYS,EARLY,INDIA,NER,13.118780976671857
ELECTRICITY,2027,SUMMER,ALLDAYS,MORN,INDIA,ER,266.1473523415483
ELECTRICITY,2027,SUMMER,ALLDAYS,MORN,INDIA,WR,892.6423750237605
ELECTRICITY,2027,SUMMER,ALLDAYS,MORN,INDIA,NR,851.0462087198302
ELECTRICITY,2027,SUMMER,ALLDAYS,MORN,INDIA,SR,508.86713912612026
ELECTRICITY,2027,SUMMER,ALLDAYS,MORN,INDIA,NER,18.135307621205122
ELECTRICITY,2027,SUMMER,ALLDAYS,MID,INDIA,ER,265.43798334595647
ELECTRICITY,2027,SUMMER,ALLDAYS,MID,INDIA,WR,888.8781461278563
ELECTRICITY,2027,SUMMER,ALLDAYS,MID,INDIA,NR,862.8671866966461
ELECTRICITY,2027,SUMMER,ALLDAYS,MID,INDIA,SR,513.042742888791
ELECTRICITY,2027,SUMMER,ALLDAYS,MID,INDIA,NER,21.91595238239362
ELECTRICITY,2027,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,257.2063543876287
ELECTRICITY,2027,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,833.4502930120711
ELECTRICITY,2027,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,817.5297534758673
ELECTRICITY,2027,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,446.0442600086733
ELECTRICITY,2027,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,19.945428390842785
ELECTRICITY,2027,SUMMER,ALLDAYS,EVENING,INDIA,ER,405.14681976209494
ELECTRICITY,2027,SUMMER,ALLDAYS,EVENING,INDIA,WR,1107.7066396090788
ELECTRICITY,2027,SUMMER,ALLDAYS,EVENING,INDIA,NR,1363.5864266920844
ELECTRICITY,2027,SUMMER,ALLDAYS,EVENING,INDIA,SR,600.9977635271199
ELECTRICITY,2027,SUMMER,ALLDAYS,EVENING,INDIA,NER,33.596900459243614
ELECTRICITY,2027,SUMMER,ALLDAYS,NIGHT,INDIA,ER,505.071334580093
ELECTRICITY,2027,SUMMER,ALLDAYS,NIGHT,INDIA,WR,1566.2614729782874
ELECTRICITY,2027,SUMMER,ALLDAYS,NIGHT,INDIA,NR,1659.0703259116522
ELECTRICITY,2027,SUMMER,ALLDAYS,NIGHT,INDIA,SR,859.7617805785436
ELECTRICITY,2027,SUMMER,ALLDAYS,NIGHT,INDIA,NER,30.057707682976382
ELECTRICITY,2027,MONSOON,ALLDAYS,EARLY,INDIA,ER,229.77077722978134
ELECTRICITY,2027,MONSOON,ALLDAYS,EARLY,INDIA,WR,604.6161099044181
ELECTRICITY,2027,MONSOON,ALLDAYS,EARLY,INDIA,NR,648.6731843920658
ELECTRICITY,2027,MONSOON,ALLDAYS,EARLY,INDIA,SR,321.4684153269512
ELECTRICITY,2027,MONSOON,ALLDAYS,EARLY,INDIA,NER,18.752337250059075
ELECTRICITY,2027,MONSOON,ALLDAYS,MORN,INDIA,ER,248.5084710367853
ELECTRICITY,2027,MONSOON,ALLDAYS,MORN,INDIA,WR,696.1378992673598
ELECTRICITY,2027,MONSOON,ALLDAYS,MORN,INDIA,NR,636.56686257515
ELECTRICITY,2027,MONSOON,ALLDAYS,MORN,INDIA,SR,364.66843796213726
ELECTRICITY,2027,MONSOON,ALLDAYS,MORN,INDIA,NER,20.089513374908357
ELECTRICITY,2027,MONSOON,ALLDAYS,MID,INDIA,ER,256.18226329754157
ELECTRICITY,2027,MONSOON,ALLDAYS,MID,INDIA,WR,728.7343614781987
ELECTRICITY,2027,MONSOON,ALLDAYS,MID,INDIA,NR,692.4192775968568
ELECTRICITY,2027,MONSOON,ALLDAYS,MID,INDIA,SR,387.16393411123903
ELECTRICITY,2027,MONSOON,ALLDAYS,MID,INDIA,NER,23.829982070480156
ELECTRICITY,2027,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,253.93306529003323
ELECTRICITY,2027,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,714.7478380127526
ELECTRICITY,2027,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,695.0505028832357
ELECTRICITY,2027,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,375.1043744939418
ELECTRICITY,2027,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,22.764980220770642
ELECTRICITY,2027,MONSOON,ALLDAYS,EVENING,INDIA,ER,387.95582301900083
ELECTRICITY,2027,MONSOON,ALLDAYS,EVENING,INDIA,WR,865.9710471056102
ELECTRICITY,2027,MONSOON,ALLDAYS,EVENING,INDIA,NR,1162.7471247841456
ELECTRICITY,2027,MONSOON,ALLDAYS,EVENING,INDIA,SR,472.88738382994666
ELECTRICITY,2027,MONSOON,ALLDAYS,EVENING,INDIA,NER,44.28619237091067
ELECTRICITY,2027,MONSOON,ALLDAYS,NIGHT,INDIA,ER,505.7128581758634
ELECTRICITY,2027,MONSOON,ALLDAYS,NIGHT,INDIA,WR,1189.5320956666442
ELECTRICITY,2027,MONSOON,ALLDAYS,NIGHT,INDIA,NR,1487.1206947270425
ELECTRICITY,2027,MONSOON,ALLDAYS,NIGHT,INDIA,SR,576.6300442918931
ELECTRICITY,2027,MONSOON,ALLDAYS,NIGHT,INDIA,NER,32.96181712815554
ELECTRICITY,2027,AUTUMN,ALLDAYS,EARLY,INDIA,ER,194.0085095223544
ELECTRICITY,2027,AUTUMN,ALLDAYS,EARLY,INDIA,WR,636.3408465977345
ELECTRICITY,2027,AUTUMN,ALLDAYS,EARLY,INDIA,NR,528.2316886192385
ELECTRICITY,2027,AUTUMN,ALLDAYS,EARLY,INDIA,SR,411.30132458995314
ELECTRICITY,2027,AUTUMN,ALLDAYS,EARLY,INDIA,NER,14.069930859534116
ELECTRICITY,2027,AUTUMN,ALLDAYS,MORN,INDIA,ER,248.54854461933482
ELECTRICITY,2027,AUTUMN,ALLDAYS,MORN,INDIA,WR,813.2351631298176
ELECTRICITY,2027,AUTUMN,ALLDAYS,MORN,INDIA,NR,685.3395445510174
ELECTRICITY,2027,AUTUMN,ALLDAYS,MORN,INDIA,SR,452.4725433667686
ELECTRICITY,2027,AUTUMN,ALLDAYS,MORN,INDIA,NER,20.499434665529684
ELECTRICITY,2027,AUTUMN,ALLDAYS,MID,INDIA,ER,261.94691007429213
ELECTRICITY,2027,AUTUMN,ALLDAYS,MID,INDIA,WR,884.2645599811428
ELECTRICITY,2027,AUTUMN,ALLDAYS,MID,INDIA,NR,802.1265006984937
ELECTRICITY,2027,AUTUMN,ALLDAYS,MID,INDIA,SR,499.87995022902203
ELECTRICITY,2027,AUTUMN,ALLDAYS,MID,INDIA,NER,24.591314498160383
ELECTRICITY,2027,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,255.25196377770754
ELECTRICITY,2027,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,847.1333375781068
ELECTRICITY,2027,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,790.3769410854001
ELECTRICITY,2027,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,476.8330378599143
ELECTRICITY,2027,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,21.290886043758018
ELECTRICITY,2027,AUTUMN,ALLDAYS,EVENING,INDIA,ER,358.4281599602879
ELECTRICITY,2027,AUTUMN,ALLDAYS,EVENING,INDIA,WR,924.9950151936517
ELECTRICITY,2027,AUTUMN,ALLDAYS,EVENING,INDIA,NR,1001.3604626621111
ELECTRICITY,2027,AUTUMN,ALLDAYS,EVENING,INDIA,SR,520.4769719056502
ELECTRICITY,2027,AUTUMN,ALLDAYS,EVENING,INDIA,NER,41.46197056379506
ELECTRICITY,2027,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,441.23571870412337
ELECTRICITY,2027,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,1287.5013021469715
ELECTRICITY,2027,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,1203.7464511983187
ELECTRICITY,2027,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,672.9630849639678
ELECTRICITY,2027,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,31.159397073204122
ELECTRICITY,2027,WINTER,ALLDAYS,EARLY,INDIA,ER,187.094504720933
ELECTRICITY,2027,WINTER,ALLDAYS,EARLY,INDIA,WR,675.8279534596893
ELECTRICITY,2027,WINTER,ALLDAYS,EARLY,INDIA,NR,583.7912254506124
ELECTRICITY,2027,WINTER,ALLDAYS,EARLY,INDIA,SR,384.11934195365905
ELECTRICITY,2027,WINTER,ALLDAYS,EARLY,INDIA,NER,14.990680219953692
ELECTRICITY,2027,WINTER,ALLDAYS,MORN,INDIA,ER,217.8527776780919
ELECTRICITY,2027,WINTER,ALLDAYS,MORN,INDIA,WR,819.0231987301054
ELECTRICITY,2027,WINTER,ALLDAYS,MORN,INDIA,NR,608.6828221949492
ELECTRICITY,2027,WINTER,ALLDAYS,MORN,INDIA,SR,456.4029086706465
ELECTRICITY,2027,WINTER,ALLDAYS,MORN,INDIA,NER,14.628124118190472
ELECTRICITY,2027,WINTER,ALLDAYS,MID,INDIA,ER,238.3689080319486
ELECTRICITY,2027,WINTER,ALLDAYS,MID,INDIA,WR,891.2597371012346
ELECTRICITY,2027,WINTER,ALLDAYS,MID,INDIA,NR,639.6063775458531
ELECTRICITY,2027,WINTER,ALLDAYS,MID,INDIA,SR,511.7721175371368
ELECTRICITY,2027,WINTER,ALLDAYS,MID,INDIA,NER,17.221721235467648
ELECTRICITY,2027,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,226.27517781041863
ELECTRICITY,2027,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,851.487024555495
ELECTRICITY,2027,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,633.5936965042521
ELECTRICITY,2027,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,501.98312445151555
ELECTRICITY,2027,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,15.950712365855747
ELECTRICITY,2027,WINTER,ALLDAYS,EVENING,INDIA,ER,282.5676436677021
ELECTRICITY,2027,WINTER,ALLDAYS,EVENING,INDIA,WR,850.9159922711603
ELECTRICITY,2027,WINTER,ALLDAYS,EVENING,INDIA,NR,727.7509669899235
ELECTRICITY,2027,WINTER,ALLDAYS,EVENING,INDIA,SR,472.2833088989138
ELECTRICITY,2027,WINTER,ALLDAYS,EVENING,INDIA,NER,34.31863459460912
ELECTRICITY,2027,WINTER,ALLDAYS,NIGHT,INDIA,ER,397.95097884920887
ELECTRICITY,2027,WINTER,ALLDAYS,NIGHT,INDIA,WR,1288.1832571907241
ELECTRICITY,2027,WINTER,ALLDAYS,NIGHT,INDIA,NR,1022.0705621470669
ELECTRICITY,2027,WINTER,ALLDAYS,NIGHT,INDIA,SR,651.7857406013246
ELECTRICITY,2027,WINTER,ALLDAYS,NIGHT,INDIA,NER,26.903447014880502
ELECTRICITY,2027,SPRING,ALLDAYS,EARLY,INDIA,ER,168.65363006685286
ELECTRICITY,2027,SPRING,ALLDAYS,EARLY,INDIA,WR,637.0879325135088
ELECTRICITY,2027,SPRING,ALLDAYS,EARLY,INDIA,NR,539.0908661291331
ELECTRICITY,2027,SPRING,ALLDAYS,EARLY,INDIA,SR,355.7050599601327
ELECTRICITY,2027,SPRING,ALLDAYS,EARLY,INDIA,NER,10.952135558442432
