ModelGeography,SubGeography1,SubGeography2,Year,CC+OPC+PPC+PSC+LC3
INDIA,NR,HR,2026,0.066960717
INDIA,NR,HR,2027,0.073614132
INDIA,NR,HR,2028,0.080882038
INDIA,NR,HR,2029,0.088867335
INDIA,NR,HR,2030,0.097640813
INDIA,NR,HR,2031,0.107280245
INDIA,NR,HR,2032,0.117723078
INDIA,NR,HR,2033,0.128860946
INDIA,NR,HR,2034,0.140700667
INDIA,NR,HR,2035,0.15324397
INDIA,NR,HR,2036,0.166617986
INDIA,NR,HR,2037,0.181158774
INDIA,NR,HR,2038,0.196968079
INDIA,NR,HR,2039,0.214156511
INDIA,NR,HR,2040,0.23284432
INDIA,NR,HR,2041,0.253162236
INDIA,NR,DL,2022,0
INDIA,NR,DL,2023,0
INDIA,NR,DL,2024,0
INDIA,NR,DL,2025,0
INDIA,NR,DL,2026,0
INDIA,NR,DL,2027,0
INDIA,NR,DL,2028,0
INDIA,NR,DL,2029,0
INDIA,NR,DL,2030,0
INDIA,NR,DL,2031,0
INDIA,NR,DL,2032,0
INDIA,NR,DL,2033,0
INDIA,NR,DL,2034,0
INDIA,NR,DL,2035,0
INDIA,NR,DL,2036,0
INDIA,NR,DL,2037,0
INDIA,NR,DL,2038,0
INDIA,NR,DL,2039,0
INDIA,NR,DL,2040,0
INDIA,NR,DL,2041,0
INDIA,NR,RJ,2022,0.505254183
INDIA,NR,RJ,2023,0.533959169
INDIA,NR,RJ,2024,0.562732804
INDIA,NR,RJ,2025,0.620056331
INDIA,NR,RJ,2026,0.682483102
INDIA,NR,RJ,2027,0.750296636
INDIA,NR,RJ,2028,0.824373254
INDIA,NR,RJ,2029,0.905761725
INDIA,NR,RJ,2030,0.995183562
INDIA,NR,RJ,2031,1.09343145
INDIA,NR,RJ,2032,1.199867847
INDIA,NR,RJ,2033,1.313388239
INDIA,NR,RJ,2034,1.434062116
INDIA,NR,RJ,2035,1.561907109
INDIA,NR,RJ,2036,1.698218971
INDIA,NR,RJ,2037,1.846422913
INDIA,NR,RJ,2038,2.007555941
INDIA,NR,RJ,2039,2.182745437
