EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,MORN,0.660409386
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,MID,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,AFTERNOON,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,EVENING,0.892131978
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,NIGHT,0.926890366
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,EARLY,0.55613422
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,MORN,0.660409386
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,MID,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,AFTERNOON,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,EVENING,0.892131978
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,AUTUMN,ALLDAYS,NIGHT,0.926890366
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,AUTUMN,ALLDAYS,EARLY,0.55613422
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,AUTUMN,ALLDAYS,MORN,0.660409386
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,AUTUMN,ALLDAYS,MID,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,AUTUMN,ALLDAYS,AFTERNOON,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,AUTUMN,ALLDAYS,EVENING,0.892131978
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,WINTER,ALLDAYS,NIGHT,0.926890366
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,WINTER,ALLDAYS,EARLY,0.55613422
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,WINTER,ALLDAYS,MORN,0.660409386
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,WINTER,ALLDAYS,MID,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,WINTER,ALLDAYS,AFTERNOON,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,WINTER,ALLDAYS,EVENING,0.892131978
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SPRING,ALLDAYS,NIGHT,0.926890366
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SPRING,ALLDAYS,EARLY,0.55613422
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SPRING,ALLDAYS,MORN,0.660409386
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SPRING,ALLDAYS,MID,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SPRING,ALLDAYS,AFTERNOON,0.695167775
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SPRING,ALLDAYS,EVENING,0.892131978
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SUMMER,ALLDAYS,NIGHT,2.010480696
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SUMMER,ALLDAYS,EARLY,1.206288418
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SUMMER,ALLDAYS,MORN,1.432467496
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SUMMER,ALLDAYS,MID,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SUMMER,ALLDAYS,AFTERNOON,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SUMMER,ALLDAYS,EVENING,1.93508767
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,MONSOON,ALLDAYS,NIGHT,2.010480696
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,MONSOON,ALLDAYS,EARLY,1.206288418
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,MONSOON,ALLDAYS,MORN,1.432467496
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,MONSOON,ALLDAYS,MID,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,MONSOON,ALLDAYS,AFTERNOON,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,MONSOON,ALLDAYS,EVENING,1.93508767
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,AUTUMN,ALLDAYS,NIGHT,2.010480696
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,AUTUMN,ALLDAYS,EARLY,1.206288418
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,AUTUMN,ALLDAYS,MORN,1.432467496
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,AUTUMN,ALLDAYS,MID,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,AUTUMN,ALLDAYS,AFTERNOON,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,AUTUMN,ALLDAYS,EVENING,1.93508767
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,WINTER,ALLDAYS,NIGHT,2.010480696
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,WINTER,ALLDAYS,EARLY,1.206288418
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,WINTER,ALLDAYS,MORN,1.432467496
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,WINTER,ALLDAYS,MID,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,WINTER,ALLDAYS,AFTERNOON,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,WINTER,ALLDAYS,EVENING,1.93508767
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SPRING,ALLDAYS,NIGHT,2.010480696
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SPRING,ALLDAYS,EARLY,1.206288418
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SPRING,ALLDAYS,MORN,1.432467496
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SPRING,ALLDAYS,MID,1.507860522
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,JK,2020,SPRING,ALLDAYS,AFTERNOON,1.507860522
