ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,EfficiencyLevelName,EfficiencySplitShare
FR_DIRECTCOOL,RURAL,INDIA,NR,UK,2024,4STARDC,0.203267258
FR_FROSTFREE,RURAL,INDIA,NR,UK,2024,2STARFF,0.195613119
FR_FROSTFREE,RURAL,INDIA,NR,UK,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,UK,2024,4STARFF,0.204386881
LIGHT_ELEC,RURAL,INDIA,NR,UP,2024,INCAND,0.024084309
LIGHT_ELEC,RURAL,INDIA,NR,UP,2024,LED,0.975915691
AC,RURAL,INDIA,NR,UP,2024,3STARAC,0.453048643
AC,RURAL,INDIA,NR,UP,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,UP,2024,5STARAC,0.196951357
FR_DIRECTCOOL,RURAL,INDIA,NR,UP,2024,2STARDC,0.195465616
FR_DIRECTCOOL,RURAL,INDIA,NR,UP,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NR,UP,2024,4STARDC,0.204534384
FR_FROSTFREE,RURAL,INDIA,NR,UP,2024,2STARFF,0.194220901
FR_FROSTFREE,RURAL,INDIA,NR,UP,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,UP,2024,4STARFF,0.205779099
LIGHT_ELEC,RURAL,INDIA,ER,SK,2024,INCAND,0.020687273
LIGHT_ELEC,RURAL,INDIA,ER,SK,2024,LED,0.979312727
AC,RURAL,INDIA,ER,SK,2024,3STARAC,0.445599764
AC,RURAL,INDIA,ER,SK,2024,4STARAC,0.35
AC,RURAL,INDIA,ER,SK,2024,5STARAC,0.204400236
FR_DIRECTCOOL,RURAL,INDIA,ER,SK,2024,2STARDC,0.197333401
FR_DIRECTCOOL,RURAL,INDIA,ER,SK,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,ER,SK,2024,4STARDC,0.202666599
FR_FROSTFREE,RURAL,INDIA,ER,SK,2024,2STARFF,0.196366482
FR_FROSTFREE,RURAL,INDIA,ER,SK,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,ER,SK,2024,4STARFF,0.203633518
LIGHT_ELEC,RURAL,INDIA,ER,WB,2024,INCAND,0.024009959
LIGHT_ELEC,RURAL,INDIA,ER,WB,2024,LED,0.975990041
AC,RURAL,INDIA,ER,WB,2024,3STARAC,0.459923955
AC,RURAL,INDIA,ER,WB,2024,4STARAC,0.35
AC,RURAL,INDIA,ER,WB,2024,5STARAC,0.190076045
FR_DIRECTCOOL,RURAL,INDIA,ER,WB,2024,2STARDC,0.196413218
FR_DIRECTCOOL,RURAL,INDIA,ER,WB,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,ER,WB,2024,4STARDC,0.203586782
FR_FROSTFREE,RURAL,INDIA,ER,WB,2024,2STARFF,0.19522713
FR_FROSTFREE,RURAL,INDIA,ER,WB,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,ER,WB,2024,4STARFF,0.20477287
LIGHT_ELEC,URBAN,INDIA,SR,AP,2024,INCAND,0.026676027
LIGHT_ELEC,URBAN,INDIA,SR,AP,2024,LED,0.973323973
AC,URBAN,INDIA,SR,AP,2024,3STARAC,0.458847161
AC,URBAN,INDIA,SR,AP,2024,4STARAC,0.35
AC,URBAN,INDIA,SR,AP,2024,5STARAC,0.191152839
FR_DIRECTCOOL,URBAN,INDIA,SR,AP,2024,2STARDC,0.196187433
FR_DIRECTCOOL,URBAN,INDIA,SR,AP,2024,3STARDC,0.6
FR_DIRECTCOOL,URBAN,INDIA,SR,AP,2024,4STARDC,0.203812567
FR_FROSTFREE,URBAN,INDIA,SR,AP,2024,2STARFF,0.194971424
FR_FROSTFREE,URBAN,INDIA,SR,AP,2024,3STARFF,0.6
FR_FROSTFREE,URBAN,INDIA,SR,AP,2024,4STARFF,0.205028576
LIGHT_ELEC,URBAN,INDIA,NER,AS,2024,INCAND,0.025193959
LIGHT_ELEC,URBAN,INDIA,NER,AS,2024,LED,0.974806041
AC,URBAN,INDIA,NER,AS,2024,3STARAC,0.458886756
AC,URBAN,INDIA,NER,AS,2024,4STARAC,0.35
AC,URBAN,INDIA,NER,AS,2024,5STARAC,0.191113244
FR_DIRECTCOOL,URBAN,INDIA,NER,AS,2024,2STARDC,0.196581408
FR_DIRECTCOOL,URBAN,INDIA,NER,AS,2024,3STARDC,0.6
FR_DIRECTCOOL,URBAN,INDIA,NER,AS,2024,4STARDC,0.203418592
FR_FROSTFREE,URBAN,INDIA,NER,AS,2024,2STARFF,0.195428748
FR_FROSTFREE,URBAN,INDIA,NER,AS,2024,3STARFF,0.6
FR_FROSTFREE,URBAN,INDIA,NER,AS,2024,4STARFF,0.204571252
LIGHT_ELEC,URBAN,INDIA,ER,BR,2024,INCAND,0.025284318
LIGHT_ELEC,URBAN,INDIA,ER,BR,2024,LED,0.974715682
AC,URBAN,INDIA,ER,BR,2024,3STARAC,0.457848415
AC,URBAN,INDIA,ER,BR,2024,4STARAC,0.35
AC,URBAN,INDIA,ER,BR,2024,5STARAC,0.192151585
FR_DIRECTCOOL,URBAN,INDIA,ER,BR,2024,2STARDC,0.196216463
FR_DIRECTCOOL,URBAN,INDIA,ER,BR,2024,3STARDC,0.6
FR_DIRECTCOOL,URBAN,INDIA,ER,BR,2024,4STARDC,0.203783537
FR_FROSTFREE,URBAN,INDIA,ER,BR,2024,2STARFF,0.194991391
FR_FROSTFREE,URBAN,INDIA,ER,BR,2024,3STARFF,0.6
FR_FROSTFREE,URBAN,INDIA,ER,BR,2024,4STARFF,0.205008609
LIGHT_ELEC,URBAN,INDIA,WR,CG,2024,INCAND,0.024989535
LIGHT_ELEC,URBAN,INDIA,WR,CG,2024,LED,0.975010465
AC,URBAN,INDIA,WR,CG,2024,3STARAC,0.455966856
AC,URBAN,INDIA,WR,CG,2024,4STARAC,0.35
AC,URBAN,INDIA,WR,CG,2024,5STARAC,0.194033144
