ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,2030,2.444308284
