Year,ModelGeography,SubGeography1,SubGeography2,PPC+OPC+PSC+CC+LC3
2032,INDIA,WR,CG,22.50101479
2033,INDIA,WR,CG,23.95057306
2034,INDIA,WR,CG,25.38143165
2035,INDIA,WR,CG,26.77727638
2036,INDIA,WR,CG,28.14493134
2037,INDIA,WR,CG,29.52427885
2038,INDIA,WR,CG,30.91844659
2039,INDIA,WR,CG,32.30322023
2040,INDIA,WR,CG,33.66031524
2041,INDIA,WR,CG,34.96615144
2022,INDIA,SR,AP,28.28816892
2023,INDIA,SR,AP,29.89530294
2024,INDIA,SR,AP,31.50628169
2025,INDIA,SR,AP,34.13299573
2026,INDIA,SR,AP,37.01559127
2027,INDIA,SR,AP,40.03336929
2028,INDIA,SR,AP,43.19487859
2029,INDIA,SR,AP,46.5254282
2030,INDIA,SR,AP,50.02904269
2031,INDIA,SR,AP,53.70862691
2032,INDIA,SR,AP,57.44630419
2033,INDIA,SR,AP,61.14710464
2034,INDIA,SR,AP,64.80016377
2035,INDIA,SR,AP,68.36383065
2036,INDIA,SR,AP,71.8555275
2037,INDIA,SR,AP,75.37707608
2038,INDIA,SR,AP,78.93646151
2039,INDIA,SR,AP,82.47186329
2040,INDIA,SR,AP,85.93660004
2041,INDIA,SR,AP,89.27047028
2022,INDIA,SR,KA,20.61281298
2023,INDIA,SR,KA,21.78388747
2024,INDIA,SR,KA,22.95776351
2025,INDIA,SR,KA,24.871778
2026,INDIA,SR,KA,26.97224632
2027,INDIA,SR,KA,29.17121841
2028,INDIA,SR,KA,31.47492355
2029,INDIA,SR,KA,33.90180372
2030,INDIA,SR,KA,36.45479152
2031,INDIA,SR,KA,39.13600364
2032,INDIA,SR,KA,41.85954658
2033,INDIA,SR,KA,44.55621839
2034,INDIA,SR,KA,47.2181024
2035,INDIA,SR,KA,49.81484873
2036,INDIA,SR,KA,52.35915248
2037,INDIA,SR,KA,54.92520836
2038,INDIA,SR,KA,57.51883492
2039,INDIA,SR,KA,60.09498525
2040,INDIA,SR,KA,62.61964391
2041,INDIA,SR,KA,65.04894374
2022,INDIA,SR,KL,0.364873702
2023,INDIA,SR,KL,0.385603249
2024,INDIA,SR,KL,0.406382388
2025,INDIA,SR,KL,0.440262943
2026,INDIA,SR,KL,0.477443975
2027,INDIA,SR,KL,0.516368652
2028,INDIA,SR,KL,0.55714724
2029,INDIA,SR,KL,0.600106188
2030,INDIA,SR,KL,0.645297405
2031,INDIA,SR,KL,0.69275836
2032,INDIA,SR,KL,0.740968626
2033,INDIA,SR,KL,0.788703238
2034,INDIA,SR,KL,0.83582206
2035,INDIA,SR,KL,0.881787861
2036,INDIA,SR,KL,0.926825359
2037,INDIA,SR,KL,0.972247898
2038,INDIA,SR,KL,1.018158474
2039,INDIA,SR,KL,1.063759699
2040,INDIA,SR,KL,1.108449453
2041,INDIA,SR,KL,1.151451232
2022,INDIA,SR,TN,16.91801987
2023,INDIA,SR,TN,17.87918231
2024,INDIA,SR,TN,18.84264413
2025,INDIA,SR,TN,20.41357649
2026,INDIA,SR,TN,22.13754134
2027,INDIA,SR,TN,23.9423534
2028,INDIA,SR,TN,25.83312538
2029,INDIA,SR,TN,27.8249936
2030,INDIA,SR,TN,29.92036498
2031,INDIA,SR,TN,32.1209768
2032,INDIA,SR,TN,34.35633175
2033,INDIA,SR,TN,36.56963215
2034,INDIA,SR,TN,38.75438038
2035,INDIA,SR,TN,40.88566669
2036,INDIA,SR,TN,42.97391061
2037,INDIA,SR,TN,45.08000765
2038,INDIA,SR,TN,47.20873339
2039,INDIA,SR,TN,49.32311548
2040,INDIA,SR,TN,51.39523564
2041,INDIA,SR,TN,53.38908979
2022,INDIA,SR,TS,13.52379533
2023,INDIA,SR,TS,14.29212189
2024,INDIA,SR,TS,15.06228651
2025,INDIA,SR,TS,16.31804623
2026,INDIA,SR,TS,17.69613585
2027,INDIA,SR,TS,19.1388525
2028,INDIA,SR,TS,20.65028313
2029,INDIA,SR,TS,22.24252727
2030,INDIA,SR,TS,23.91750897
2031,INDIA,SR,TS,25.67661696
2032,INDIA,SR,TS,27.46349764
2033,INDIA,SR,TS,29.23274852
2034,INDIA,SR,TS,30.97917559
2035,INDIA,SR,TS,32.68286669
2036,INDIA,SR,TS,34.35215089
2037,INDIA,SR,TS,36.03570638
2038,INDIA,SR,TS,37.73735064
2039,INDIA,SR,TS,39.42752897
2040,INDIA,SR,TS,41.08392429
2041,INDIA,SR,TS,42.67775593
2022,INDIA,ER,OD,6.230772922
2023,INDIA,ER,OD,6.584761446
2024,INDIA,ER,OD,6.939596813
2025,INDIA,ER,OD,7.518158781
2026,INDIA,ER,OD,8.153081398
2027,INDIA,ER,OD,8.817779408
2028,INDIA,ER,OD,9.514135775
2029,INDIA,ER,OD,10.24772509
2030,INDIA,ER,OD,11.01943379
2031,INDIA,ER,OD,11.82990173
2032,INDIA,ER,OD,12.65316528
2033,INDIA,ER,OD,13.46830631
2034,INDIA,ER,OD,14.2729318
2035,INDIA,ER,OD,15.0578677
2036,INDIA,ER,OD,15.82695142
2037,INDIA,ER,OD,16.6026103
2038,INDIA,ER,OD,17.38660316
2039,INDIA,ER,OD,18.16531336
2040,INDIA,ER,OD,18.92845882
2041,INDIA,ER,OD,19.66277954
2022,INDIA,ER,JH,5.605122924
2023,INDIA,ER,JH,5.923566432
2024,INDIA,ER,JH,6.24277175
2025,INDIA,ER,JH,6.763238631
2026,INDIA,ER,JH,7.334406824
2027,INDIA,ER,JH,7.932360577
2028,INDIA,ER,JH,8.558793781
2029,INDIA,ER,JH,9.218721259
2030,INDIA,ER,JH,9.912940455
2031,INDIA,ER,JH,10.64202695
2032,INDIA,ER,JH,11.38262422
2033,INDIA,ER,JH,12.11591457
2034,INDIA,ER,JH,12.83974528
2035,INDIA,ER,JH,13.54586348
2036,INDIA,ER,JH,14.23772128
2037,INDIA,ER,JH,14.935494
2038,INDIA,ER,JH,15.64076386
2039,INDIA,ER,JH,16.3412815
2040,INDIA,ER,JH,17.02779732
2041,INDIA,ER,JH,17.68838276
2022,INDIA,ER,WB,10.30311893
2023,INDIA,ER,WB,10.8884694
2024,INDIA,ER,WB,11.4752202
2025,INDIA,ER,WB,12.43192217
2026,INDIA,ER,WB,13.48182133
2027,INDIA,ER,WB,14.58095666
2028,INDIA,ER,WB,15.73244181
2029,INDIA,ER,WB,16.94549483
2030,INDIA,ER,WB,18.22158155
2031,INDIA,ER,WB,19.56175998
2032,INDIA,ER,WB,20.92309707
2033,INDIA,ER,WB,22.27100288
2034,INDIA,ER,WB,23.60152034
2035,INDIA,ER,WB,24.89947935
2036,INDIA,ER,WB,26.17122543
2037,INDIA,ER,WB,27.4538441
2038,INDIA,ER,WB,28.75024372
2039,INDIA,ER,WB,30.03790802
2040,INDIA,ER,WB,31.29983468
2041,INDIA,ER,WB,32.51409715
2022,INDIA,ER,SK,0
2023,INDIA,ER,SK,0
2024,INDIA,ER,SK,0
2025,INDIA,ER,SK,0
2026,INDIA,ER,SK,0
2027,INDIA,ER,SK,0
2028,INDIA,ER,SK,0
2029,INDIA,ER,SK,0
2030,INDIA,ER,SK,0
2031,INDIA,ER,SK,0
2032,INDIA,ER,SK,0
2033,INDIA,ER,SK,0
2034,INDIA,ER,SK,0
2035,INDIA,ER,SK,0
2036,INDIA,ER,SK,0
2037,INDIA,ER,SK,0
2038,INDIA,ER,SK,0
2039,INDIA,ER,SK,0
2040,INDIA,ER,SK,0
2041,INDIA,ER,SK,0
2022,INDIA,ER,BR,4.473694122
2023,INDIA,ER,BR,4.727857834
2024,INDIA,ER,BR,4.98262958
2025,INDIA,ER,BR,5.398036995
2026,INDIA,ER,BR,5.853911349
2027,INDIA,ER,BR,6.331164431
2028,INDIA,ER,BR,6.83114821
2029,INDIA,ER,BR,7.357865236
2030,INDIA,ER,BR,7.911951985
2031,INDIA,ER,BR,8.493867851
2032,INDIA,ER,BR,9.08497097
2033,INDIA,ER,BR,9.670242121
2034,INDIA,ER,BR,10.24796312
2035,INDIA,ER,BR,10.81154698
2036,INDIA,ER,BR,11.36374899
2037,INDIA,ER,BR,11.92067197
2038,INDIA,ER,BR,12.48357873
2039,INDIA,ER,BR,13.04269255
2040,INDIA,ER,BR,13.5906309
2041,INDIA,ER,BR,14.11787307
2022,INDIA,NER,NE,6.594780778
2023,INDIA,NER,NE,6.969449657
2024,INDIA,NER,NE,7.345014854
2025,INDIA,NER,NE,7.957376979
2026,INDIA,NER,NE,8.629392397
2027,INDIA,NER,NE,9.332922715
2028,INDIA,NER,NE,10.0699609
2029,INDIA,NER,NE,10.84640722
2030,INDIA,NER,NE,11.66319991
2031,INDIA,NER,NE,12.52101617
2032,INDIA,NER,NE,13.39237558
2033,INDIA,NER,NE,14.25513795
2034,INDIA,NER,NE,15.10677046
2035,INDIA,NER,NE,15.93756307
2036,INDIA,NER,NE,16.75157742
2037,INDIA,NER,NE,17.57255105
2038,INDIA,NER,NE,18.40234554
2039,INDIA,NER,NE,19.22654875
2040,INDIA,NER,NE,20.03427792
2041,INDIA,NER,NE,20.81149838
2022,INDIA,NER,AS,0
2023,INDIA,NER,AS,0
2024,INDIA,NER,AS,0
2025,INDIA,NER,AS,0
2026,INDIA,NER,AS,0
2027,INDIA,NER,AS,0
2028,INDIA,NER,AS,0
2029,INDIA,NER,AS,0
2030,INDIA,NER,AS,0
2031,INDIA,NER,AS,0
2032,INDIA,NER,AS,0
2033,INDIA,NER,AS,0
2034,INDIA,NER,AS,0
2035,INDIA,NER,AS,0
2036,INDIA,NER,AS,0
2037,INDIA,NER,AS,0
2038,INDIA,NER,AS,0
2039,INDIA,NER,AS,0
2040,INDIA,NER,AS,0
2041,INDIA,NER,AS,0
