Year,ModelGeography,SubGeography1,SubGeography2,PSC+OPC+PPC+CC+LC3
2031,INDIA,SR,KL,0.06700673
2032,INDIA,SR,KL,0.071013981
2033,INDIA,SR,KL,0.075014938
2034,INDIA,SR,KL,0.07902007
2035,INDIA,SR,KL,0.083005399
2036,INDIA,SR,KL,0.087022783
2037,INDIA,SR,KL,0.091230894
2038,INDIA,SR,KL,0.095682262
2039,INDIA,SR,KL,0.100355812
2040,INDIA,SR,KL,0.105262322
2041,INDIA,SR,KL,0.110413132
2022,INDIA,SR,TN,1.821940602
2023,INDIA,SR,TN,1.925450402
2024,INDIA,SR,TN,2.029207829
2025,INDIA,SR,TN,2.158818118
2026,INDIA,SR,TN,2.296522805
2027,INDIA,SR,TN,2.440977182
2028,INDIA,SR,TN,2.592941792
2029,INDIA,SR,TN,2.754206187
2030,INDIA,SR,TN,2.925324041
2031,INDIA,SR,TN,3.106886515
2032,INDIA,SR,TN,3.292689867
2033,INDIA,SR,TN,3.478201399
2034,INDIA,SR,TN,3.66390647
2035,INDIA,SR,TN,3.848693337
2036,INDIA,SR,TN,4.034966523
2037,INDIA,SR,TN,4.230083079
2038,INDIA,SR,TN,4.436478711
2039,INDIA,SR,TN,4.653176201
2040,INDIA,SR,TN,4.880675289
2041,INDIA,SR,TN,5.119501761
2022,INDIA,SR,TS,1.456408728
2023,INDIA,SR,TS,1.539151588
2024,INDIA,SR,TS,1.622092394
2025,INDIA,SR,TS,1.72569926
2026,INDIA,SR,TS,1.835776563
2027,INDIA,SR,TS,1.951249381
2028,INDIA,SR,TS,2.07272567
2029,INDIA,SR,TS,2.201635951
2030,INDIA,SR,TS,2.338422811
2031,INDIA,SR,TS,2.483558812
2032,INDIA,SR,TS,2.632084852
2033,INDIA,SR,TS,2.780377619
2034,INDIA,SR,TS,2.928825097
2035,INDIA,SR,TS,3.076538588
2036,INDIA,SR,TS,3.2254402
2037,INDIA,SR,TS,3.381410957
2038,INDIA,SR,TS,3.546397895
2039,INDIA,SR,TS,3.719619851
2040,INDIA,SR,TS,3.901476305
2041,INDIA,SR,TS,4.092387555
2022,INDIA,ER,OD,0.671006315
2023,INDIA,ER,OD,0.709128156
2024,INDIA,ER,OD,0.747341195
2025,INDIA,ER,OD,0.79507564
2026,INDIA,ER,OD,0.845791187
2027,INDIA,ER,OD,0.898992592
2028,INDIA,ER,OD,0.954959955
2029,INDIA,ER,OD,1.014352357
2030,INDIA,ER,OD,1.077373709
2031,INDIA,ER,OD,1.144241733
2032,INDIA,ER,OD,1.212671637
2033,INDIA,ER,OD,1.280994068
2034,INDIA,ER,OD,1.349387777
2035,INDIA,ER,OD,1.417443318
2036,INDIA,ER,OD,1.48604626
2037,INDIA,ER,OD,1.557906144
2038,INDIA,ER,OD,1.633920023
2039,INDIA,ER,OD,1.713727995
2040,INDIA,ER,OD,1.79751411
2041,INDIA,ER,OD,1.885472011
2022,INDIA,ER,JH,0.603628623
2023,INDIA,ER,JH,0.637922539
2024,INDIA,ER,JH,0.672298496
2025,INDIA,ER,JH,0.715239786
2026,INDIA,ER,JH,0.760862838
2027,INDIA,ER,JH,0.808722136
2028,INDIA,ER,JH,0.859069654
2029,INDIA,ER,JH,0.912498292
2030,INDIA,ER,JH,0.969191487
2031,INDIA,ER,JH,1.029345098
2032,INDIA,ER,JH,1.090903758
2033,INDIA,ER,JH,1.152365734
2034,INDIA,ER,JH,1.213891832
2035,INDIA,ER,JH,1.27511372
2036,INDIA,ER,JH,1.33682804
2037,INDIA,ER,JH,1.401472265
2038,INDIA,ER,JH,1.46985337
2039,INDIA,ER,JH,1.541647592
2040,INDIA,ER,JH,1.6170205
2041,INDIA,ER,JH,1.696146292
2022,INDIA,ER,WB,1.109566654
2023,INDIA,ER,WB,1.172604397
2024,INDIA,ER,WB,1.235792944
2025,INDIA,ER,WB,1.314725954
2026,INDIA,ER,WB,1.398588473
2027,INDIA,ER,WB,1.486561572
2028,INDIA,ER,WB,1.579108422
2029,INDIA,ER,WB,1.677318866
2030,INDIA,ER,WB,1.781530092
2031,INDIA,ER,WB,1.89210212
2032,INDIA,ER,WB,2.005256853
2033,INDIA,ER,WB,2.118233868
2034,INDIA,ER,WB,2.231328748
2035,INDIA,ER,WB,2.34386444
2036,INDIA,ER,WB,2.457305304
2037,INDIA,ER,WB,2.576131803
2038,INDIA,ER,WB,2.70182729
2039,INDIA,ER,WB,2.833796635
2040,INDIA,ER,WB,2.972344183
2041,INDIA,ER,WB,3.117790137
2022,INDIA,ER,SK,0
2023,INDIA,ER,SK,0
2024,INDIA,ER,SK,0
2025,INDIA,ER,SK,0
2026,INDIA,ER,SK,0
2027,INDIA,ER,SK,0
2028,INDIA,ER,SK,0
2029,INDIA,ER,SK,0
2030,INDIA,ER,SK,0
2031,INDIA,ER,SK,0
2032,INDIA,ER,SK,0
2033,INDIA,ER,SK,0
2034,INDIA,ER,SK,0
2035,INDIA,ER,SK,0
2036,INDIA,ER,SK,0
2037,INDIA,ER,SK,0
2038,INDIA,ER,SK,0
2039,INDIA,ER,SK,0
2040,INDIA,ER,SK,0
2041,INDIA,ER,SK,0
2022,INDIA,ER,BR,0.481782444
2023,INDIA,ER,BR,0.509153921
2024,INDIA,ER,BR,0.536590878
2025,INDIA,ER,BR,0.570864202
2026,INDIA,ER,BR,0.607277959
2027,INDIA,ER,BR,0.64547656
2028,INDIA,ER,BR,0.68566112
2029,INDIA,ER,BR,0.728304856
2030,INDIA,ER,BR,0.773554179
2031,INDIA,ER,BR,0.82156541
2032,INDIA,ER,BR,0.870698073
2033,INDIA,ER,BR,0.919753569
2034,INDIA,ER,BR,0.968860242
2035,INDIA,ER,BR,1.017724112
2036,INDIA,ER,BR,1.066981015
2037,INDIA,ER,BR,1.118576402
2038,INDIA,ER,BR,1.173154357
2039,INDIA,ER,BR,1.23045647
2040,INDIA,ER,BR,1.29061489
2041,INDIA,ER,BR,1.353768651
2022,INDIA,NER,NE,0.710207161
2023,INDIA,NER,NE,0.750556117
2024,INDIA,NER,NE,0.7910016
2025,INDIA,NER,NE,0.841524737
2026,INDIA,NER,NE,0.895203136
2027,INDIA,NER,NE,0.951512619
2028,INDIA,NER,NE,1.010749651
2029,INDIA,NER,NE,1.073611815
2030,INDIA,NER,NE,1.140314936
2031,INDIA,NER,NE,1.211089455
2032,INDIA,NER,NE,1.283517102
2033,INDIA,NER,NE,1.355830995
2034,INDIA,NER,NE,1.428220332
2035,INDIA,NER,NE,1.500251745
2036,INDIA,NER,NE,1.572862537
2037,INDIA,NER,NE,1.648920546
2038,INDIA,NER,NE,1.729375231
2039,INDIA,NER,NE,1.813845662
2040,INDIA,NER,NE,1.902526644
