Year,ModelGeography,SubGeography1,SubGeography2,OPC+PPC+PSC+CC+LC3
2022,INDIA,NR,UK,0.651908045
2023,INDIA,NR,UK,0.688944857
2024,INDIA,NR,UK,0.726070272
2025,INDIA,NR,UK,0.748408219
2026,INDIA,NR,UK,0.771383534
2027,INDIA,NR,UK,0.794467531
2028,INDIA,NR,UK,0.817796732
2029,INDIA,NR,UK,0.841774515
2030,INDIA,NR,UK,0.866416834
2031,INDIA,NR,UK,0.891741491
2032,INDIA,NR,UK,0.917204057
2033,INDIA,NR,UK,0.942945251
2034,INDIA,NR,UK,0.969385006
2035,INDIA,NR,UK,0.996531883
2036,INDIA,NR,UK,1.024413291
2037,INDIA,NR,UK,1.053046332
2038,INDIA,NR,UK,1.083008275
2039,INDIA,NR,UK,1.113908416
2040,INDIA,NR,UK,1.145772907
2041,INDIA,NR,UK,1.178629439
2022,INDIA,NR,HR,1.338449147
2023,INDIA,NR,HR,1.414490377
2024,INDIA,NR,HR,1.49071352
2025,INDIA,NR,HR,1.536576133
2026,INDIA,NR,HR,1.583747342
2027,INDIA,NR,HR,1.63114169
2028,INDIA,NR,HR,1.67903947
2029,INDIA,NR,HR,1.728268873
2030,INDIA,NR,HR,1.778862651
2031,INDIA,NR,HR,1.830857353
2032,INDIA,NR,HR,1.883135203
2033,INDIA,NR,HR,1.935985109
2034,INDIA,NR,HR,1.990269248
2035,INDIA,NR,HR,2.0460052
2036,INDIA,NR,HR,2.103249233
2037,INDIA,NR,HR,2.162036465
2038,INDIA,NR,HR,2.223552101
2039,INDIA,NR,HR,2.286993974
2040,INDIA,NR,HR,2.352415777
2041,INDIA,NR,HR,2.419874368
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,13.64186295
2023,INDIA,NR,RJ,14.41689728
2024,INDIA,NR,RJ,15.19378572
2025,INDIA,NR,RJ,15.66123081
2026,INDIA,NR,RJ,16.14201348
2027,INDIA,NR,RJ,16.62507046
2028,INDIA,NR,RJ,17.11325857
2029,INDIA,NR,RJ,17.61501896
2030,INDIA,NR,RJ,18.13068545
2031,INDIA,NR,RJ,18.66063058
2032,INDIA,NR,RJ,19.19346163
2033,INDIA,NR,RJ,19.73212324
2034,INDIA,NR,RJ,20.28540297
2035,INDIA,NR,RJ,20.85348
2036,INDIA,NR,RJ,21.43692783
2037,INDIA,NR,RJ,22.0361044
2038,INDIA,NR,RJ,22.66308964
