Year,ModelGeography,SubGeography1,SubGeography2,PPC+OPC+PSC+CC+LC3
2032,INDIA,WR,CG,18.11913832
2033,INDIA,WR,CG,18.97755699
2034,INDIA,WR,CG,19.87368025
2035,INDIA,WR,CG,20.80882015
2036,INDIA,WR,CG,21.78471508
2037,INDIA,WR,CG,22.80293416
2038,INDIA,WR,CG,23.87743389
2039,INDIA,WR,CG,25.00137153
2040,INDIA,WR,CG,26.17682197
2041,INDIA,WR,CG,27.40594755
2022,INDIA,SR,AP,28.28816892
2023,INDIA,SR,AP,29.89530294
2024,INDIA,SR,AP,31.50628169
2025,INDIA,SR,AP,33.01787926
2026,INDIA,SR,AP,34.7018963
2027,INDIA,SR,AP,36.43961154
2028,INDIA,SR,AP,38.23850803
2029,INDIA,SR,AP,40.11928687
2030,INDIA,SR,AP,42.08531878
2031,INDIA,SR,AP,44.14016511
2032,INDIA,SR,AP,46.25913725
2033,INDIA,SR,AP,48.45072642
2034,INDIA,SR,AP,50.73857741
2035,INDIA,SR,AP,53.12604003
2036,INDIA,SR,AP,55.6175524
2037,INDIA,SR,AP,58.21712062
2038,INDIA,SR,AP,60.96037639
2039,INDIA,SR,AP,63.8298498
2040,INDIA,SR,AP,66.83083815
2041,INDIA,SR,AP,69.96886204
2022,INDIA,SR,KA,20.61281298
2023,INDIA,SR,KA,21.78388747
2024,INDIA,SR,KA,22.95776351
2025,INDIA,SR,KA,24.05922321
2026,INDIA,SR,KA,25.28632024
2027,INDIA,SR,KA,26.55254569
2028,INDIA,SR,KA,27.86335223
2029,INDIA,SR,KA,29.2338242
2030,INDIA,SR,KA,30.66641774
2031,INDIA,SR,KA,32.16372791
2032,INDIA,SR,KA,33.7077648
2033,INDIA,SR,KA,35.30471574
2034,INDIA,SR,KA,36.97181002
2035,INDIA,SR,KA,38.71148856
2036,INDIA,SR,KA,40.5269853
2037,INDIA,SR,KA,42.42121938
2038,INDIA,SR,KA,44.42015463
2039,INDIA,SR,KA,46.51106122
2040,INDIA,SR,KA,48.69779914
2041,INDIA,SR,KA,50.9843911
2022,INDIA,SR,KL,0.364873702
2023,INDIA,SR,KL,0.385603249
2024,INDIA,SR,KL,0.406382388
2025,INDIA,SR,KL,0.425879662
2026,INDIA,SR,KL,0.447600882
2027,INDIA,SR,KL,0.470014726
2028,INDIA,SR,KL,0.493217713
2029,INDIA,SR,KL,0.517476856
2030,INDIA,SR,KL,0.542835632
2031,INDIA,SR,KL,0.569339977
2032,INDIA,SR,KL,0.596671446
2033,INDIA,SR,KL,0.624939562
2034,INDIA,SR,KL,0.654449308
2035,INDIA,SR,KL,0.685243889
2036,INDIA,SR,KL,0.717380552
2037,INDIA,SR,KL,0.750910968
2038,INDIA,SR,KL,0.786294732
2039,INDIA,SR,KL,0.823306508
2040,INDIA,SR,KL,0.862014624
2041,INDIA,SR,KL,0.902490287
2022,INDIA,SR,TN,16.91801987
2023,INDIA,SR,TN,17.87918231
2024,INDIA,SR,TN,18.84264413
2025,INDIA,SR,TN,19.74667004
2026,INDIA,SR,TN,20.75381312
2027,INDIA,SR,TN,21.79307095
2028,INDIA,SR,TN,22.86891883
2029,INDIA,SR,TN,23.99373726
2030,INDIA,SR,TN,25.16954213
2031,INDIA,SR,TN,26.39846336
2032,INDIA,SR,TN,27.66573565
2033,INDIA,SR,TN,28.97643728
2034,INDIA,SR,TN,30.34470925
2035,INDIA,SR,TN,31.77255494
2036,INDIA,SR,TN,33.26262861
2037,INDIA,SR,TN,34.81732616
2038,INDIA,SR,TN,36.45795747
2039,INDIA,SR,TN,38.17407449
2040,INDIA,SR,TN,39.96884533
2041,INDIA,SR,TN,41.84557163
2022,INDIA,SR,TS,13.52379533
2023,INDIA,SR,TS,14.29212189
2024,INDIA,SR,TS,15.06228651
2025,INDIA,SR,TS,15.78493972
2026,INDIA,SR,TS,16.59002194
2027,INDIA,SR,TS,17.42077579
2028,INDIA,SR,TS,18.28077871
2029,INDIA,SR,TS,19.17992734
2030,INDIA,SR,TS,20.1198331
2031,INDIA,SR,TS,21.10219861
2032,INDIA,SR,TS,22.11522089
2033,INDIA,SR,TS,23.16295938
2034,INDIA,SR,TS,24.256718
2035,INDIA,SR,TS,25.3980982
2036,INDIA,SR,TS,26.58922172
2037,INDIA,SR,TS,27.83200377
2038,INDIA,SR,TS,29.14347888
2039,INDIA,SR,TS,30.51529518
2040,INDIA,SR,TS,31.94998514
2041,INDIA,SR,TS,33.45018804
2022,INDIA,ER,OD,6.230772922
2023,INDIA,ER,OD,6.584761446
2024,INDIA,ER,OD,6.939596813
2025,INDIA,ER,OD,7.272542407
2026,INDIA,ER,OD,7.64346524
2027,INDIA,ER,OD,8.026215678
2028,INDIA,ER,OD,8.422441945
2029,INDIA,ER,OD,8.836703678
2030,INDIA,ER,OD,9.269743313
2031,INDIA,ER,OD,9.722345281
2032,INDIA,ER,OD,10.18907164
2033,INDIA,ER,OD,10.67179269
2034,INDIA,ER,OD,11.17571644
2035,INDIA,ER,OD,11.70158071
2036,INDIA,ER,OD,12.25036306
2037,INDIA,ER,OD,12.82294587
2038,INDIA,ER,OD,13.42717741
2039,INDIA,ER,OD,14.05920973
2040,INDIA,ER,OD,14.72020964
2041,INDIA,ER,OD,15.41139309
2022,INDIA,ER,JH,5.605122924
2023,INDIA,ER,JH,5.923566432
2024,INDIA,ER,JH,6.24277175
2025,INDIA,ER,JH,6.54228531
2026,INDIA,ER,JH,6.875962704
2027,INDIA,ER,JH,7.22028006
2028,INDIA,ER,JH,7.576720097
2029,INDIA,ER,JH,7.949384607
2030,INDIA,ER,JH,8.338941475
2031,INDIA,ER,JH,8.746096365
2032,INDIA,ER,JH,9.16595738
2033,INDIA,ER,JH,9.600207004
2034,INDIA,ER,JH,10.0535303
2035,INDIA,ER,JH,10.52659102
2036,INDIA,ER,JH,11.02026854
2037,INDIA,ER,JH,11.53535665
2038,INDIA,ER,JH,12.07891554
2039,INDIA,ER,JH,12.64748367
2040,INDIA,ER,JH,13.24211065
2041,INDIA,ER,JH,13.86389037
2022,INDIA,ER,WB,10.30311893
2023,INDIA,ER,WB,10.8884694
2024,INDIA,ER,WB,11.4752202
2025,INDIA,ER,WB,12.02577437
2026,INDIA,ER,WB,12.63912718
2027,INDIA,ER,WB,13.27203795
2028,INDIA,ER,WB,13.92723216
2029,INDIA,ER,WB,14.61224957
2030,INDIA,ER,WB,15.32831785
2031,INDIA,ER,WB,16.07673413
2032,INDIA,ER,WB,16.84850632
2033,INDIA,ER,WB,17.64672708
2034,INDIA,ER,WB,18.48000834
2035,INDIA,ER,WB,19.34957015
2036,INDIA,ER,WB,20.25702896
2037,INDIA,ER,WB,21.20384389
2038,INDIA,ER,WB,22.2029927
2039,INDIA,ER,WB,23.24811251
2040,INDIA,ER,WB,24.34113271
2041,INDIA,ER,WB,25.484064
2022,INDIA,ER,SK,0
2023,INDIA,ER,SK,0
2024,INDIA,ER,SK,0
2025,INDIA,ER,SK,0
2026,INDIA,ER,SK,0
2027,INDIA,ER,SK,0
2028,INDIA,ER,SK,0
2029,INDIA,ER,SK,0
2030,INDIA,ER,SK,0
2031,INDIA,ER,SK,0
2032,INDIA,ER,SK,0
2033,INDIA,ER,SK,0
2034,INDIA,ER,SK,0
2035,INDIA,ER,SK,0
2036,INDIA,ER,SK,0
2037,INDIA,ER,SK,0
2038,INDIA,ER,SK,0
2039,INDIA,ER,SK,0
2040,INDIA,ER,SK,0
2041,INDIA,ER,SK,0
2022,INDIA,ER,BR,4.473694122
2023,INDIA,ER,BR,4.727857834
2024,INDIA,ER,BR,4.98262958
2025,INDIA,ER,BR,5.221684472
2026,INDIA,ER,BR,5.488007016
2027,INDIA,ER,BR,5.762821779
2028,INDIA,ER,BR,6.047312186
2029,INDIA,ER,BR,6.344752054
2030,INDIA,ER,BR,6.655674455
2031,INDIA,ER,BR,6.980642607
2032,INDIA,ER,BR,7.315752073
2033,INDIA,ER,BR,7.662345719
2034,INDIA,ER,BR,8.0241629
2035,INDIA,ER,BR,8.401733379
2036,INDIA,ER,BR,8.795759032
2037,INDIA,ER,BR,9.206873414
2038,INDIA,ER,BR,9.640711576
2039,INDIA,ER,BR,10.0945107
2040,INDIA,ER,BR,10.56910854
2041,INDIA,ER,BR,11.06537817
2022,INDIA,NER,NE,6.594780778
2023,INDIA,NER,NE,6.969449657
2024,INDIA,NER,NE,7.345014854
2025,INDIA,NER,NE,7.697411456
2026,INDIA,NER,NE,8.090003963
2027,INDIA,NER,NE,8.495115057
2028,INDIA,NER,NE,8.914489251
2029,INDIA,NER,NE,9.35295256
2030,INDIA,NER,NE,9.811290795
2031,INDIA,NER,NE,10.29033421
2032,INDIA,NER,NE,10.78432719
2033,INDIA,NER,NE,11.29524927
2034,INDIA,NER,NE,11.82861273
2035,INDIA,NER,NE,12.38519851
2036,INDIA,NER,NE,12.96604127
2037,INDIA,NER,NE,13.57207492
2038,INDIA,NER,NE,14.21160626
2039,INDIA,NER,NE,14.88056253
2040,INDIA,NER,NE,15.5801787
2041,INDIA,NER,NE,16.31174177
2022,INDIA,NER,AS,0
2023,INDIA,NER,AS,0
2024,INDIA,NER,AS,0
2025,INDIA,NER,AS,0
2026,INDIA,NER,AS,0
2027,INDIA,NER,AS,0
2028,INDIA,NER,AS,0
2029,INDIA,NER,AS,0
2030,INDIA,NER,AS,0
2031,INDIA,NER,AS,0
2032,INDIA,NER,AS,0
2033,INDIA,NER,AS,0
2034,INDIA,NER,AS,0
2035,INDIA,NER,AS,0
2036,INDIA,NER,AS,0
2037,INDIA,NER,AS,0
2038,INDIA,NER,AS,0
2039,INDIA,NER,AS,0
2040,INDIA,NER,AS,0
2041,INDIA,NER,AS,0
