Year,ModelGeography,SubGeography1,SubGeography2,PSC+OPC+PPC+CC+LC3
2031,INDIA,SR,KL,0.059404804
2032,INDIA,SR,KL,0.06198042
2033,INDIA,SR,KL,0.064636968
2034,INDIA,SR,KL,0.06740572
2035,INDIA,SR,KL,0.070290658
2036,INDIA,SR,KL,0.073297232
2037,INDIA,SR,KL,0.076430342
2038,INDIA,SR,KL,0.079736295
2039,INDIA,SR,KL,0.083191646
2040,INDIA,SR,KL,0.086803
2041,INDIA,SR,KL,0.090577312
2022,INDIA,SR,TN,1.821940602
2023,INDIA,SR,TN,1.925450402
2024,INDIA,SR,TN,2.029207829
2025,INDIA,SR,TN,2.121741042
2026,INDIA,SR,TN,2.218350409
2027,INDIA,SR,TN,2.317618196
2028,INDIA,SR,TN,2.420009466
2029,INDIA,SR,TN,2.526814862
2030,INDIA,SR,TN,2.638216828
2031,INDIA,SR,TN,2.754409663
2032,INDIA,SR,TN,2.873832698
2033,INDIA,SR,TN,2.997008312
2034,INDIA,SR,TN,3.125386434
2035,INDIA,SR,TN,3.25915172
2036,INDIA,SR,TN,3.398556853
2037,INDIA,SR,TN,3.5438291
2038,INDIA,SR,TN,3.697115518
2039,INDIA,SR,TN,3.857329032
2040,INDIA,SR,TN,4.024775904
2041,INDIA,SR,TN,4.199778591
2022,INDIA,SR,TS,1.456408728
2023,INDIA,SR,TS,1.539151588
2024,INDIA,SR,TS,1.622092394
2025,INDIA,SR,TS,1.696060875
2026,INDIA,SR,TS,1.77328772
2027,INDIA,SR,TS,1.852639633
2028,INDIA,SR,TS,1.934488371
2029,INDIA,SR,TS,2.019865639
2030,INDIA,SR,TS,2.108917277
2031,INDIA,SR,TS,2.201798604
2032,INDIA,SR,TS,2.297262062
2033,INDIA,SR,TS,2.395725227
2034,INDIA,SR,TS,2.498347133
2035,INDIA,SR,TS,2.605275389
2036,INDIA,SR,TS,2.716711981
2037,INDIA,SR,TS,2.832838582
2038,INDIA,SR,TS,2.955371488
2039,INDIA,SR,TS,3.083441722
2040,INDIA,SR,TS,3.217294102
2041,INDIA,SR,TS,3.357186391
2022,INDIA,ER,OD,0.671006315
2023,INDIA,ER,OD,0.709128156
2024,INDIA,ER,OD,0.747341195
2025,INDIA,ER,OD,0.781420446
2026,INDIA,ER,OD,0.817000912
2027,INDIA,ER,OD,0.853560453
2028,INDIA,ER,OD,0.891270348
2029,INDIA,ER,OD,0.93060593
2030,INDIA,ER,OD,0.971634393
2031,INDIA,ER,OD,1.014427296
2032,INDIA,ER,OD,1.058409855
2033,INDIA,ER,OD,1.103774459
2034,INDIA,ER,OD,1.151055106
2035,INDIA,ER,OD,1.200319803
2036,INDIA,ER,OD,1.251661611
2037,INDIA,ER,OD,1.305164231
2038,INDIA,ER,OD,1.361618406
2039,INDIA,ER,OD,1.420623776
2040,INDIA,ER,OD,1.482293135
2041,INDIA,ER,OD,1.546745241
2022,INDIA,ER,JH,0.603628623
2023,INDIA,ER,JH,0.637922539
2024,INDIA,ER,JH,0.672298496
2025,INDIA,ER,JH,0.70295575
2026,INDIA,ER,JH,0.734963478
2027,INDIA,ER,JH,0.76785197
2028,INDIA,ER,JH,0.801775304
2029,INDIA,ER,JH,0.837161087
2030,INDIA,ER,JH,0.874069763
2031,INDIA,ER,JH,0.912565706
2032,INDIA,ER,JH,0.952131849
2033,INDIA,ER,JH,0.992941261
2034,INDIA,ER,JH,1.035474321
2035,INDIA,ER,JH,1.079792207
2036,INDIA,ER,JH,1.125978635
2037,INDIA,ER,JH,1.174108901
2038,INDIA,ER,JH,1.224894349
2039,INDIA,ER,JH,1.277974819
2040,INDIA,ER,JH,1.333451778
2041,INDIA,ER,JH,1.391432061
2022,INDIA,ER,WB,1.109566654
2023,INDIA,ER,WB,1.172604397
2024,INDIA,ER,WB,1.235792944
2025,INDIA,ER,WB,1.292145916
2026,INDIA,ER,WB,1.350981277
2027,INDIA,ER,WB,1.411435622
2028,INDIA,ER,WB,1.473792177
2029,INDIA,ER,WB,1.538836946
2030,INDIA,ER,WB,1.606681039
2031,INDIA,ER,WB,1.677442783
2032,INDIA,ER,WB,1.750171728
2033,INDIA,ER,WB,1.825186003
2034,INDIA,ER,WB,1.903368619
2035,INDIA,ER,WB,1.984832033
2036,INDIA,ER,WB,2.069730129
2037,INDIA,ER,WB,2.158201312
2038,INDIA,ER,WB,2.251553147
2039,INDIA,ER,WB,2.349123601
2040,INDIA,ER,WB,2.45109919
2041,INDIA,ER,WB,2.55767629
2022,INDIA,ER,SK,0
2023,INDIA,ER,SK,0
2024,INDIA,ER,SK,0
2025,INDIA,ER,SK,0
2026,INDIA,ER,SK,0
2027,INDIA,ER,SK,0
2028,INDIA,ER,SK,0
2029,INDIA,ER,SK,0
2030,INDIA,ER,SK,0
2031,INDIA,ER,SK,0
2032,INDIA,ER,SK,0
2033,INDIA,ER,SK,0
2034,INDIA,ER,SK,0
2035,INDIA,ER,SK,0
2036,INDIA,ER,SK,0
2037,INDIA,ER,SK,0
2038,INDIA,ER,SK,0
2039,INDIA,ER,SK,0
2040,INDIA,ER,SK,0
2041,INDIA,ER,SK,0
2022,INDIA,ER,BR,0.481782444
2023,INDIA,ER,BR,0.509153921
2024,INDIA,ER,BR,0.536590878
2025,INDIA,ER,BR,0.561059775
2026,INDIA,ER,BR,0.586606545
2027,INDIA,ER,BR,0.61285629
2028,INDIA,ER,BR,0.63993199
2029,INDIA,ER,BR,0.668174933
