Year,ModelGeography,SubGeography1,SubGeography2,CC+OPC+PPC+PSC+LC3
2035,INDIA,NR,UP,0.410660863
2036,INDIA,NR,UP,0.437136775
2037,INDIA,NR,UP,0.465307059
2038,INDIA,NR,UP,0.495534572
2039,INDIA,NR,UP,0.527766344
2040,INDIA,NR,UP,0.562135195
2041,INDIA,NR,UP,0.598783102
2022,INDIA,WR,GA,0
2023,INDIA,WR,GA,0
2024,INDIA,WR,GA,0
2025,INDIA,WR,GA,0
2026,INDIA,WR,GA,0
2027,INDIA,WR,GA,0
2028,INDIA,WR,GA,0
2029,INDIA,WR,GA,0
2030,INDIA,WR,GA,0
2031,INDIA,WR,GA,0
2032,INDIA,WR,GA,0
2033,INDIA,WR,GA,0
2034,INDIA,WR,GA,0
2035,INDIA,WR,GA,0
2036,INDIA,WR,GA,0
2037,INDIA,WR,GA,0
2038,INDIA,WR,GA,0
2039,INDIA,WR,GA,0
2040,INDIA,WR,GA,0
2041,INDIA,WR,GA,0
2022,INDIA,WR,MH,0.249365966
2023,INDIA,WR,MH,0.263533179
2024,INDIA,WR,MH,0.277734285
2025,INDIA,WR,MH,0.296441778
2026,INDIA,WR,MH,0.316388906
2027,INDIA,WR,MH,0.337424846
2028,INDIA,WR,MH,0.359663444
2029,INDIA,WR,MH,0.383351109
2030,INDIA,WR,MH,0.408580706
2031,INDIA,WR,MH,0.435451678
2032,INDIA,WR,MH,0.463785305
2033,INDIA,WR,MH,0.493727727
2034,INDIA,WR,MH,0.525590322
2035,INDIA,WR,MH,0.55948994
2036,INDIA,WR,MH,0.595561082
2037,INDIA,WR,MH,0.633940661
2038,INDIA,WR,MH,0.675123035
2039,INDIA,WR,MH,0.719036039
2040,INDIA,WR,MH,0.765860629
2041,INDIA,WR,MH,0.815790235
2022,INDIA,WR,GJ,0.264683206
2023,INDIA,WR,GJ,0.279720637
2024,INDIA,WR,GJ,0.294794042
2025,INDIA,WR,GJ,0.314650638
2026,INDIA,WR,GJ,0.335823014
2027,INDIA,WR,GJ,0.358151081
2028,INDIA,WR,GJ,0.381755679
2029,INDIA,WR,GJ,0.406898352
2030,INDIA,WR,GJ,0.433677671
2031,INDIA,WR,GJ,0.462199186
2032,INDIA,WR,GJ,0.492273199
2033,INDIA,WR,GJ,0.524054826
2034,INDIA,WR,GJ,0.557874572
2035,INDIA,WR,GJ,0.593856466
2036,INDIA,WR,GJ,0.632143269
2037,INDIA,WR,GJ,0.672880303
2038,INDIA,WR,GJ,0.716592294
2039,INDIA,WR,GJ,0.763202644
2040,INDIA,WR,GJ,0.812903422
2041,INDIA,WR,GJ,0.865899941
2022,INDIA,WR,MP,0.270532949
2023,INDIA,WR,MP,0.285902721
2024,INDIA,WR,MP,0.301309262
2025,INDIA,WR,MP,0.321604707
2026,INDIA,WR,MP,0.343245012
2027,INDIA,WR,MP,0.36606655
2028,INDIA,WR,MP,0.390192831
2029,INDIA,WR,MP,0.415891181
2030,INDIA,WR,MP,0.443262347
2031,INDIA,WR,MP,0.472414214
2032,INDIA,WR,MP,0.50315289
2033,INDIA,WR,MP,0.53563692
2034,INDIA,WR,MP,0.570204115
2035,INDIA,WR,MP,0.606981241
2036,INDIA,WR,MP,0.646114218
2037,INDIA,WR,MP,0.687751578
2038,INDIA,WR,MP,0.732429644
2039,INDIA,WR,MP,0.780070126
2040,INDIA,WR,MP,0.830869337
2041,INDIA,WR,MP,0.885037127
2022,INDIA,WR,CG,0.170463535
2023,INDIA,WR,CG,0.18014807
2024,INDIA,WR,CG,0.189855773
2025,INDIA,WR,CG,0.202643987
2026,INDIA,WR,CG,0.216279601
2027,INDIA,WR,CG,0.230659513
2028,INDIA,WR,CG,0.245861548
2029,INDIA,WR,CG,0.262054146
2030,INDIA,WR,CG,0.279300792
2031,INDIA,WR,CG,0.297669461
2032,INDIA,WR,CG,0.317037983
2033,INDIA,WR,CG,0.337506258
2034,INDIA,WR,CG,0.359287139
2035,INDIA,WR,CG,0.382460505
2036,INDIA,WR,CG,0.407118299
2037,INDIA,WR,CG,0.433354111
2038,INDIA,WR,CG,0.46150588
2039,INDIA,WR,CG,0.491524275
2040,INDIA,WR,CG,0.523532994
2041,INDIA,WR,CG,0.557664264
2022,INDIA,SR,AP,0.435202599
2023,INDIA,SR,AP,0.459927737
2024,INDIA,SR,AP,0.484712026
2025,INDIA,SR,AP,0.517361027
2026,INDIA,SR,AP,0.552173485
2027,INDIA,SR,AP,0.588886176
2028,INDIA,SR,AP,0.62769779
2029,INDIA,SR,AP,0.669038368
2030,INDIA,SR,AP,0.713069983
2031,INDIA,SR,AP,0.759966187
2032,INDIA,SR,AP,0.809415069
2033,INDIA,SR,AP,0.861671677
2034,INDIA,SR,AP,0.917279442
2035,INDIA,SR,AP,0.976442296
2036,INDIA,SR,AP,1.039394972
2037,INDIA,SR,AP,1.106376415
2038,INDIA,SR,AP,1.178249399
2039,INDIA,SR,AP,1.254887981
2040,INDIA,SR,AP,1.336607966
2041,INDIA,SR,AP,1.423746939
2022,INDIA,SR,KA,0.3171202
2023,INDIA,SR,KA,0.33513673
2024,INDIA,SR,KA,0.353196362
2025,INDIA,SR,KA,0.376986794
2026,INDIA,SR,KA,0.402353677
2027,INDIA,SR,KA,0.429105208
2028,INDIA,SR,KA,0.457386167
2029,INDIA,SR,KA,0.487509913
2030,INDIA,SR,KA,0.519594543
2031,INDIA,SR,KA,0.553766521
2032,INDIA,SR,KA,0.589798565
2033,INDIA,SR,KA,0.627876522
2034,INDIA,SR,KA,0.668396376
2035,INDIA,SR,KA,0.711506725
2036,INDIA,SR,KA,0.757378614
2037,INDIA,SR,KA,0.806186155
2038,INDIA,SR,KA,0.858558028
2039,INDIA,SR,KA,0.91440246
2040,INDIA,SR,KA,0.973949573
2041,INDIA,SR,KA,1.037445353
2022,INDIA,SR,KL,0.005613442
2023,INDIA,SR,KL,0.005932358
2024,INDIA,SR,KL,0.006252037
2025,INDIA,SR,KL,0.006673158
2026,INDIA,SR,KL,0.007122185
2027,INDIA,SR,KL,0.007595722
2028,INDIA,SR,KL,0.008096332
2029,INDIA,SR,KL,0.008629562
2030,INDIA,SR,KL,0.009197502
2031,INDIA,SR,KL,0.00980239
2032,INDIA,SR,KL,0.010440205
2033,INDIA,SR,KL,0.011114234
2034,INDIA,SR,KL,0.011831489
2035,INDIA,SR,KL,0.012594598
2036,INDIA,SR,KL,0.01340659
2037,INDIA,SR,KL,0.014270547
2038,INDIA,SR,KL,0.015197598
2039,INDIA,SR,KL,0.016186117
2040,INDIA,SR,KL,0.017240179
2041,INDIA,SR,KL,0.018364137
2022,INDIA,SR,TN,0.260277229
2023,INDIA,SR,TN,0.275064343
2024,INDIA,SR,TN,0.289886833
2025,INDIA,SR,TN,0.309412892
2026,INDIA,SR,TN,0.330232827
2027,INDIA,SR,TN,0.352189216
2028,INDIA,SR,TN,0.375400886
2029,INDIA,SR,TN,0.400125029
2030,INDIA,SR,TN,0.426458573
2031,INDIA,SR,TN,0.454505312
2032,INDIA,SR,TN,0.484078706
2033,INDIA,SR,TN,0.515331289
2034,INDIA,SR,TN,0.548588065
2035,INDIA,SR,TN,0.583970996
2036,INDIA,SR,TN,0.621620468
2037,INDIA,SR,TN,0.661679384
2038,INDIA,SR,TN,0.704663735
2039,INDIA,SR,TN,0.750498198
2040,INDIA,SR,TN,0.799371645
2041,INDIA,SR,TN,0.851485972
2022,INDIA,SR,TS,0.20805839
2023,INDIA,SR,TS,0.219878798
2024,INDIA,SR,TS,0.231727485
2025,INDIA,SR,TS,0.247336074
2026,INDIA,SR,TS,0.263978952
2027,INDIA,SR,TS,0.28153028
2028,INDIA,SR,TS,0.300085045
2029,INDIA,SR,TS,0.319848838
2030,INDIA,SR,TS,0.340899142
2031,INDIA,SR,TS,0.363318926
2032,INDIA,SR,TS,0.386959077
2033,INDIA,SR,TS,0.411941523
2034,INDIA,SR,TS,0.438526066
2035,INDIA,SR,TS,0.466810199
2036,INDIA,SR,TS,0.496906141
2037,INDIA,SR,TS,0.528928127
2038,INDIA,SR,TS,0.563288623
2039,INDIA,SR,TS,0.59992742
2040,INDIA,SR,TS,0.638995497
2041,INDIA,SR,TS,0.680654243
2022,INDIA,ER,OD,0.095858045
2023,INDIA,ER,OD,0.101304022
2024,INDIA,ER,OD,0.106763028
2025,INDIA,ER,OD,0.113954321
2026,INDIA,ER,OD,0.121622139
2027,INDIA,ER,OD,0.129708503
2028,INDIA,ER,OD,0.138257178
2029,INDIA,ER,OD,0.147362884
2030,INDIA,ER,OD,0.15706132
2031,INDIA,ER,OD,0.167390712
2032,INDIA,ER,OD,0.178282359
2033,INDIA,ER,OD,0.189792438
2034,INDIA,ER,OD,0.202040646
2035,INDIA,ER,OD,0.215071899
2036,INDIA,ER,OD,0.228937902
2037,INDIA,ER,OD,0.243691284
2038,INDIA,ER,OD,0.259522081
2039,INDIA,ER,OD,0.276402551
2040,INDIA,ER,OD,0.294402255
2041,INDIA,ER,OD,0.31359555
2022,INDIA,ER,JH,0.08623266
2023,INDIA,ER,JH,0.091131791
2024,INDIA,ER,JH,0.096042642
2025,INDIA,ER,JH,0.102511837
2026,INDIA,ER,JH,0.109409707
2027,INDIA,ER,JH,0.116684096
2028,INDIA,ER,JH,0.124374373
2029,INDIA,ER,JH,0.132565749
2030,INDIA,ER,JH,0.141290337
2031,INDIA,ER,JH,0.150582525
2032,INDIA,ER,JH,0.16038051
2033,INDIA,ER,JH,0.170734829
2034,INDIA,ER,JH,0.181753158
2035,INDIA,ER,JH,0.193475906
2036,INDIA,ER,JH,0.205949583
2037,INDIA,ER,JH,0.219221535
2038,INDIA,ER,JH,0.233462715
2039,INDIA,ER,JH,0.248648168
2040,INDIA,ER,JH,0.26484047
2041,INDIA,ER,JH,0.28210651
2022,INDIA,ER,WB,0.158509522
