ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,COOKSTOVE_MOD
URBAN,INDIA,SR,KA,2027,2807.031241
URBAN,INDIA,SR,KL,2027,2948.497458
URBAN,INDIA,SR,TN,2027,2348.888255
URBAN,INDIA,ER,BR,2027,3249.014273
URBAN,INDIA,ER,JH,2027,2720.665083
URBAN,INDIA,ER,OD,2027,2903.904353
URBAN,INDIA,ER,WB,2027,2811.949353
URBAN,INDIA,NER,AS,2027,3012.746292
URBAN,INDIA,ER,SK,2027,2144.913538
URBAN,INDIA,NER,NE,2027,2928.224031
RURAL,INDIA,NR,DL,2028,2620.75718
RURAL,INDIA,NR,HR,2028,3607.525325
RURAL,INDIA,NR,HP,2028,3397.043587
RURAL,INDIA,NR,JK,2028,3673.133632
RURAL,INDIA,NR,PB,2028,3239.136532
RURAL,INDIA,NR,RJ,2028,3979.598682
RURAL,INDIA,NR,UP,2028,3718.603205
RURAL,INDIA,NR,UK,2028,3743.56774
RURAL,INDIA,WR,CG,2028,3529.368364
RURAL,INDIA,WR,GJ,2028,3553.489828
RURAL,INDIA,WR,MP,2028,3511.616841
RURAL,INDIA,WR,MH,2028,3497.101317
RURAL,INDIA,WR,GA,2028,3170.32138
RURAL,INDIA,SR,AP,2028,2476.852579
RURAL,INDIA,SR,TS,2028,2760.392429
RURAL,INDIA,SR,KA,2028,3055.77721
RURAL,INDIA,SR,KL,2028,2898.902266
RURAL,INDIA,SR,TN,2028,2931.782405
RURAL,INDIA,ER,BR,2028,3956.609697
RURAL,INDIA,ER,JH,2028,3506.618139
RURAL,INDIA,ER,OD,2028,2831.654359
RURAL,INDIA,ER,WB,2028,2577.024574
RURAL,INDIA,NER,AS,2028,3298.747835
RURAL,INDIA,ER,SK,2028,3131.940432
RURAL,INDIA,NER,NE,2028,3377.552556
URBAN,INDIA,NR,DL,2028,3056.365115
URBAN,INDIA,NR,HR,2028,3202.321095
URBAN,INDIA,NR,HP,2028,1795.600991
URBAN,INDIA,NR,JK,2028,2801.221338
URBAN,INDIA,NR,PB,2028,3137.950146
URBAN,INDIA,NR,RJ,2028,3194.858449
URBAN,INDIA,NR,UP,2028,3267.686809
URBAN,INDIA,NR,UK,2028,3150.381641
URBAN,INDIA,WR,CG,2028,3242.207624
URBAN,INDIA,WR,GJ,2028,3044.742318
URBAN,INDIA,WR,MP,2028,3457.927883
URBAN,INDIA,WR,MH,2028,2719.564674
URBAN,INDIA,WR,GA,2028,3120.878066
URBAN,INDIA,SR,AP,2028,2284.247651
URBAN,INDIA,SR,TS,2028,2261.623983
URBAN,INDIA,SR,KA,2028,2802.74582
URBAN,INDIA,SR,KL,2028,2938.230432
URBAN,INDIA,SR,TN,2028,2322.956914
URBAN,INDIA,ER,BR,2028,3210.507318
URBAN,INDIA,ER,JH,2028,2661.488169
URBAN,INDIA,ER,OD,2028,2903.90458
URBAN,INDIA,ER,WB,2028,2793.357231
URBAN,INDIA,NER,AS,2028,3012.746572
URBAN,INDIA,ER,SK,2028,2116.614243
URBAN,INDIA,NER,NE,2028,2886.599464
RURAL,INDIA,NR,DL,2029,2550.218341
RURAL,INDIA,NR,HR,2029,3572.569048
RURAL,INDIA,NR,HP,2029,3397.042337
RURAL,INDIA,NR,JK,2029,3630.293901
RURAL,INDIA,NR,PB,2029,3198.912559
RURAL,INDIA,NR,RJ,2029,3965.652533
RURAL,INDIA,NR,UP,2029,3669.841886
RURAL,INDIA,NR,UK,2029,3743.567763
RURAL,INDIA,WR,CG,2029,3512.850764
RURAL,INDIA,WR,GJ,2029,3521.386653
RURAL,INDIA,WR,MP,2029,3481.625934
RURAL,INDIA,WR,MH,2029,3484.747243
RURAL,INDIA,WR,GA,2029,3156.554435
RURAL,INDIA,SR,AP,2029,2446.021678
RURAL,INDIA,SR,TS,2029,2745.800683
RURAL,INDIA,SR,KA,2029,3015.500088
RURAL,INDIA,SR,KL,2029,2877.794008
RURAL,INDIA,SR,TN,2029,2931.504049
RURAL,INDIA,ER,BR,2029,3942.086326
RURAL,INDIA,ER,JH,2029,3466.338173
RURAL,INDIA,ER,OD,2029,2800.900923
RURAL,INDIA,ER,WB,2029,2525.168819
RURAL,INDIA,NER,AS,2029,3242.713068
RURAL,INDIA,ER,SK,2029,3112.44543
RURAL,INDIA,NER,NE,2029,3340.979129
URBAN,INDIA,NR,DL,2029,3039.640369
URBAN,INDIA,NR,HR,2029,3183.290333
URBAN,INDIA,NR,HP,2029,1747.953991
URBAN,INDIA,NR,JK,2029,2742.621452
URBAN,INDIA,NR,PB,2029,3124.686349
URBAN,INDIA,NR,RJ,2029,3159.66906
URBAN,INDIA,NR,UP,2029,3223.823799
URBAN,INDIA,NR,UK,2029,3150.379537
URBAN,INDIA,WR,CG,2029,3217.542038
URBAN,INDIA,WR,GJ,2029,3025.508713
URBAN,INDIA,WR,MP,2029,3451.111707
URBAN,INDIA,WR,MH,2029,2676.763365
URBAN,INDIA,WR,GA,2029,3120.87426
URBAN,INDIA,SR,AP,2029,2254.244875
URBAN,INDIA,SR,TS,2029,2230.437977
URBAN,INDIA,SR,KA,2029,2798.466975
URBAN,INDIA,SR,KL,2029,2927.999272
