EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DECCostInBT_BA
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,WR,844.4444731867333
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NR,1032.935177659781
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,SR,460.79170516988034
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NER,36.532538970762424
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,ER,515.7687021168199
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,WR,1363.0487060251648
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NR,1348.151599733459
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,SR,762.6815172317476
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NER,28.956513514674242
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,ER,223.45416397493335
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,WR,517.865041401704
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NR,536.3858426951952
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,SR,269.04694900474414
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NER,22.20081405455637
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,ER,226.9014164425602
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,WR,569.040433921229
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NR,551.9687482405277
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,SR,290.0843781538502
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NER,20.034701086580988
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,ER,230.1175000210874
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,WR,584.7987182930789
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NR,578.6985121763462
