ModelGeography,SubGeography1,SubGeography2,Year,IF+EAF+BOF
INDIA,ER,OD,2031,3.404
INDIA,ER,SK,2031,0
INDIA,ER,WB,2031,5.111
INDIA,NER,AS,2031,0.138
INDIA,NER,NE,2031,0.181
INDIA,NR,DL,2031,0.006
INDIA,NR,HP,2031,1.619
INDIA,NR,HR,2031,0.211
INDIA,NR,JK,2031,0.187
INDIA,NR,PB,2031,4.145
INDIA,NR,RJ,2031,0.795
INDIA,NR,UK,2031,1.268
INDIA,NR,UP,2031,1.532
INDIA,SR,AP,2031,1.956
INDIA,SR,KA,2031,1.159
INDIA,SR,KL,2031,0.415
INDIA,SR,TN,2031,2.543
INDIA,SR,TS,2031,1.873
INDIA,WR,CG,2031,7.333
INDIA,WR,GA,2031,0.521
INDIA,WR,GJ,2031,2.773
INDIA,WR,MH,2031,4.687
INDIA,WR,MP,2031,0.728
INDIA,ER,BR,2032,0.684
INDIA,ER,JH,2032,1.808
INDIA,ER,OD,2032,3.437
INDIA,ER,SK,2032,0
INDIA,ER,WB,2032,5.162
INDIA,NER,AS,2032,0.139
INDIA,NER,NE,2032,0.184
INDIA,NR,DL,2032,0.006
INDIA,NR,HP,2032,1.635
INDIA,NR,HR,2032,0.213
INDIA,NR,JK,2032,0.188
INDIA,NR,PB,2032,4.186
INDIA,NR,RJ,2032,0.802
INDIA,NR,UK,2032,1.28
INDIA,NR,UP,2032,1.547
INDIA,SR,AP,2032,1.976
INDIA,SR,KA,2032,1.171
INDIA,SR,KL,2032,0.42
INDIA,SR,TN,2032,2.569
INDIA,SR,TS,2032,1.892
INDIA,WR,CG,2032,7.407
INDIA,WR,GA,2032,0.526
INDIA,WR,GJ,2032,2.8
INDIA,WR,MH,2032,4.734
INDIA,WR,MP,2032,0.735
INDIA,ER,BR,2033,0.69
INDIA,ER,JH,2033,1.826
INDIA,ER,OD,2033,3.472
INDIA,ER,SK,2033,0
INDIA,ER,WB,2033,5.213
INDIA,NER,AS,2033,0.141
INDIA,NER,NE,2033,0.186
INDIA,NR,DL,2033,0.006
INDIA,NR,HP,2033,1.651
INDIA,NR,HR,2033,0.216
INDIA,NR,JK,2033,0.19
INDIA,NR,PB,2033,4.227
INDIA,NR,RJ,2033,0.81
INDIA,NR,UK,2033,1.294
INDIA,NR,UP,2033,1.562
INDIA,SR,AP,2033,1.996
INDIA,SR,KA,2033,1.182
INDIA,SR,KL,2033,0.424
INDIA,SR,TN,2033,2.595
INDIA,SR,TS,2033,1.911
INDIA,WR,CG,2033,7.481
INDIA,WR,GA,2033,0.531
INDIA,WR,GJ,2033,2.829
INDIA,WR,MH,2033,4.781
INDIA,WR,MP,2033,0.743
INDIA,ER,BR,2034,0.698
INDIA,ER,JH,2034,1.845
INDIA,ER,OD,2034,3.507
INDIA,ER,SK,2034,0
INDIA,ER,WB,2034,5.266
INDIA,NER,AS,2034,0.143
INDIA,NER,NE,2034,0.187
INDIA,NR,DL,2034,0.006
INDIA,NR,HP,2034,1.668
INDIA,NR,HR,2034,0.218
INDIA,NR,JK,2034,0.192
INDIA,NR,PB,2034,4.27
INDIA,NR,RJ,2034,0.819
INDIA,NR,UK,2034,1.306
INDIA,NR,UP,2034,1.578
INDIA,SR,AP,2034,2.016
INDIA,SR,KA,2034,1.194
INDIA,SR,KL,2034,0.429
INDIA,SR,TN,2034,2.621
INDIA,SR,TS,2034,1.93
INDIA,WR,CG,2034,7.556
INDIA,WR,GA,2034,0.537
INDIA,WR,GJ,2034,2.857
INDIA,WR,MH,2034,4.829
INDIA,WR,MP,2034,0.751
INDIA,ER,BR,2035,0.704
INDIA,ER,JH,2035,1.863
INDIA,ER,OD,2035,3.542
INDIA,ER,SK,2035,0
INDIA,ER,WB,2035,5.318
INDIA,NER,AS,2035,0.143
INDIA,NER,NE,2035,0.189
INDIA,NR,DL,2035,0.006
INDIA,NR,HP,2035,1.684
INDIA,NR,HR,2035,0.22
INDIA,NR,JK,2035,0.194
INDIA,NR,PB,2035,4.313
INDIA,NR,RJ,2035,0.827
INDIA,NR,UK,2035,1.319
INDIA,NR,UP,2035,1.594
