ModelGeography,SubGeography1,SubGeography2,Year,EAF+BOF+IF
INDIA,NR,UK,2033,0
INDIA,NR,UP,2033,0
INDIA,SR,AP,2033,0
INDIA,SR,KA,2033,5.889514984
INDIA,SR,KL,2033,0
INDIA,SR,TN,2033,0.200184463
INDIA,SR,TS,2033,0
INDIA,WR,CG,2033,7.239076322
INDIA,WR,GA,2033,0
INDIA,WR,GJ,2033,13.33595337
INDIA,WR,MH,2033,11.80053272
INDIA,WR,MP,2033,0
INDIA,ER,BR,2034,0
INDIA,ER,JH,2034,1.207294631
INDIA,ER,OD,2034,12.58268922
INDIA,ER,SK,2034,0
INDIA,ER,WB,2034,0.6807189
INDIA,NER,AS,2034,0
INDIA,NER,NE,2034,0
INDIA,NR,DL,2034,0
INDIA,NR,HP,2034,0
INDIA,NR,HR,2034,1.369807944
INDIA,NR,JK,2034,0
INDIA,NR,PB,2034,0.748235269
INDIA,NR,RJ,2034,0
INDIA,NR,UK,2034,0
INDIA,NR,UP,2034,0
INDIA,SR,AP,2034,0
INDIA,SR,KA,2034,6.166865562
INDIA,SR,KL,2034,0
INDIA,SR,TN,2034,0.210011785
INDIA,SR,TS,2034,0
INDIA,WR,CG,2034,7.579349631
INDIA,WR,GA,2034,0
INDIA,WR,GJ,2034,13.96045614
INDIA,WR,MH,2034,12.35382672
INDIA,WR,MP,2034,0
INDIA,ER,BR,2035,0
INDIA,ER,JH,2035,1.262915149
INDIA,ER,OD,2035,13.16552208
INDIA,ER,SK,2035,0
INDIA,ER,WB,2035,0.71225621
INDIA,NER,AS,2035,0
INDIA,NER,NE,2035,0
INDIA,NR,DL,2035,0
INDIA,NR,HP,2035,0
INDIA,NR,HR,2035,1.433085023
INDIA,NR,JK,2035,0
INDIA,NR,PB,2035,0.782695941
INDIA,NR,RJ,2035,0
INDIA,NR,UK,2035,0
INDIA,NR,UP,2035,0
INDIA,SR,AP,2035,0
INDIA,SR,KA,2035,6.452126308
INDIA,SR,KL,2035,0
INDIA,SR,TN,2035,0.219034946
INDIA,SR,TS,2035,0
INDIA,WR,CG,2035,7.930689549
INDIA,WR,GA,2035,0
INDIA,WR,GJ,2035,14.60800703
INDIA,WR,MH,2035,12.92662411
INDIA,WR,MP,2035,0
INDIA,ER,BR,2036,0
INDIA,ER,JH,2036,1.320230043
INDIA,ER,OD,2036,13.75725435
INDIA,ER,SK,2036,0
INDIA,ER,WB,2036,0.744720463
INDIA,NER,AS,2036,0
INDIA,NER,NE,2036,0
INDIA,NR,DL,2036,0
INDIA,NR,HP,2036,0
INDIA,NR,HR,2036,1.49713233
INDIA,NR,JK,2036,0
INDIA,NR,PB,2036,0.818288799
INDIA,NR,RJ,2036,0
INDIA,NR,UK,2036,0
INDIA,NR,UP,2036,0
INDIA,SR,AP,2036,0
INDIA,SR,KA,2036,6.605693834
INDIA,SR,KL,2036,0
INDIA,SR,TN,2036,0.229569262
INDIA,SR,TS,2036,0
INDIA,WR,CG,2036,8.286221938
INDIA,WR,GA,2036,0
INDIA,WR,GJ,2036,15.38544173
INDIA,WR,MH,2036,13.57522807
INDIA,WR,MP,2036,0
INDIA,ER,BR,2037,0
INDIA,ER,JH,2037,1.379603032
INDIA,ER,OD,2037,14.37642254
INDIA,ER,SK,2037,0
INDIA,ER,WB,2037,0.77901867
INDIA,NER,AS,2037,0
INDIA,NER,NE,2037,0
INDIA,NR,DL,2037,0
INDIA,NR,HP,2037,0
INDIA,NR,HR,2037,1.565011627
INDIA,NR,JK,2037,0
INDIA,NR,PB,2037,0.855274394
INDIA,NR,RJ,2037,0
INDIA,NR,UK,2037,0
INDIA,NR,UP,2037,0
INDIA,SR,AP,2037,0
INDIA,SR,KA,2037,6.823702811
INDIA,SR,KL,2037,0
INDIA,SR,TN,2037,0.23998503
INDIA,SR,TS,2037,0
INDIA,WR,CG,2037,8.659896812
INDIA,WR,GA,2037,0
INDIA,WR,GJ,2037,16.13371178
INDIA,WR,MH,2037,14.22156607
INDIA,WR,MP,2037,0
INDIA,ER,BR,2038,0
INDIA,ER,JH,2038,1.441632643
INDIA,ER,OD,2038,15.01878672
INDIA,ER,SK,2038,0
INDIA,ER,WB,2038,0.813479825
INDIA,NER,AS,2038,0
INDIA,NER,NE,2038,0
INDIA,NR,DL,2038,0
INDIA,NR,HP,2038,0
INDIA,NR,HR,2038,1.635156332
INDIA,NR,JK,2038,0
INDIA,NR,PB,2038,0.892848305
INDIA,NR,RJ,2038,0
INDIA,NR,UK,2038,0
INDIA,NR,UP,2038,0
INDIA,SR,AP,2038,0
INDIA,SR,KA,2038,7.128117584
INDIA,SR,KL,2038,0
INDIA,SR,TN,2038,0.250601293
INDIA,SR,TS,2038,0
INDIA,WR,CG,2038,9.046638262
INDIA,WR,GA,2038,0
INDIA,WR,GJ,2038,16.85490847
INDIA,WR,MH,2038,14.85820201
INDIA,WR,MP,2038,0
INDIA,ER,BR,2039,0
INDIA,ER,JH,2039,1.504928258
INDIA,ER,OD,2039,15.68334584
INDIA,ER,SK,2039,0
INDIA,ER,WB,2039,0.849655421
INDIA,NER,AS,2039,0
INDIA,NER,NE,2039,0
INDIA,NR,DL,2039,0
