InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,ConvEff
2020,RF_OTHERPP,2024,INDIA,,0.98
2020,RF_OTHERPP,2025,INDIA,,0.98
2020,RF_OTHERPP,2026,INDIA,,0.98
2020,RF_OTHERPP,2027,INDIA,,0.98
2020,RF_OTHERPP,2028,INDIA,,0.98
2020,RF_OTHERPP,2029,INDIA,,0.98
2020,RF_OTHERPP,2030,INDIA,,0.98
2020,RF_OTHERPP,2031,INDIA,,0.98
2021,RF_OTHERPP,2021,INDIA,,0.98
2021,RF_OTHERPP,2022,INDIA,,0.98
2022,RF_OTHERPP,2022,INDIA,,0.98
2021,RF_OTHERPP,2023,INDIA,,0.98
2022,RF_OTHERPP,2023,INDIA,,0.98
2023,RF_OTHERPP,2023,INDIA,,0.98
2021,RF_OTHERPP,2024,INDIA,,0.98
2022,RF_OTHERPP,2024,INDIA,,0.98
2023,RF_OTHERPP,2024,INDIA,,0.98
2024,RF_OTHERPP,2024,INDIA,,0.98
2021,RF_OTHERPP,2025,INDIA,,0.98
2022,RF_OTHERPP,2025,INDIA,,0.98
2023,RF_OTHERPP,2025,INDIA,,0.98
2024,RF_OTHERPP,2025,INDIA,,0.98
2025,RF_OTHERPP,2025,INDIA,,0.98
2021,RF_OTHERPP,2026,INDIA,,0.98
2022,RF_OTHERPP,2026,INDIA,,0.98
2023,RF_OTHERPP,2026,INDIA,,0.98
2024,RF_OTHERPP,2026,INDIA,,0.98
2025,RF_OTHERPP,2026,INDIA,,0.98
2026,RF_OTHERPP,2026,INDIA,,0.98
2021,RF_OTHERPP,2027,INDIA,,0.98
2022,RF_OTHERPP,2027,INDIA,,0.98
2023,RF_OTHERPP,2027,INDIA,,0.98
2024,RF_OTHERPP,2027,INDIA,,0.98
2025,RF_OTHERPP,2027,INDIA,,0.98
2026,RF_OTHERPP,2027,INDIA,,0.98
2027,RF_OTHERPP,2027,INDIA,,0.98
2021,RF_OTHERPP,2028,INDIA,,0.98
2022,RF_OTHERPP,2028,INDIA,,0.98
2023,RF_OTHERPP,2028,INDIA,,0.98
2024,RF_OTHERPP,2028,INDIA,,0.98
2025,RF_OTHERPP,2028,INDIA,,0.98
2026,RF_OTHERPP,2028,INDIA,,0.98
2027,RF_OTHERPP,2028,INDIA,,0.98
2028,RF_OTHERPP,2028,INDIA,,0.98
2021,RF_OTHERPP,2029,INDIA,,0.98
2022,RF_OTHERPP,2029,INDIA,,0.98
2023,RF_OTHERPP,2029,INDIA,,0.98
2024,RF_OTHERPP,2029,INDIA,,0.98
2025,RF_OTHERPP,2029,INDIA,,0.98
2026,RF_OTHERPP,2029,INDIA,,0.98
2027,RF_OTHERPP,2029,INDIA,,0.98
2028,RF_OTHERPP,2029,INDIA,,0.98
2029,RF_OTHERPP,2029,INDIA,,0.98
2021,RF_OTHERPP,2030,INDIA,,0.98
2022,RF_OTHERPP,2030,INDIA,,0.98
2023,RF_OTHERPP,2030,INDIA,,0.98
2024,RF_OTHERPP,2030,INDIA,,0.98
2025,RF_OTHERPP,2030,INDIA,,0.98
2026,RF_OTHERPP,2030,INDIA,,0.98
2027,RF_OTHERPP,2030,INDIA,,0.98
2028,RF_OTHERPP,2030,INDIA,,0.98
2029,RF_OTHERPP,2030,INDIA,,0.98
2030,RF_OTHERPP,2030,INDIA,,0.98
2021,RF_OTHERPP,2031,INDIA,,0.98
2022,RF_OTHERPP,2031,INDIA,,0.98
