EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,152.02408161755656,13986.215508815203
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,115.01976745693409,10581.818606037936
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,131.59784897231404,12107.002105452892
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,3.5312217747195507,324.8724032741987
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,73.80532896943139,6790.090265187688
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,WR,154.03345287618546,14171.077664609064
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,129.08475757754485,11875.797697134127
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,130.25854910089967,11983.78651728277
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,7.631159227450021,702.0666489254019
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,105.30625011816656,9688.175010871324
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,WR,262.14703899948483,24117.527587952605
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,202.67300985923495,18645.916907049617
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,216.7745311451423,19943.25686535309
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,6.935881602265047,638.1011074083843
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,45.80323118567984,2702.3906399551106
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,WR,117.62390985648585,6939.8106815326655
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,92.46905641530158,5455.674328502793
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,99.31220350379496,5859.420006723903
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,2.9103780708606246,171.71230618077686
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,61.20708572986184,3611.2180580618483
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,WR,149.0587710242154,8794.467490428708
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,112.00760578252026,6608.448741168695
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,129.62365979746582,7647.795928050484
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,3.737187198923663,220.4940447364961
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,67.76714801190643,3998.261732702479
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,WR,164.83646151454016,9725.35122935787
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,126.36443498777759,7455.501664278878
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,150.70700079120863,8891.713046681309
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,4.407088761318866,260.01823691781306
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,66.7592000015653,3938.792800092353
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,160.79080300647828,9486.657377382218
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,123.52663634740694,7288.071544497009
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,145.12078280251404,8562.126185348328
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,4.15317528249236,245.03734166704925
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,86.56223815806901,5107.172051326072
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,WR,170.7708052897575,10075.477512095693
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,140.3346715409227,8279.745620914438
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,158.26311213967455,9337.523616240798
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,8.142570575326232,480.4116639442477
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,111.0669900459033,6552.952412708294
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,WR,266.05989570218736,15697.533846429054
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,204.9548585634409,12092.336655243013
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,SR,225.00007722018466,13275.004555990896
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NER,7.306485301421828,431.08263278388785
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,ER,60.402460390163675,3684.5500837999843
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,WR,140.69772579362277,8582.561273410989
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NR,123.6261042560182,7541.19235961711
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,SR,127.09032120331183,7752.509593402022
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NER,3.461403440975346,211.1456098994961
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,ER,73.78618067823695,4500.957021372454
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,WR,173.6380600607353,10591.921663704854
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NR,157.72754139541365,9621.380025120232
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,SR,155.26103771210313,9470.923300438291
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NER,4.961740598916166,302.66617653388613
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,ER,75.65063696707844,4614.688854991785
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,WR,173.00332571737727,10553.202868760014
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NR,167.43439245124085,10213.497939525692
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,SR,153.19706581160582,9345.021014507955
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NER,6.222363581843709,379.5641784924662
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,74.1243116433504,4521.583010244374
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,162.32665876377934,9901.92618459054
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,157.93640520539287,9634.120717528966
