EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H01,2.480601149
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H02,2.39003985
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H03,2.316241758
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H04,2.377624854
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H05,2.382833689
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H06,1.853569031
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H07,1.414614699
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H08,2.109993987
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H09,3.145180222
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H10,3.317777056
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H11,3.385685364
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H12,3.414608286
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H13,3.324078675
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H14,3.310330104
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H15,3.428890514
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H16,3.055119396
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H17,3.026875519
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H18,3.047425247
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H19,2.809672298
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H20,2.830183099
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H21,2.404257013
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H22,2.372406984
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H23,2.530694248
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H00,2.358986165
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H01,2.378714361
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H02,2.312788956
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H03,2.246000265
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H04,2.319909295
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H05,2.354666568
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H06,1.846300416
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H07,1.497444284
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H08,2.226286202
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H09,3.288280638
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H10,3.508854271
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H11,3.563764447
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H12,3.570229924
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H13,3.502200595
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H14,3.484338092
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H15,3.595145427
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H16,3.222255171
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H17,3.203121208
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H18,3.217542753
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H19,2.897413307
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H20,2.832993088
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H21,2.384148059
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H22,2.292977699
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S05Aug,ALLDAYS,H23,2.459337969
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H00,2.256651134
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H01,2.342477525
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H02,2.269799563
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H03,2.217181272
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H04,2.337483838
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H05,2.367157049
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H06,2.04511195
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S06Sep,ALLDAYS,H07,1.491933903
