Year,ModelGeography,SubGeography1,SubGeography2,Population,NumHouseholds
2025,INDIA,NR,PB,31464973,8134299
2026,INDIA,NR,PB,31774949,8312327
2027,INDIA,NR,PB,32087979,8494723
2028,INDIA,NR,PB,32404094,8681621
2029,INDIA,NR,PB,32723322,8873157
2030,INDIA,NR,PB,33045695,9069473
2031,INDIA,NR,PB,33371244,9270716
2021,INDIA,NR,RJ,77476523,17519789
2022,INDIA,NR,RJ,78531141,17948457
2023,INDIA,NR,RJ,79600113,18386327
2024,INDIA,NR,RJ,80683636,18833553
2025,INDIA,NR,RJ,81781908,19290292
2026,INDIA,NR,RJ,82895130,19756701
2027,INDIA,NR,RJ,84023506,20232939
2028,INDIA,NR,RJ,85167240,20719165
2029,INDIA,NR,RJ,86326544,21215539
2030,INDIA,NR,RJ,87501628,21722223
2031,INDIA,NR,RJ,88692708,22239378
2021,INDIA,NR,UK,11314915,2786976
2022,INDIA,NR,UK,11458621,2851605
2023,INDIA,NR,UK,11604153,2917511
2024,INDIA,NR,UK,11751534,2984712
2025,INDIA,NR,UK,11900786,3053226
2026,INDIA,NR,UK,12051934,3123070
2027,INDIA,NR,UK,12205002,3194262
2028,INDIA,NR,UK,12360014,3266821
2029,INDIA,NR,UK,12516994,3340764
2030,INDIA,NR,UK,12675969,3416109
2031,INDIA,NR,UK,12836962,3492874
2021,INDIA,NR,UP,223414742,44383342
2022,INDIA,NR,UP,226205172,45225876
2023,INDIA,NR,UP,229030455,46084520
2024,INDIA,NR,UP,231891025,46959591
2025,INDIA,NR,UP,234787324,47851414
2026,INDIA,NR,UP,237719797,48760322
2027,INDIA,NR,UP,240688896,49686653
2028,INDIA,NR,UP,243695079,50630755
2029,INDIA,NR,UP,246738809,51592980
2030,INDIA,NR,UP,249820555,52573690
2031,INDIA,NR,UP,252940791,53573254
2021,INDIA,SR,AP,52028130,16647481
2022,INDIA,SR,AP,52321122,16962234
2023,INDIA,SR,AP,52614872,17281638
2024,INDIA,SR,AP,52909359,17605711
2025,INDIA,SR,AP,53204561,17934467
2026,INDIA,SR,AP,53500453,18267918
2027,INDIA,SR,AP,53797013,18606076
2028,INDIA,SR,AP,54094215,18948947
2029,INDIA,SR,AP,54392034,19296533
2030,INDIA,SR,AP,54690445,19648838
2031,INDIA,SR,AP,54989418,20005855
2021,INDIA,SR,KA,65784305,16939632
2022,INDIA,SR,KA,66326465,17237962
2023,INDIA,SR,KA,66873094,17540993
2024,INDIA,SR,KA,67424227,17848795
2025,INDIA,SR,KA,67979904,18161441
2026,INDIA,SR,KA,68540159,18479000
2027,INDIA,SR,KA,69105033,18801550
2028,INDIA,SR,KA,69674561,19129164
2029,INDIA,SR,KA,70248782,19461918
2030,INDIA,SR,KA,70827738,19799893
2031,INDIA,SR,KA,71411463,20143166
2021,INDIA,SR,KL,34846590,9830971
2022,INDIA,SR,KL,35011141,9994670
2023,INDIA,SR,KL,35176470,10162447
2024,INDIA,SR,KL,35342578,10334464
2025,INDIA,SR,KL,35509471,10510891
2026,INDIA,SR,KL,35677152,10691907
2027,INDIA,SR,KL,35845626,10877697
2028,INDIA,SR,KL,36014894,11068457
2029,INDIA,SR,KL,36184962,11264392
2030,INDIA,SR,KL,36355834,11465716
2031,INDIA,SR,KL,36527511,11672654
2021,INDIA,SR,TN,76161625,22440930
2022,INDIA,SR,TN,76615012,22707602
2023,INDIA,SR,TN,77071097,22978306
2024,INDIA,SR,TN,77529897,23253120
2025,INDIA,SR,TN,77991428,23532124
2026,INDIA,SR,TN,78455707,23815399
2027,INDIA,SR,TN,78922750,24103028
2028,INDIA,SR,TN,79392573,24395095
2029,INDIA,SR,TN,79865192,24691688
2030,INDIA,SR,TN,80340626,24992895
2031,INDIA,SR,TN,80818889,25298806
2021,INDIA,SR,TS,37775399,12095737
2022,INDIA,SR,TS,38079984,12352211
2023,INDIA,SR,TS,38387787,12613594
2024,INDIA,SR,TS,38698856,12879960
2025,INDIA,SR,TS,39013239,13151383
2026,INDIA,SR,TS,39330989,13427939
2027,INDIA,SR,TS,39652155,13709701
2028,INDIA,SR,TS,39976788,13996744
2029,INDIA,SR,TS,40304942,14289144
2030,INDIA,SR,TS,40636670,14586976
2031,INDIA,SR,TS,40972030,14890315
2021,INDIA,WR,CG,28064049,6374942
2022,INDIA,WR,CG,28352072,6483611
2023,INDIA,WR,CG,28643052,6593812
2024,INDIA,WR,CG,28937018,6705560
2025,INDIA,WR,CG,29234001,6818873
2026,INDIA,WR,CG,29534032,6933768
2027,INDIA,WR,CG,29837142,7050263
2028,INDIA,WR,CG,30143363,7168375
2029,INDIA,WR,CG,30452727,7288123
2030,INDIA,WR,CG,30765266,7409523
2031,INDIA,WR,CG,31081013,7532594
2021,INDIA,WR,GA,1668358,501668
2022,INDIA,WR,GA,1688194,515731
2023,INDIA,WR,GA,1708266,530210
2024,INDIA,WR,GA,1728577,545122
2025,INDIA,WR,GA,1749128,560480
2026,INDIA,WR,GA,1769925,576301
2027,INDIA,WR,GA,1790969,592603
2028,INDIA,WR,GA,1812262,609402
2029,INDIA,WR,GA,1833809,626717
2030,INDIA,WR,GA,1855613,644568
2031,INDIA,WR,GA,1877675,662974
2021,INDIA,WR,GJ,66978656,16482034
2022,INDIA,WR,GJ,67752491,16816155
2023,INDIA,WR,GJ,68535265,17157933
2024,INDIA,WR,GJ,69327084,17507549
2025,INDIA,WR,GJ,70128050,17865186
2026,INDIA,WR,GJ,70938270,18231032
2027,INDIA,WR,GJ,71757852,18605278
2028,INDIA,WR,GJ,72586902,18988120
2029,INDIA,WR,GJ,73425531,19379757
2030,INDIA,WR,GJ,74273849,19780393
2031,INDIA,WR,GJ,75131967,20190236
2021,INDIA,WR,MH,125065684,32873222
2022,INDIA,WR,MH,126558287,33607835
2023,INDIA,WR,MH,128068704,34357142
2024,INDIA,WR,MH,129597148,35121386
2025,INDIA,WR,MH,131143833,35900811
2026,INDIA,WR,MH,132708976,36695663
2027,INDIA,WR,MH,134292799,37506192
2028,INDIA,WR,MH,135895525,38332649
2029,INDIA,WR,MH,137517377,39175286
2030,INDIA,WR,MH,139158587,40034361
2031,INDIA,WR,MH,140819383,40910130
2021,INDIA,WR,MP,81197470,20197159
2022,INDIA,WR,MP,82213502,20760126
2023,INDIA,WR,MP,83242249,21337850
2024,INDIA,WR,MP,84283868,21930677
2025,INDIA,WR,MP,85338520,22538960
2026,INDIA,WR,MP,86406370,23163059
2027,INDIA,WR,MP,87487582,23803340
2028,INDIA,WR,MP,88582323,24460176
2029,INDIA,WR,MP,89690764,25133946
2030,INDIA,WR,MP,90813073,25825036
2031,INDIA,WR,MP,91949428,26533838
2021,INDIA,WR,UT,3551578,1062572
2022,INDIA,WR,UT,3634224,1099149
2023,INDIA,WR,UT,3719164,1137005
2024,INDIA,WR,UT,3806472,1176184
2025,INDIA,WR,UT,3896224,1216735
2026,INDIA,WR,UT,3988502,1258707
2027,INDIA,WR,UT,4083385,1302150
2028,INDIA,WR,UT,4180961,1347116
2029,INDIA,WR,UT,4281317,1393659
2030,INDIA,WR,UT,4384544,1441836
2031,INDIA,WR,UT,4490740,1491706
