EnergyCarrier,EmissionType,EnergyConvTech,InstYear,ModelGeography,SubGeography1,Year,Season,DayType,DaySlice,Emission
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,WINTER,ALLDAYS,AFTERNOON,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,WINTER,ALLDAYS,EVENING,16943.98126652605
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,WINTER,ALLDAYS,NIGHT,33887.96253305212
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SPRING,ALLDAYS,EARLY,8149.68664178019
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SPRING,ALLDAYS,MORN,8149.68664178019
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SPRING,ALLDAYS,MID,8149.68664178019
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SPRING,ALLDAYS,AFTERNOON,8149.68664178019
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SPRING,ALLDAYS,EVENING,10866.248855706925
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SPRING,ALLDAYS,NIGHT,21732.497711413864
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,SUMMER,ALLDAYS,EARLY,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,SUMMER,ALLDAYS,MORN,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,SUMMER,ALLDAYS,MID,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,SUMMER,ALLDAYS,AFTERNOON,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,SUMMER,ALLDAYS,EVENING,11234.596274544447
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,SUMMER,ALLDAYS,NIGHT,22469.192549088908
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,MONSOON,ALLDAYS,EARLY,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,MONSOON,ALLDAYS,MORN,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,MONSOON,ALLDAYS,MID,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,MONSOON,ALLDAYS,AFTERNOON,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,MONSOON,ALLDAYS,EVENING,16943.98126652605
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,MONSOON,ALLDAYS,NIGHT,33887.96253305212
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,AUTUMN,ALLDAYS,EARLY,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2022,AUTUMN,ALLDAYS,MORN,8425.947205908333
