Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,JK,ALL,1.4061273851694815,85.77377049533837
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,PB,ALL,3.099593051383001,189.07517613436306
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,RJ,ALL,3.261298613597821,198.93921542946708
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UP,ALL,5.50953772487554,336.08180121740793
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UK,ALL,0.7871147446934534,48.01399942630066
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,AP,ALL,3.472897500732796,211.84674754470055
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KA,ALL,5.144768560701197,313.830882202773
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KL,ALL,2.2055108375986414,134.53616109351714
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TN,ALL,6.531812048779989,398.44053497557934
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TS,ALL,3.447372211757808,210.2897049172263
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,AS,ALL,0.79068567714064,48.23182630557904
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,NE,ALL,0.564574166279731,34.43902414306359
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,BR,ALL,2.237695153813738,136.49940438263803
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,JH,ALL,0.7426923382639633,45.30423263410176
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,OD,ALL,1.613798960002088,98.44173656012737
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,WB,ALL,5.580346483803376,340.4011355120059
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,CG,ALL,1.0363998993624366,63.22039386110863
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,GJ,ALL,4.352978032464931,265.5316599803608
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,MP,ALL,5.489872678830897,334.8822334086847
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,MH,ALL,12.588292705260049,767.885855020863
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,GA,ALL,0.3211808034866713,19.592029012686947
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,UT,ALL,0.5097616229655827,31.095459000900544
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,DL,ALL,5.197571929359918,317.05188769095497
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,HR,ALL,3.762367521099501,229.50441878706957
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,HP,ALL,0.8319411425317609,50.74840969443741
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,JK,ALL,1.8045301443940875,110.07633880803934
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,PB,ALL,3.977811082903485,242.64647605711258
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,RJ,ALL,4.185333220721702,255.30532646402384
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,UP,ALL,7.070573413092926,431.30497819866844
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,UK,ALL,1.0101305888367589,61.61796591904229
2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,AP,ALL,4.456885126330645,271.86999270616934
2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,KA,ALL,6.602452985686888,402.74963212690017
2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,KL,ALL,2.830405575339699,172.65474009572162
2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,TN,ALL,8.382492129127172,511.3320198767575
2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,TS,ALL,4.424127671880725,269.8717879847242
2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,AS,ALL,1.0147132862245252,61.897510459696036
2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,NE,ALL,0.7245368466477793,44.196747645514534
2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,BR,ALL,2.324878081283942,141.81756295832045
2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,JH,ALL,0.771628403571269,47.069332617847415
2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,OD,ALL,1.6766742434614783,102.27712885115018
2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,WB,ALL,5.797762580959231,353.66351743851305
2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,CG,ALL,1.07677911575814,65.68352606124654
2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,GJ,ALL,4.522574579464323,275.87704934732375
2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,MP,ALL,5.703763822320219,347.9295931615334
2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,MH,ALL,13.078745669019948,797.8034858102169
2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,GA,ALL,0.3336943416135238,20.35535483842495
2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,UT,ALL,0.529622464810138,32.306970353418414
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,DL,ALL,5.4000747324080525,329.4045586768912
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,HR,ALL,3.908953268953355,238.44614940615466
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,HP,ALL,0.8643544330968057,52.72562041890515
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,JK,ALL,1.8748365135593088,114.36502732711784
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,PB,ALL,4.13279073486649,252.1002348268559
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,RJ,ALL,4.3483981508420735,265.25228720136647
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,UP,ALL,7.346050299523209,448.1090682709157
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,UK,ALL,1.0494863253254063,64.01866584484978
2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,AP,ALL,4.63053000160142,282.4623300976866
2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,KA,ALL,6.8596914139560825,418.44117625132105
2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,KL,ALL,2.940681117734727,179.38154818181835
2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,TN,ALL,8.709082731706651,531.2540466341057
2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,TS,ALL,4.596496281719385,280.3862731848825
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,AS,ALL,1.0542475695208533,64.30910174077205
2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,NE,ALL,0.7527655556626457,45.918698895421386
2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,BR,ALL,1.3949268487703652,128.3332700868736
2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,JH,ALL,0.4629770421427614,42.59388787713405
2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,OD,ALL,1.0060045464467713,92.55241827310296
2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,WB,ALL,3.4786575480207125,320.03649441790554
2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,CG,ALL,0.6460674698298119,59.43820722434269
2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,GJ,ALL,2.713544747303666,249.64611675193726
2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,MP,ALL,3.422258293017204,314.8477629575828
