EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,ImpSupplyFromTo
COKING_COAL,2026,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,INDIA,ER,57.02834006886058
COKING_COAL,2027,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2027,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2027,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2027,,,,INDIA,WR,INDIA,WR,4.002725223962892
COKING_COAL,2027,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2027,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2027,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2027,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2027,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2027,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2027,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,INDIA,SR,1.3049793591265635
COKING_COAL,2027,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2027,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2027,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2027,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,INDIA,ER,59.427509061307724
COKING_COAL,2028,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2028,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2028,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2028,,,,INDIA,WR,INDIA,WR,4.232008232240419
COKING_COAL,2028,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2028,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2028,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2028,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2028,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2028,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2028,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,INDIA,SR,1.3775521565341333
COKING_COAL,2028,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2028,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2028,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2028,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,INDIA,ER,61.923572592265366
COKING_COAL,2029,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2029,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2029,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2029,,,,INDIA,WR,INDIA,WR,4.474608675581137
COKING_COAL,2029,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2029,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2029,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2029,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2029,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2029,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2029,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,INDIA,SR,1.4540646630631162
COKING_COAL,2029,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2029,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2029,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2029,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,INDIA,ER,64.52024277822586
COKING_COAL,2030,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2030,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2030,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2030,,,,INDIA,WR,INDIA,WR,4.7313106126804945
COKING_COAL,2030,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2030,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2030,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2030,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2030,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2030,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2030,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,INDIA,SR,1.534724485694491
COKING_COAL,2030,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2030,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2030,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,NER,INDIA,SR,0.0
