ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
LIGHT_ELEC,RURAL,Q2,INDIA,NR,PB,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,PB,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,PB,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,RJ,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,RJ,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,SR,TN,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,SR,TN,CFL,2028,0.273897059
