EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,OPC_CCUS,THERMAL_COAL,2040,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2040,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2040,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2040,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2040,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2040,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2040,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2040,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2040,GHG,129.2306701,129.2306701
CEMENT,OPC_CCUS,THERMAL_COAL,2041,GHG,187.1873679,198.218603
CEMENT,OPC_CCUS,PETCOKE,2041,GHG,317.66475,317.66475
CEMENT,OPC_CCUS,BIOMASS_WASTE,2041,GHG,129.2306701,129.2306701
CEMENT,PPC_CCUS,THERMAL_COAL,2041,GHG,187.1873679,198.218603
CEMENT,PPC_CCUS,PETCOKE,2041,GHG,317.66475,317.66475
CEMENT,PPC_CCUS,BIOMASS_WASTE,2041,GHG,129.2306701,129.2306701
CEMENT,PSC_CCUS,THERMAL_COAL,2041,GHG,187.1873679,198.218603
CEMENT,PSC_CCUS,PETCOKE,2041,GHG,317.66475,317.66475
CEMENT,PSC_CCUS,BIOMASS_WASTE,2041,GHG,129.2306701,129.2306701
CEMENT,OPC_Norm,,2022,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2022,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2022,GHG,337.6650473,337.6650473
CEMENT,PPC_CCUS,,2022,GHG,33.76650473,33.76650473
CEMENT,PSC_Norm,,2022,GHG,201.0088478,201.0088478
CEMENT,PSC_CCUS,,2022,GHG,20.10088478,20.10088478
CEMENT,CC_Norm,,2022,GHG,230.0970088,230.0970088
CEMENT,LC3_Norm,,2022,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2023,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2023,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2023,GHG,337.6650473,337.6650473
