EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,4.377614545490012,267.0344872748907
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,71.74307264508751,4376.327431350338
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,159.04633349271978,9701.826343055907
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,141.81720806254054,8650.849691814974
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,141.63833617538424,8639.938506698438
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,6.251062654407682,381.3148219188686
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,73.98594576551933,4513.142691696679
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,170.55390470421125,10403.788186956886
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,161.9374359490365,9878.183592891228
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,152.97888682861606,9331.71209654558
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,7.403072632092942,451.5874305576695
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,72.70063607908892,4434.738800824424
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,165.03384681342177,10067.064655618728
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,156.6257051163435,9554.168012096954
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,147.06245827512586,8970.809954782677
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,6.525005820691268,398.02535506216736
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,111.00512814537542,6771.3128168679
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,196.59630066913627,11992.374340817312
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,216.98581015505584,13236.134419458407
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,181.07504280904507,11045.57761135175
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,11.950964889419488,729.0088582545887
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,143.76872822861435,8769.892421945475
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,285.4531104670966,17412.639738492893
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,262.42708693321794,16008.052302926295
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,265.9349665488482,16222.03295947974
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,9.550038459665172,582.5523460395755
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,51.48159137146191,4736.306406174495
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,128.00390979358326,11776.35970100966
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,106.52090165962053,9799.922952685089
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,112.90420751391781,10387.187091280439
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,4.286399344107294,394.3487396578711
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,60.640300752548534,5578.907669234465
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,155.66216662789827,14320.91932976664
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,116.81619096083092,10747.089568396445
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,139.70413032671968,12852.77999005821
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,4.033943564358183,371.1228079209528
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,67.92386841821306,6248.995894475602
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,171.6522185368611,15792.004105391223
