ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
FAN,URBAN,INDIA,NR,PB,2029,2.050689365
FAN,URBAN,INDIA,NR,PB,2030,2.061637095
FAN,URBAN,INDIA,NR,PB,2031,2.072643271
FAN,URBAN,INDIA,NR,PB,2032,2.083708204
FAN,URBAN,INDIA,NR,PB,2033,2.094832207
FAN,URBAN,INDIA,NR,PB,2034,2.106015597
FAN,URBAN,INDIA,NR,PB,2035,2.117258689
FAN,URBAN,INDIA,NR,PB,2036,2.128561804
FAN,URBAN,INDIA,NR,PB,2037,2.139925261
FAN,URBAN,INDIA,NR,PB,2038,2.151349383
FAN,URBAN,INDIA,NR,PB,2039,2.162834493
FAN,URBAN,INDIA,NR,PB,2040,2.174380917
FAN,URBAN,INDIA,NR,PB,2041,2.185988982
FAN,URBAN,INDIA,NR,RJ,2024,2.090520198
FAN,URBAN,INDIA,NR,RJ,2025,2.130493489
FAN,URBAN,INDIA,NR,RJ,2026,2.154889859
FAN,URBAN,INDIA,NR,RJ,2027,2.179565593
FAN,URBAN,INDIA,NR,RJ,2028,2.20452389
FAN,URBAN,INDIA,NR,RJ,2029,2.229767985
FAN,URBAN,INDIA,NR,RJ,2030,2.255301152
FAN,URBAN,INDIA,NR,RJ,2031,2.281126699
FAN,URBAN,INDIA,NR,RJ,2032,2.307247976
FAN,URBAN,INDIA,NR,RJ,2033,2.333668369
FAN,URBAN,INDIA,NR,RJ,2034,2.360391303
FAN,URBAN,INDIA,NR,RJ,2035,2.387420243
FAN,URBAN,INDIA,NR,RJ,2036,2.414758692
FAN,URBAN,INDIA,NR,RJ,2037,2.442410195
FAN,URBAN,INDIA,NR,RJ,2038,2.470378336
FAN,URBAN,INDIA,NR,RJ,2039,2.498666741
FAN,URBAN,INDIA,NR,RJ,2040,2.527279079
FAN,URBAN,INDIA,NR,RJ,2041,2.556219057
FAN,URBAN,INDIA,NR,UP,2024,2.045947256
FAN,URBAN,INDIA,NR,UP,2025,2.073894577
FAN,URBAN,INDIA,NR,UP,2026,2.090868993
FAN,URBAN,INDIA,NR,UP,2027,2.107982341
FAN,URBAN,INDIA,NR,UP,2028,2.125235759
FAN,URBAN,INDIA,NR,UP,2029,2.142630392
FAN,URBAN,INDIA,NR,UP,2030,2.160167398
FAN,URBAN,INDIA,NR,UP,2031,2.17784794
FAN,URBAN,INDIA,NR,UP,2032,2.195673193
FAN,URBAN,INDIA,NR,UP,2033,2.213644343
FAN,URBAN,INDIA,NR,UP,2034,2.231762584
FAN,URBAN,INDIA,NR,UP,2035,2.250029118
FAN,URBAN,INDIA,NR,UP,2036,2.268445161
FAN,URBAN,INDIA,NR,UP,2037,2.287011935
FAN,URBAN,INDIA,NR,UP,2038,2.305730674
FAN,URBAN,INDIA,NR,UP,2039,2.324602623
FAN,URBAN,INDIA,NR,UP,2040,2.343629035
FAN,URBAN,INDIA,NR,UP,2041,2.362811174
FAN,URBAN,INDIA,NR,UK,2024,2.041138957
FAN,URBAN,INDIA,NR,UK,2025,2.066597347
FAN,URBAN,INDIA,NR,UK,2026,2.082043755
FAN,URBAN,INDIA,NR,UK,2027,2.097605614
FAN,URBAN,INDIA,NR,UK,2028,2.113283788
FAN,URBAN,INDIA,NR,UK,2029,2.129079145
FAN,URBAN,INDIA,NR,UK,2030,2.144992562
FAN,URBAN,INDIA,NR,UK,2031,2.16102492
FAN,URBAN,INDIA,NR,UK,2032,2.17717711
FAN,URBAN,INDIA,NR,UK,2033,2.193450026
FAN,URBAN,INDIA,NR,UK,2034,2.209844572
FAN,URBAN,INDIA,NR,UK,2035,2.226361655
FAN,URBAN,INDIA,NR,UK,2036,2.243002192
FAN,URBAN,INDIA,NR,UK,2037,2.259767106
FAN,URBAN,INDIA,NR,UK,2038,2.276657326
FAN,URBAN,INDIA,NR,UK,2039,2.29367379
FAN,URBAN,INDIA,NR,UK,2040,2.310817439
FAN,URBAN,INDIA,NR,UK,2041,2.328089226
COOLER,RURAL,INDIA,ER,BR,2024,1
COOLER,RURAL,INDIA,ER,BR,2025,1
COOLER,RURAL,INDIA,ER,BR,2026,1
COOLER,RURAL,INDIA,ER,BR,2027,1
COOLER,RURAL,INDIA,ER,BR,2028,1
COOLER,RURAL,INDIA,ER,BR,2029,1
COOLER,RURAL,INDIA,ER,BR,2030,1
COOLER,RURAL,INDIA,ER,BR,2031,1
COOLER,RURAL,INDIA,ER,BR,2032,1
COOLER,RURAL,INDIA,ER,BR,2033,1
COOLER,RURAL,INDIA,ER,BR,2034,1
COOLER,RURAL,INDIA,ER,BR,2035,1
COOLER,RURAL,INDIA,ER,BR,2036,1
COOLER,RURAL,INDIA,ER,BR,2037,1
COOLER,RURAL,INDIA,ER,BR,2038,1
COOLER,RURAL,INDIA,ER,BR,2039,1
COOLER,RURAL,INDIA,ER,BR,2040,1
COOLER,RURAL,INDIA,ER,BR,2041,1
COOLER,RURAL,INDIA,ER,JH,2024,1
COOLER,RURAL,INDIA,ER,JH,2025,1
COOLER,RURAL,INDIA,ER,JH,2026,1
COOLER,RURAL,INDIA,ER,JH,2027,1
COOLER,RURAL,INDIA,ER,JH,2028,1
COOLER,RURAL,INDIA,ER,JH,2029,1
COOLER,RURAL,INDIA,ER,JH,2030,1
COOLER,RURAL,INDIA,ER,JH,2031,1
COOLER,RURAL,INDIA,ER,JH,2032,1
COOLER,RURAL,INDIA,ER,JH,2033,1
COOLER,RURAL,INDIA,ER,JH,2034,1
COOLER,RURAL,INDIA,ER,JH,2035,1
COOLER,RURAL,INDIA,ER,JH,2036,1
COOLER,RURAL,INDIA,ER,JH,2037,1
COOLER,RURAL,INDIA,ER,JH,2038,1
COOLER,RURAL,INDIA,ER,JH,2039,1
COOLER,RURAL,INDIA,ER,JH,2040,1
COOLER,RURAL,INDIA,ER,JH,2041,1
COOLER,RURAL,INDIA,ER,OD,2024,1
COOLER,RURAL,INDIA,ER,OD,2025,1
COOLER,RURAL,INDIA,ER,OD,2026,1
COOLER,RURAL,INDIA,ER,OD,2027,1
COOLER,RURAL,INDIA,ER,OD,2028,1
COOLER,RURAL,INDIA,ER,OD,2029,1
COOLER,RURAL,INDIA,ER,OD,2030,1
COOLER,RURAL,INDIA,ER,OD,2031,1
COOLER,RURAL,INDIA,ER,OD,2032,1
COOLER,RURAL,INDIA,ER,OD,2033,1
COOLER,RURAL,INDIA,ER,OD,2034,1
COOLER,RURAL,INDIA,ER,OD,2035,1
COOLER,RURAL,INDIA,ER,OD,2036,1
COOLER,RURAL,INDIA,ER,OD,2037,1
COOLER,RURAL,INDIA,ER,OD,2038,1
COOLER,RURAL,INDIA,ER,OD,2039,1
COOLER,RURAL,INDIA,ER,OD,2040,1
COOLER,RURAL,INDIA,ER,OD,2041,1
COOLER,RURAL,INDIA,ER,WB,2024,1
COOLER,RURAL,INDIA,ER,WB,2025,1
COOLER,RURAL,INDIA,ER,WB,2026,1
COOLER,RURAL,INDIA,ER,WB,2027,1
COOLER,RURAL,INDIA,ER,WB,2028,1
COOLER,RURAL,INDIA,ER,WB,2029,1
COOLER,RURAL,INDIA,ER,WB,2030,1
COOLER,RURAL,INDIA,ER,WB,2031,1
COOLER,RURAL,INDIA,ER,WB,2032,1
COOLER,RURAL,INDIA,ER,WB,2033,1
COOLER,RURAL,INDIA,ER,WB,2034,1
COOLER,RURAL,INDIA,ER,WB,2035,1
COOLER,RURAL,INDIA,ER,WB,2036,1
COOLER,RURAL,INDIA,ER,WB,2037,1
COOLER,RURAL,INDIA,ER,WB,2038,1
