ModelGeography,SubGeography1,SubGeography2,Year,EAF+BOF+IF
INDIA,NR,UK,2033,0
INDIA,NR,UP,2033,0
INDIA,SR,AP,2033,0
INDIA,SR,KA,2033,7.581426103
INDIA,SR,KL,2033,0
INDIA,SR,TN,2033,0.269977345
INDIA,SR,TS,2033,0
INDIA,WR,CG,2033,9.735064865
INDIA,WR,GA,2033,0
INDIA,WR,GJ,2033,17.81773914
INDIA,WR,MH,2033,15.88843396
INDIA,WR,MP,2033,0
INDIA,ER,BR,2034,0
INDIA,ER,JH,2034,1.719339902
INDIA,ER,OD,2034,17.92125024
INDIA,ER,SK,2034,0
INDIA,ER,WB,2034,0.969642109
INDIA,NER,AS,2034,0
INDIA,NER,NE,2034,0
INDIA,NR,DL,2034,0
INDIA,NR,HP,2034,0
INDIA,NR,HR,2034,1.95032714
INDIA,NR,JK,2034,0
INDIA,NR,PB,2034,1.066549881
INDIA,NR,RJ,2034,0
INDIA,NR,UK,2034,0
INDIA,NR,UP,2034,0
INDIA,SR,AP,2034,0
INDIA,SR,KA,2034,8.40473172
INDIA,SR,KL,2034,0
INDIA,SR,TN,2034,0.298526971
INDIA,SR,TS,2034,0
INDIA,WR,CG,2034,10.79457827
INDIA,WR,GA,2034,0
INDIA,WR,GJ,2034,19.75447986
INDIA,WR,MH,2034,17.61650865
INDIA,WR,MP,2034,0
INDIA,ER,BR,2035,0
INDIA,ER,JH,2035,1.897504156
INDIA,ER,OD,2035,19.7837765
INDIA,ER,SK,2035,0
INDIA,ER,WB,2035,1.071275737
INDIA,NER,AS,2035,0
INDIA,NER,NE,2035,0
INDIA,NR,DL,2035,0
INDIA,NR,HP,2035,0
INDIA,NR,HR,2035,2.153326352
INDIA,NR,JK,2035,0
INDIA,NR,PB,2035,1.177137079
INDIA,NR,RJ,2035,0
INDIA,NR,UK,2035,0
INDIA,NR,UP,2035,0
INDIA,SR,AP,2035,0
INDIA,SR,KA,2035,9.278576533
INDIA,SR,KL,2035,0
INDIA,SR,TN,2035,0.330302624
INDIA,SR,TS,2035,0
INDIA,WR,CG,2035,11.91633164
INDIA,WR,GA,2035,0
INDIA,WR,GJ,2035,21.80767718
INDIA,WR,MH,2035,19.44759948
INDIA,WR,MP,2035,0
INDIA,ER,BR,2036,0
INDIA,ER,JH,2036,2.10032453
INDIA,ER,OD,2036,21.89009879
INDIA,ER,SK,2036,0
INDIA,ER,WB,2036,1.185229925
INDIA,NER,AS,2036,0
INDIA,NER,NE,2036,0
INDIA,NR,DL,2036,0
INDIA,NR,HP,2036,0
INDIA,NR,HR,2036,2.383011455
INDIA,NR,JK,2036,0
INDIA,NR,PB,2036,1.301470176
INDIA,NR,RJ,2036,0
INDIA,NR,UK,2036,0
INDIA,NR,UP,2036,0
INDIA,SR,AP,2036,0
INDIA,SR,KA,2036,9.324783057
INDIA,SR,KL,2036,0
INDIA,SR,TN,2036,0.365410262
INDIA,SR,TS,2036,0
INDIA,WR,CG,2036,13.18514844
INDIA,WR,GA,2036,0
INDIA,WR,GJ,2036,24.25395435
INDIA,WR,MH,2036,21.7379305
INDIA,WR,MP,2036,0
INDIA,ER,BR,2037,0
INDIA,ER,JH,2037,2.308207856
INDIA,ER,OD,2037,24.0610348
INDIA,ER,SK,2037,0
INDIA,ER,WB,2037,1.30316993
INDIA,NER,AS,2037,0
INDIA,NER,NE,2037,0
INDIA,NR,DL,2037,0
INDIA,NR,HP,2037,0
INDIA,NR,HR,2037,2.618709497
INDIA,NR,JK,2037,0
INDIA,NR,PB,2037,1.431181478
INDIA,NR,RJ,2037,0
INDIA,NR,UK,2037,0
INDIA,NR,UP,2037,0
INDIA,SR,AP,2037,0
INDIA,SR,KA,2037,10.09978896
INDIA,SR,KL,2037,0
INDIA,SR,TN,2037,0.401746688
INDIA,SR,TS,2037,0
INDIA,WR,CG,2037,14.49330487
INDIA,WR,GA,2037,0
INDIA,WR,GJ,2037,26.8127697
INDIA,WR,MH,2037,23.97943993
INDIA,WR,MP,2037,0
INDIA,ER,BR,2038,0
INDIA,ER,JH,2038,2.530170635
INDIA,ER,OD,2038,26.37371411
INDIA,ER,SK,2038,0
INDIA,ER,WB,2038,1.427055358
INDIA,NER,AS,2038,0
INDIA,NER,NE,2038,0
INDIA,NR,DL,2038,0
INDIA,NR,HP,2038,0
INDIA,NR,HR,2038,2.87038072
INDIA,NR,JK,2038,0
INDIA,NR,PB,2038,1.568620393
INDIA,NR,RJ,2038,0
INDIA,NR,UK,2038,0
INDIA,NR,UP,2038,0
INDIA,SR,AP,2038,0
INDIA,SR,KA,2038,11.0698357
INDIA,SR,KL,2038,0
INDIA,SR,TN,2038,0.44053261
INDIA,SR,TS,2038,0
INDIA,WR,CG,2038,15.88584898
INDIA,WR,GA,2038,0
INDIA,WR,GJ,2038,29.38931747
INDIA,WR,MH,2038,26.28283149
INDIA,WR,MP,2038,0
INDIA,ER,BR,2039,0
INDIA,ER,JH,2039,2.763788469
INDIA,ER,OD,2039,28.81460087
INDIA,ER,SK,2039,0
INDIA,ER,WB,2039,1.560825072
INDIA,NER,AS,2039,0
INDIA,NER,NE,2039,0
INDIA,NR,DL,2039,0
