InstYear,EnergyStorTech,ModelGeography,SubGeography1,StorLifetimeYearsInModel
2031,SIXHR_BATTERY,INDIA,NR,10
2031,SIXHR_BATTERY,INDIA,SR,10
2031,SIXHR_BATTERY,INDIA,NER,10
2021,PUMPED_STOR,INDIA,ER,40
2021,PUMPED_STOR,INDIA,WR,40
2021,PUMPED_STOR,INDIA,NR,40
2021,PUMPED_STOR,INDIA,SR,40
2021,PUMPED_STOR,INDIA,NER,40
2022,PUMPED_STOR,INDIA,ER,40
2022,PUMPED_STOR,INDIA,WR,40
2022,PUMPED_STOR,INDIA,NR,40
2022,PUMPED_STOR,INDIA,SR,40
2022,PUMPED_STOR,INDIA,NER,40
2023,PUMPED_STOR,INDIA,ER,40
2023,PUMPED_STOR,INDIA,WR,40
2023,PUMPED_STOR,INDIA,NR,40
2023,PUMPED_STOR,INDIA,SR,40
2023,PUMPED_STOR,INDIA,NER,40
2024,PUMPED_STOR,INDIA,ER,40
2024,PUMPED_STOR,INDIA,WR,40
2024,PUMPED_STOR,INDIA,NR,40
2024,PUMPED_STOR,INDIA,SR,40
2024,PUMPED_STOR,INDIA,NER,40
2025,PUMPED_STOR,INDIA,ER,40
2025,PUMPED_STOR,INDIA,WR,40
2025,PUMPED_STOR,INDIA,NR,40
2025,PUMPED_STOR,INDIA,SR,40
2025,PUMPED_STOR,INDIA,NER,40
2026,PUMPED_STOR,INDIA,ER,40
2026,PUMPED_STOR,INDIA,WR,40
2026,PUMPED_STOR,INDIA,NR,40
2026,PUMPED_STOR,INDIA,SR,40
2026,PUMPED_STOR,INDIA,NER,40
2027,PUMPED_STOR,INDIA,ER,40
2027,PUMPED_STOR,INDIA,WR,40
2027,PUMPED_STOR,INDIA,NR,40
2027,PUMPED_STOR,INDIA,SR,40
2027,PUMPED_STOR,INDIA,NER,40
2028,PUMPED_STOR,INDIA,ER,40
2028,PUMPED_STOR,INDIA,WR,40
2028,PUMPED_STOR,INDIA,NR,40
2028,PUMPED_STOR,INDIA,SR,40
2028,PUMPED_STOR,INDIA,NER,40
2029,PUMPED_STOR,INDIA,ER,40
2029,PUMPED_STOR,INDIA,WR,40
2029,PUMPED_STOR,INDIA,NR,40
2029,PUMPED_STOR,INDIA,SR,40
2029,PUMPED_STOR,INDIA,NER,40
2030,PUMPED_STOR,INDIA,ER,40
2030,PUMPED_STOR,INDIA,WR,40
2030,PUMPED_STOR,INDIA,NR,40
2030,PUMPED_STOR,INDIA,SR,40
2030,PUMPED_STOR,INDIA,NER,40
2031,PUMPED_STOR,INDIA,ER,40
2031,PUMPED_STOR,INDIA,WR,40
2031,PUMPED_STOR,INDIA,NR,40
2031,PUMPED_STOR,INDIA,SR,40
2031,PUMPED_STOR,INDIA,NER,40
