EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TransitCost
STEAM_COAL,2021,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2022,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2023,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2024,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2025,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2026,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2027,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2028,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2029,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2030,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2031,INDIA,ER,INDIA,NER,2497.6
STEAM_COAL,2021,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2022,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2023,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2024,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2025,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2026,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2027,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2028,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2029,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2030,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2031,INDIA,WR,INDIA,ER,2399.6
STEAM_COAL,2021,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2022,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2023,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2024,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2025,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2026,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2027,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2028,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2029,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2030,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2031,INDIA,WR,INDIA,WR,1054.7
STEAM_COAL,2021,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2022,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2023,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2024,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2025,INDIA,WR,INDIA,NR,1838.6
STEAM_COAL,2026,INDIA,WR,INDIA,NR,1838.6
