Year,ModelGeography,SubGeography1,SubGeography2,GDP
2025,INDIA,ER,SK,354565.5296
2025,INDIA,WR,MH,31414399.8
2025,INDIA,NR,HP,1921993.547
2025,INDIA,SR,KL,8491574.455
2025,INDIA,ER,JH,3768806.894
2025,INDIA,NR,RJ,10800873.79
2025,INDIA,WR,GA,855534.3651
2025,INDIA,NR,UP,18063512.35
2025,INDIA,WR,CG,4045996.535
2025,INDIA,SR,AP,11529751.17
2025,INDIA,ER,WB,13002320.5
2025,INDIA,ER,OD,6641445.153
2026,INDIA,NR,DL,10070758
2026,INDIA,NR,JK,1995520.114
2026,INDIA,SR,TN,23636451.18
2026,INDIA,WR,GA,909930.2621
2026,INDIA,WR,CG,4220805.03
2026,INDIA,NR,HR,9871805.636
2026,INDIA,NR,UK,3064215.38
2026,INDIA,NR,HP,2014428.777
2026,INDIA,WR,GJ,24067417.53
2026,INDIA,ER,BR,7544943.818
2026,INDIA,ER,JH,3941161.904
2026,INDIA,NER,NE,2560228.044
2026,INDIA,NR,UP,18856909
2026,INDIA,ER,WB,13632734.65
2026,INDIA,WR,MP,10289457.56
2026,INDIA,ER,OD,7008513.756
2026,INDIA,WR,MH,32714620.51
2026,INDIA,NR,PB,7257287.836
2026,INDIA,SR,AP,12302596.04
2026,INDIA,NR,RJ,11265513.67
2026,INDIA,SR,TS,11349667.85
2026,INDIA,SR,KL,8825591.245
2026,INDIA,SR,KA,21383009.52
2026,INDIA,ER,SK,379610.4963
2026,INDIA,NER,AS,4561699.99
2027,INDIA,SR,AP,13111538.57
2027,INDIA,SR,KL,9163690.114
2027,INDIA,NR,RJ,11733520.83
2027,INDIA,NR,UK,3192359.679
2027,INDIA,NR,HP,2109170.352
2027,INDIA,SR,KA,22785712.85
2027,INDIA,NR,UP,19652462.12
2027,INDIA,NR,JK,2085105.925
2027,INDIA,SR,TS,12059207.34
2027,INDIA,SR,TN,24971818.48
2027,INDIA,WR,CG,4398242.215
2027,INDIA,NR,DL,10597362.06
2027,INDIA,NR,PB,7550584.541
2027,INDIA,NER,NE,2711082.293
2027,INDIA,ER,WB,14278194.56
2027,INDIA,ER,JH,4117162.398
2027,INDIA,ER,OD,7388014.446
2027,INDIA,NR,HR,10465366.94
2027,INDIA,WR,GJ,25847228.55
2027,INDIA,WR,MH,34037603.87
2027,INDIA,ER,SK,406313.7792
2027,INDIA,WR,GA,967566.7341
2027,INDIA,NER,AS,4854577.732
2027,INDIA,ER,BR,7995052.56
2027,INDIA,WR,MP,10896626.76
2028,INDIA,WR,MP,11528349.61
2028,INDIA,SR,TS,12799575.49
2028,INDIA,NER,AS,5162810.469
2028,INDIA,ER,WB,14942188.55
2028,INDIA,SR,TN,26361845.14
2028,INDIA,NR,PB,7849884.566
2028,INDIA,WR,MH,35390290.69
2028,INDIA,SR,AP,13961417.91
2028,INDIA,NR,UK,3323383.937
2028,INDIA,ER,JH,4297686.626
2028,INDIA,NR,DL,11147671.62
2028,INDIA,ER,BR,8466948.968
2028,INDIA,ER,SK,434185.8904
2028,INDIA,ER,OD,7781800.751
2028,INDIA,SR,KL,9508356.94
2028,INDIA,NR,RJ,12208098.62
2028,INDIA,SR,KA,24263121.86
2028,INDIA,NR,UP,20456990.81
2028,INDIA,NER,NE,2869274.24
2028,INDIA,NR,HR,11086929.59
2028,INDIA,WR,GA,1028019.011
2028,INDIA,WR,GJ,27745179.12
2028,INDIA,NR,JK,2177949.449
2028,INDIA,WR,CG,4579303.039
2028,INDIA,NR,HP,2206516.624
2029,INDIA,WR,GJ,29774930.89
2029,INDIA,ER,JH,4485106.759
2029,INDIA,NR,HP,2308375.335
2029,INDIA,ER,WB,15635164.91
2029,INDIA,SR,TN,27825721.06
2029,INDIA,NR,UP,21290929.67
2029,INDIA,SR,KA,25832855.06
2029,INDIA,WR,CG,4767008.825
2029,INDIA,SR,KL,9864824.092
2029,INDIA,NR,HR,11742480.35
2029,INDIA,WR,MH,36791180.9
2029,INDIA,NER,NE,3035985.394
2029,INDIA,NR,RJ,12699572.34
2029,INDIA,NR,UK,3459140.167
2029,INDIA,NR,JK,2274735.16
2029,INDIA,WR,MP,12194215.29
2029,INDIA,SR,TS,13583777.63
2029,INDIA,WR,GA,1092106.76
2029,INDIA,NER,AS,5489658.467
2029,INDIA,NR,DL,11722230.25
2029,INDIA,NR,PB,8159694.946
2029,INDIA,ER,BR,8964191.969
2029,INDIA,SR,AP,14864971.93
2029,INDIA,ER,SK,464539.4022
2029,INDIA,ER,OD,8195661.872
2030,INDIA,ER,OD,8630218.26
2030,INDIA,NR,DL,12320936.21
2030,INDIA,NR,UP,22155235.18
2030,INDIA,WR,CG,4961422.175
2030,INDIA,SR,TS,14414321.28
2030,INDIA,SR,KA,27500483.17
2030,INDIA,ER,JH,4679762.546
