InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,VarCost
2026,RF_OTHERPP,2027,INDIA,,5263.92116
2027,RF_OTHERPP,2027,INDIA,,5263.92116
2021,RF_OTHERPP,2028,INDIA,,5263.92116
2022,RF_OTHERPP,2028,INDIA,,5263.92116
2023,RF_OTHERPP,2028,INDIA,,5263.92116
2024,RF_OTHERPP,2028,INDIA,,5263.92116
2025,RF_OTHERPP,2028,INDIA,,5263.92116
2026,RF_OTHERPP,2028,INDIA,,5263.92116
2027,RF_OTHERPP,2028,INDIA,,5263.92116
2028,RF_OTHERPP,2028,INDIA,,5263.92116
2021,RF_OTHERPP,2029,INDIA,,5263.92116
2022,RF_OTHERPP,2029,INDIA,,5263.92116
2023,RF_OTHERPP,2029,INDIA,,5263.92116
2024,RF_OTHERPP,2029,INDIA,,5263.92116
2025,RF_OTHERPP,2029,INDIA,,5263.92116
2026,RF_OTHERPP,2029,INDIA,,5263.92116
2027,RF_OTHERPP,2029,INDIA,,5263.92116
2028,RF_OTHERPP,2029,INDIA,,5263.92116
2029,RF_OTHERPP,2029,INDIA,,5263.92116
2021,RF_OTHERPP,2030,INDIA,,5263.92116
2022,RF_OTHERPP,2030,INDIA,,5263.92116
2023,RF_OTHERPP,2030,INDIA,,5263.92116
2024,RF_OTHERPP,2030,INDIA,,5263.92116
2025,RF_OTHERPP,2030,INDIA,,5263.92116
2026,RF_OTHERPP,2030,INDIA,,5263.92116
2027,RF_OTHERPP,2030,INDIA,,5263.92116
2028,RF_OTHERPP,2030,INDIA,,5263.92116
2029,RF_OTHERPP,2030,INDIA,,5263.92116
2030,RF_OTHERPP,2030,INDIA,,5263.92116
2021,RF_OTHERPP,2031,INDIA,,5263.92116
2022,RF_OTHERPP,2031,INDIA,,5263.92116
2023,RF_OTHERPP,2031,INDIA,,5263.92116
2024,RF_OTHERPP,2031,INDIA,,5263.92116
2025,RF_OTHERPP,2031,INDIA,,5263.92116
2026,RF_OTHERPP,2031,INDIA,,5263.92116
2027,RF_OTHERPP,2031,INDIA,,5263.92116
2028,RF_OTHERPP,2031,INDIA,,5263.92116
2029,RF_OTHERPP,2031,INDIA,,5263.92116
2030,RF_OTHERPP,2031,INDIA,,5263.92116
2031,RF_OTHERPP,2031,INDIA,,5263.92116
2020,EG_COAL,2021,INDIA,NR,0.25
2020,EG_COAL,2022,INDIA,NR,0.25
2020,EG_COAL,2023,INDIA,NR,0.25
2020,EG_COAL,2024,INDIA,NR,0.25
2020,EG_COAL,2025,INDIA,NR,0.25
2020,EG_COAL,2026,INDIA,NR,0.25
2020,EG_COAL,2027,INDIA,NR,0.25
2020,EG_COAL,2028,INDIA,NR,0.25
2020,EG_COAL,2029,INDIA,NR,0.25
2020,EG_COAL,2030,INDIA,NR,0.25
2020,EG_COAL,2031,INDIA,NR,0.25
2020,EG_COAL,2021,INDIA,ER,0.25
2020,EG_COAL,2022,INDIA,ER,0.25
2020,EG_COAL,2023,INDIA,ER,0.25
2020,EG_COAL,2024,INDIA,ER,0.25
2020,EG_COAL,2025,INDIA,ER,0.25
2020,EG_COAL,2026,INDIA,ER,0.25
2020,EG_COAL,2027,INDIA,ER,0.25
2020,EG_COAL,2028,INDIA,ER,0.25
2020,EG_COAL,2029,INDIA,ER,0.25
2020,EG_COAL,2030,INDIA,ER,0.25
2020,EG_COAL,2031,INDIA,ER,0.25
2020,EG_COAL,2021,INDIA,WR,0.25
2020,EG_COAL,2022,INDIA,WR,0.25
2020,EG_COAL,2023,INDIA,WR,0.25
2020,EG_COAL,2024,INDIA,WR,0.25
2020,EG_COAL,2025,INDIA,WR,0.25
2020,EG_COAL,2026,INDIA,WR,0.25
2020,EG_COAL,2027,INDIA,WR,0.25
2020,EG_COAL,2028,INDIA,WR,0.25
2020,EG_COAL,2029,INDIA,WR,0.25
2020,EG_COAL,2030,INDIA,WR,0.25
2020,EG_COAL,2031,INDIA,WR,0.25
2020,EG_COAL,2021,INDIA,SR,0.25
2020,EG_COAL,2022,INDIA,SR,0.25
2020,EG_COAL,2023,INDIA,SR,0.25
2020,EG_COAL,2024,INDIA,SR,0.25
2020,EG_COAL,2025,INDIA,SR,0.25
2020,EG_COAL,2026,INDIA,SR,0.25
2020,EG_COAL,2027,INDIA,SR,0.25
2020,EG_COAL,2028,INDIA,SR,0.25
2020,EG_COAL,2029,INDIA,SR,0.25
2020,EG_COAL,2030,INDIA,SR,0.25
2020,EG_COAL,2031,INDIA,SR,0.25
2020,EG_COAL,2021,INDIA,NER,0.25
2020,EG_COAL,2022,INDIA,NER,0.25
2020,EG_COAL,2023,INDIA,NER,0.25
2020,EG_COAL,2024,INDIA,NER,0.25
2020,EG_COAL,2025,INDIA,NER,0.25
2020,EG_COAL,2026,INDIA,NER,0.25
2020,EG_COAL,2027,INDIA,NER,0.25
2020,EG_COAL,2028,INDIA,NER,0.25
2020,EG_COAL,2029,INDIA,NER,0.25
2020,EG_COAL,2030,INDIA,NER,0.25
2020,EG_COAL,2031,INDIA,NER,0.25
2021,EG_COAL,2021,INDIA,NR,0.254161538
2021,EG_COAL,2021,INDIA,ER,0.254161538
2021,EG_COAL,2021,INDIA,WR,0.254161538
2021,EG_COAL,2021,INDIA,SR,0.254161538
2021,EG_COAL,2021,INDIA,NER,0.254161538
2021,EG_COAL,2022,INDIA,NR,0.254161538
2021,EG_COAL,2022,INDIA,ER,0.254161538
2021,EG_COAL,2022,INDIA,WR,0.254161538
2021,EG_COAL,2022,INDIA,SR,0.254161538
2021,EG_COAL,2022,INDIA,NER,0.254161538
2021,EG_COAL,2023,INDIA,NR,0.254161538
2021,EG_COAL,2023,INDIA,ER,0.254161538
2021,EG_COAL,2023,INDIA,WR,0.254161538
2021,EG_COAL,2023,INDIA,SR,0.254161538
2021,EG_COAL,2023,INDIA,NER,0.254161538
2021,EG_COAL,2024,INDIA,NR,0.254161538
2021,EG_COAL,2024,INDIA,ER,0.254161538
2021,EG_COAL,2024,INDIA,WR,0.254161538
2021,EG_COAL,2024,INDIA,SR,0.254161538
2021,EG_COAL,2024,INDIA,NER,0.254161538
2021,EG_COAL,2025,INDIA,NR,0.254161538
2021,EG_COAL,2025,INDIA,ER,0.254161538
2021,EG_COAL,2025,INDIA,WR,0.254161538
2021,EG_COAL,2025,INDIA,SR,0.254161538
2021,EG_COAL,2025,INDIA,NER,0.254161538
2021,EG_COAL,2026,INDIA,NR,0.254161538
2021,EG_COAL,2026,INDIA,ER,0.254161538
2021,EG_COAL,2026,INDIA,WR,0.254161538
2021,EG_COAL,2026,INDIA,SR,0.254161538
2021,EG_COAL,2026,INDIA,NER,0.254161538
2021,EG_COAL,2027,INDIA,NR,0.254161538
2021,EG_COAL,2027,INDIA,ER,0.254161538
2021,EG_COAL,2027,INDIA,WR,0.254161538
2021,EG_COAL,2027,INDIA,SR,0.254161538
2021,EG_COAL,2027,INDIA,NER,0.254161538
2021,EG_COAL,2028,INDIA,NR,0.254161538
2021,EG_COAL,2028,INDIA,ER,0.254161538
2021,EG_COAL,2028,INDIA,WR,0.254161538
2021,EG_COAL,2028,INDIA,SR,0.254161538
2021,EG_COAL,2028,INDIA,NER,0.254161538
2021,EG_COAL,2029,INDIA,NR,0.254161538
2021,EG_COAL,2029,INDIA,ER,0.254161538
2021,EG_COAL,2029,INDIA,WR,0.254161538
2021,EG_COAL,2029,INDIA,SR,0.254161538
2021,EG_COAL,2029,INDIA,NER,0.254161538
2021,EG_COAL,2030,INDIA,NR,0.254161538
2021,EG_COAL,2030,INDIA,ER,0.254161538
2021,EG_COAL,2030,INDIA,WR,0.254161538
2021,EG_COAL,2030,INDIA,SR,0.254161538
2021,EG_COAL,2030,INDIA,NER,0.254161538
2021,EG_COAL,2031,INDIA,NR,0.254161538
2021,EG_COAL,2031,INDIA,ER,0.254161538
2021,EG_COAL,2031,INDIA,WR,0.254161538
2021,EG_COAL,2031,INDIA,SR,0.254161538
2021,EG_COAL,2031,INDIA,NER,0.254161538
2022,EG_COAL,2022,INDIA,NR,0.258392349
2022,EG_COAL,2022,INDIA,ER,0.258392349
2022,EG_COAL,2022,INDIA,WR,0.258392349
2022,EG_COAL,2022,INDIA,SR,0.258392349
2022,EG_COAL,2022,INDIA,NER,0.258392349
2022,EG_COAL,2023,INDIA,NR,0.258392349
2022,EG_COAL,2023,INDIA,ER,0.258392349
2022,EG_COAL,2023,INDIA,WR,0.258392349
2022,EG_COAL,2023,INDIA,SR,0.258392349
2022,EG_COAL,2023,INDIA,NER,0.258392349
2022,EG_COAL,2024,INDIA,NR,0.258392349
2022,EG_COAL,2024,INDIA,ER,0.258392349
2022,EG_COAL,2024,INDIA,WR,0.258392349
