InstYear,EnergyStorTech,ModelGeography,SubGeography1,StorLifetimeCyclesInModel
2027,SIXHR_BATTERY,INDIA,WR,4110.0
2027,SIXHR_BATTERY,INDIA,NR,4110.0
2027,SIXHR_BATTERY,INDIA,SR,4110.0
2027,SIXHR_BATTERY,INDIA,NER,4110.0
2028,SIXHR_BATTERY,INDIA,ER,4193.0
2028,SIXHR_BATTERY,INDIA,WR,4193.0
2028,SIXHR_BATTERY,INDIA,NR,4193.0
2028,SIXHR_BATTERY,INDIA,SR,4193.0
2028,SIXHR_BATTERY,INDIA,NER,4193.0
2029,SIXHR_BATTERY,INDIA,ER,4277.0
2029,SIXHR_BATTERY,INDIA,WR,4277.0
2029,SIXHR_BATTERY,INDIA,NR,4277.0
2029,SIXHR_BATTERY,INDIA,SR,4277.0
2029,SIXHR_BATTERY,INDIA,NER,4277.0
2030,SIXHR_BATTERY,INDIA,ER,4362.0
2030,SIXHR_BATTERY,INDIA,WR,4362.0
2030,SIXHR_BATTERY,INDIA,NR,4362.0
2030,SIXHR_BATTERY,INDIA,SR,4362.0
2030,SIXHR_BATTERY,INDIA,NER,4362.0
2031,SIXHR_BATTERY,INDIA,ER,4449.0
2031,SIXHR_BATTERY,INDIA,WR,4449.0
2031,SIXHR_BATTERY,INDIA,NR,4449.0
2031,SIXHR_BATTERY,INDIA,SR,4449.0
2031,SIXHR_BATTERY,INDIA,NER,4449.0
2021,PUMPED_STOR,INDIA,ER,50000.0
2021,PUMPED_STOR,INDIA,WR,50000.0
2021,PUMPED_STOR,INDIA,NR,50000.0
2021,PUMPED_STOR,INDIA,SR,50000.0
2021,PUMPED_STOR,INDIA,NER,50000.0
2022,PUMPED_STOR,INDIA,ER,50000.0
2022,PUMPED_STOR,INDIA,WR,50000.0
2022,PUMPED_STOR,INDIA,NR,50000.0
2022,PUMPED_STOR,INDIA,SR,50000.0
2022,PUMPED_STOR,INDIA,NER,50000.0
2023,PUMPED_STOR,INDIA,ER,50000.0
2023,PUMPED_STOR,INDIA,WR,50000.0
2023,PUMPED_STOR,INDIA,NR,50000.0
2023,PUMPED_STOR,INDIA,SR,50000.0
2023,PUMPED_STOR,INDIA,NER,50000.0
2024,PUMPED_STOR,INDIA,ER,50000.0
2024,PUMPED_STOR,INDIA,WR,50000.0
2024,PUMPED_STOR,INDIA,NR,50000.0
2024,PUMPED_STOR,INDIA,SR,50000.0
2024,PUMPED_STOR,INDIA,NER,50000.0
2025,PUMPED_STOR,INDIA,ER,50000.0
2025,PUMPED_STOR,INDIA,WR,50000.0
2025,PUMPED_STOR,INDIA,NR,50000.0
2025,PUMPED_STOR,INDIA,SR,50000.0
2025,PUMPED_STOR,INDIA,NER,50000.0
2026,PUMPED_STOR,INDIA,ER,50000.0
2026,PUMPED_STOR,INDIA,WR,50000.0
2026,PUMPED_STOR,INDIA,NR,50000.0
2026,PUMPED_STOR,INDIA,SR,50000.0
2026,PUMPED_STOR,INDIA,NER,50000.0
2027,PUMPED_STOR,INDIA,ER,50000.0
2027,PUMPED_STOR,INDIA,WR,50000.0
2027,PUMPED_STOR,INDIA,NR,50000.0
2027,PUMPED_STOR,INDIA,SR,50000.0
2027,PUMPED_STOR,INDIA,NER,50000.0
2028,PUMPED_STOR,INDIA,ER,50000.0
2028,PUMPED_STOR,INDIA,WR,50000.0
2028,PUMPED_STOR,INDIA,NR,50000.0
2028,PUMPED_STOR,INDIA,SR,50000.0
2028,PUMPED_STOR,INDIA,NER,50000.0
2029,PUMPED_STOR,INDIA,ER,50000.0
2029,PUMPED_STOR,INDIA,WR,50000.0
2029,PUMPED_STOR,INDIA,NR,50000.0
2029,PUMPED_STOR,INDIA,SR,50000.0
2029,PUMPED_STOR,INDIA,NER,50000.0
2030,PUMPED_STOR,INDIA,ER,50000.0
2030,PUMPED_STOR,INDIA,WR,50000.0
2030,PUMPED_STOR,INDIA,NR,50000.0
2030,PUMPED_STOR,INDIA,SR,50000.0
2030,PUMPED_STOR,INDIA,NER,50000.0
2031,PUMPED_STOR,INDIA,ER,50000.0
2031,PUMPED_STOR,INDIA,WR,50000.0
2031,PUMPED_STOR,INDIA,NR,50000.0
2031,PUMPED_STOR,INDIA,SR,50000.0
2031,PUMPED_STOR,INDIA,NER,50000.0
