ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,NER,AS,2034,IPT3W,IPT3W_HSD,0.027833594695637138
INDIA,NER,AS,2034,IPT3W,IPT3W_MS,0.10479634609536644
INDIA,NER,AS,2034,IPT3W,IPT3W_NATGAS,0.0006886847016594022
INDIA,NER,AS,2035,IPT3W,IPT3W_E,0.8704877993494498
INDIA,NER,AS,2035,IPT3W,IPT3W_HSD,0.0270392030192785
INDIA,NER,AS,2035,IPT3W,IPT3W_MS,0.10180431357881972
INDIA,NER,AS,2035,IPT3W,IPT3W_NATGAS,0.0006686840524520305
INDIA,NER,AS,2036,IPT3W,IPT3W_E,0.875426960792224
INDIA,NER,AS,2036,IPT3W,IPT3W_HSD,0.026007627469648804
INDIA,NER,AS,2036,IPT3W,IPT3W_MS,0.09792261722258978
INDIA,NER,AS,2036,IPT3W,IPT3W_NATGAS,0.0006427945155373385
INDIA,NER,AS,2037,IPT3W,IPT3W_E,0.8817448542045877
INDIA,NER,AS,2037,IPT3W,IPT3W_HSD,0.024690130575992578
INDIA,NER,AS,2037,IPT3W,IPT3W_MS,0.0929557285691706
INDIA,NER,AS,2037,IPT3W,IPT3W_NATGAS,0.0006092866502490682
INDIA,NER,AS,2038,IPT3W,IPT3W_E,0.8897734674676123
INDIA,NER,AS,2038,IPT3W,IPT3W_HSD,0.02301271380666329
INDIA,NER,AS,2038,IPT3W,IPT3W_MS,0.08664447178596416
INDIA,NER,AS,2038,IPT3W,IPT3W_NATGAS,0.0005693469397601988
INDIA,NER,AS,2039,IPT3W,IPT3W_E,0.9002050861361772
INDIA,NER,AS,2039,IPT3W,IPT3W_HSD,0.02083447270075654
INDIA,NER,AS,2039,IPT3W,IPT3W_MS,0.07844544708777687
INDIA,NER,AS,2039,IPT3W,IPT3W_NATGAS,0.0005149940752893993
INDIA,NER,AS,2040,IPT3W,IPT3W_E,0.9126423154489984
INDIA,NER,AS,2040,IPT3W,IPT3W_HSD,0.018238714097632534
INDIA,NER,AS,2040,IPT3W,IPT3W_MS,0.06866794243164241
INDIA,NER,AS,2040,IPT3W,IPT3W_NATGAS,0.0004510280217266641
INDIA,NER,AS,2041,IPT3W,IPT3W_E,0.9223467026376475
INDIA,NER,AS,2041,IPT3W,IPT3W_HSD,0.016213192680336178
INDIA,NER,AS,2041,IPT3W,IPT3W_MS,0.061040277536580145
INDIA,NER,AS,2041,IPT3W,IPT3W_NATGAS,0.0003998271454361145
INDIA,ER,BR,2021,IPT3W,IPT3W_E,0.12554775972427376
INDIA,ER,BR,2021,IPT3W,IPT3W_HSD,0.8328594288527819
INDIA,ER,BR,2021,IPT3W,IPT3W_MS,0.015201870999507632
INDIA,ER,BR,2021,IPT3W,IPT3W_NATGAS,0.026390940423436732
INDIA,ER,BR,2022,IPT3W,IPT3W_E,0.1534873689810355
INDIA,ER,BR,2022,IPT3W,IPT3W_HSD,0.7966758206208394
INDIA,ER,BR,2022,IPT3W,IPT3W_MS,0.015151471582004573
INDIA,ER,BR,2022,IPT3W,IPT3W_NATGAS,0.03468533881612054
INDIA,ER,BR,2023,IPT3W,IPT3W_E,0.25250696548283874
INDIA,ER,BR,2023,IPT3W,IPT3W_HSD,0.6582472533489068
INDIA,ER,BR,2023,IPT3W,IPT3W_MS,0.012590186273436265
INDIA,ER,BR,2023,IPT3W,IPT3W_NATGAS,0.07665559489481817
INDIA,ER,BR,2024,IPT3W,IPT3W_E,0.352532822058674
