EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_SOLARPV,INDIA,NR,JK,2029,4.007417803,0
EG_SOLARPV,INDIA,NR,JK,2030,4.007417803,0
EG_SOLARPV,INDIA,NR,JK,2031,4.007417803,0
EG_SOLARPV,INDIA,ER,JH,2021,0.01023,0.01023
EG_SOLARPV,INDIA,ER,JH,2022,0.01,0.01
EG_SOLARPV,INDIA,ER,JH,2023,0.328027265,0.015
EG_SOLARPV,INDIA,ER,JH,2024,0.437369687,0.025
EG_SOLARPV,INDIA,ER,JH,2025,0.546712109,0
EG_SOLARPV,INDIA,ER,JH,2026,0.656054531,0
EG_SOLARPV,INDIA,ER,JH,2027,0.656054531,0
EG_SOLARPV,INDIA,ER,JH,2028,0.656054531,0
EG_SOLARPV,INDIA,ER,JH,2029,0.656054531,0
EG_SOLARPV,INDIA,ER,JH,2030,0.656054531,0
EG_SOLARPV,INDIA,ER,JH,2031,0.656054531,0
EG_SOLARPV,INDIA,SR,KA,2021,0.071614852,0.06892
EG_SOLARPV,INDIA,SR,KA,2022,0.115978236,0.111614
EG_SOLARPV,INDIA,SR,KA,2023,0.445669607,0.167421
EG_SOLARPV,INDIA,SR,KA,2024,0.594226143,0.279035
EG_SOLARPV,INDIA,SR,KA,2025,0.742782678,0
EG_SOLARPV,INDIA,SR,KA,2026,0.891339214,0
EG_SOLARPV,INDIA,SR,KA,2027,0.891339214,0
EG_SOLARPV,INDIA,SR,KA,2028,0.891339214,0
EG_SOLARPV,INDIA,SR,KA,2029,0.891339214,0
EG_SOLARPV,INDIA,SR,KA,2030,0.891339214,0
EG_SOLARPV,INDIA,SR,KA,2031,0.891339214,0
EG_SOLARPV,INDIA,SR,KL,2021,0.118712579,0.11477
EG_SOLARPV,INDIA,SR,KL,2022,0.044890877,0.0434
EG_SOLARPV,INDIA,SR,KL,2023,0.110244587,0.0651
EG_SOLARPV,INDIA,SR,KL,2024,0.146992783,0.1085
EG_SOLARPV,INDIA,SR,KL,2025,0.183740978,0
EG_SOLARPV,INDIA,SR,KL,2026,0.220489174,0
EG_SOLARPV,INDIA,SR,KL,2027,0.220489174,0
EG_SOLARPV,INDIA,SR,KL,2028,0.220489174,0
EG_SOLARPV,INDIA,SR,KL,2029,0.220489174,0
EG_SOLARPV,INDIA,SR,KL,2030,0.220489174,0
EG_SOLARPV,INDIA,SR,KL,2031,0.220489174,0
EG_SOLARPV,INDIA,WR,MP,2021,0.205371869,0.20476
EG_SOLARPV,INDIA,WR,MP,2022,0.149954764,0.149508
EG_SOLARPV,INDIA,WR,MP,2023,1.11255012,0.036762
EG_SOLARPV,INDIA,WR,MP,2024,1.48340016,0.06127
EG_SOLARPV,INDIA,WR,MP,2025,1.8542502,0
EG_SOLARPV,INDIA,WR,MP,2026,2.225100241,0
EG_SOLARPV,INDIA,WR,MP,2027,2.225100241,0
EG_SOLARPV,INDIA,WR,MP,2028,2.225100241,0
EG_SOLARPV,INDIA,WR,MP,2029,2.225100241,0
EG_SOLARPV,INDIA,WR,MP,2030,2.225100241,0
EG_SOLARPV,INDIA,WR,MP,2031,2.225100241,0
EG_SOLARPV,INDIA,WR,MH,2021,0.521812847,0.48817
EG_SOLARPV,INDIA,WR,MH,2022,0.597780725,0.55924
EG_SOLARPV,INDIA,WR,MH,2023,1.160545309,0.83886
EG_SOLARPV,INDIA,WR,MH,2024,1.547393745,1.3981
EG_SOLARPV,INDIA,WR,MH,2025,1.934242181,0
EG_SOLARPV,INDIA,WR,MH,2026,2.321090617,0
EG_SOLARPV,INDIA,WR,MH,2027,2.321090617,0
EG_SOLARPV,INDIA,WR,MH,2028,2.321090617,0
EG_SOLARPV,INDIA,WR,MH,2029,2.321090617,0
EG_SOLARPV,INDIA,WR,MH,2030,2.321090617,0
EG_SOLARPV,INDIA,WR,MH,2031,2.321090617,0
EG_SOLARPV,INDIA,ER,OD,2021,0.00388,0.00388
EG_SOLARPV,INDIA,ER,OD,2022,0.023032,0.023032
EG_SOLARPV,INDIA,ER,OD,2023,0.465156375,0.034548
EG_SOLARPV,INDIA,ER,OD,2024,0.6202085,0.05758
EG_SOLARPV,INDIA,ER,OD,2025,0.775260626,0
EG_SOLARPV,INDIA,ER,OD,2026,0.930312751,0
EG_SOLARPV,INDIA,ER,OD,2027,0.930312751,0
EG_SOLARPV,INDIA,ER,OD,2028,0.930312751,0
EG_SOLARPV,INDIA,ER,OD,2029,0.930312751,0
EG_SOLARPV,INDIA,ER,OD,2030,0.930312751,0
