InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,FixedCost
2020,RF_ATF,2024,INDIA,,5705.334712
2020,RF_ATF,2025,INDIA,,5705.334712
2020,RF_ATF,2026,INDIA,,5705.334712
2020,RF_ATF,2027,INDIA,,5705.334712
2020,RF_ATF,2028,INDIA,,5705.334712
2020,RF_ATF,2029,INDIA,,5705.334712
2020,RF_ATF,2030,INDIA,,5705.334712
2020,RF_ATF,2031,INDIA,,5705.334712
2021,RF_ATF,2021,INDIA,,5705.334712
2021,RF_ATF,2022,INDIA,,5705.334712
2022,RF_ATF,2022,INDIA,,5705.334712
2021,RF_ATF,2023,INDIA,,5705.334712
2022,RF_ATF,2023,INDIA,,5705.334712
2023,RF_ATF,2023,INDIA,,5705.334712
2021,RF_ATF,2024,INDIA,,5705.334712
2022,RF_ATF,2024,INDIA,,5705.334712
2023,RF_ATF,2024,INDIA,,5705.334712
2024,RF_ATF,2024,INDIA,,5705.334712
2021,RF_ATF,2025,INDIA,,5705.334712
2022,RF_ATF,2025,INDIA,,5705.334712
2023,RF_ATF,2025,INDIA,,5705.334712
2024,RF_ATF,2025,INDIA,,5705.334712
2025,RF_ATF,2025,INDIA,,5705.334712
2021,RF_ATF,2026,INDIA,,5705.334712
2022,RF_ATF,2026,INDIA,,5705.334712
2023,RF_ATF,2026,INDIA,,5705.334712
2024,RF_ATF,2026,INDIA,,5705.334712
2025,RF_ATF,2026,INDIA,,5705.334712
2026,RF_ATF,2026,INDIA,,5705.334712
2021,RF_ATF,2027,INDIA,,5705.334712
2022,RF_ATF,2027,INDIA,,5705.334712
2023,RF_ATF,2027,INDIA,,5705.334712
2024,RF_ATF,2027,INDIA,,5705.334712
2025,RF_ATF,2027,INDIA,,5705.334712
2026,RF_ATF,2027,INDIA,,5705.334712
2027,RF_ATF,2027,INDIA,,5705.334712
2021,RF_ATF,2028,INDIA,,5705.334712
2022,RF_ATF,2028,INDIA,,5705.334712
2023,RF_ATF,2028,INDIA,,5705.334712
2024,RF_ATF,2028,INDIA,,5705.334712
2025,RF_ATF,2028,INDIA,,5705.334712
2026,RF_ATF,2028,INDIA,,5705.334712
2027,RF_ATF,2028,INDIA,,5705.334712
2028,RF_ATF,2028,INDIA,,5705.334712
2021,RF_ATF,2029,INDIA,,5705.334712
