EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H17,1.020282275
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H18,1.027209062
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H19,0.947068627
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H20,0.953982293
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H21,0.81041351
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H22,0.79967768
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S04Jul,ALLDAYS,H23,0.853032267
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H00,0.795153866
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H01,0.801803736
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H02,0.779581969
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H03,0.75706921
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H04,0.781982053
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H05,0.79369784
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H06,0.622340621
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H07,0.504750146
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H08,0.750424104
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H09,1.10839525
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H10,1.182744977
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H11,1.201253792
OTHER_ALL,ELECTRICITY,INDIA,NR,PB,2023,S05Aug,ALLDAYS,H12,1.203433139
