Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2024,RURAL,INDIA,ER,BR,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.7862E-07
2024,RURAL,INDIA,ER,BR,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.76132E-08
2024,RURAL,INDIA,ER,BR,RES_TV,TV,AVGTV,ELECTRICITY,1.09899E-08
2024,RURAL,INDIA,ER,BR,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,ER,BR,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,ER,BR,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,ER,BR,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,ER,BR,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,WR,CG,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
2024,RURAL,INDIA,WR,CG,RES_LIGHT,LIGHT_ELEC,LED,ELECTRICITY,1.18357E-08
2024,RURAL,INDIA,WR,CG,RES_REF,FR_DIRECTCOOL,2STARDC,ELECTRICITY,4.71646E-08
2024,RURAL,INDIA,WR,CG,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.17006E-08
2024,RURAL,INDIA,WR,CG,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.6535E-08
2024,RURAL,INDIA,WR,CG,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.69511E-08
2024,RURAL,INDIA,WR,CG,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,4.93217E-08
2024,RURAL,INDIA,WR,CG,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.26577E-08
2024,RURAL,INDIA,WR,CG,RES_COOL,AC,3STARAC,ELECTRICITY,6.92811E-08
2024,RURAL,INDIA,WR,CG,RES_COOL,AC,4STARAC,ELECTRICITY,6.10835E-08
2024,RURAL,INDIA,WR,CG,RES_COOL,AC,5STARAC,ELECTRICITY,5.72994E-08
2024,RURAL,INDIA,WR,CG,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.78661E-07
2024,RURAL,INDIA,WR,CG,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.7126E-08
2024,RURAL,INDIA,WR,CG,RES_TV,TV,AVGTV,ELECTRICITY,1.10948E-08
2024,RURAL,INDIA,WR,CG,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,WR,CG,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,WR,CG,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,WR,CG,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,WR,CG,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
