EnergyStorTech,Year,ModelGeography,SubGeography1,MaxStorCapacity
SIXHR_BATTERY,2021,INDIA,ER,0.0
SIXHR_BATTERY,2021,INDIA,NER,0.0
SIXHR_BATTERY,2021,INDIA,NR,0.0
SIXHR_BATTERY,2021,INDIA,SR,0.0
SIXHR_BATTERY,2021,INDIA,WR,0.0
SIXHR_BATTERY,2022,INDIA,ER,0.0
SIXHR_BATTERY,2022,INDIA,NER,0.0
SIXHR_BATTERY,2022,INDIA,NR,0.0
SIXHR_BATTERY,2022,INDIA,SR,0.0
SIXHR_BATTERY,2022,INDIA,WR,0.0
SIXHR_BATTERY,2023,INDIA,ER,0.0
SIXHR_BATTERY,2023,INDIA,NER,0.0
SIXHR_BATTERY,2023,INDIA,NR,0.0
SIXHR_BATTERY,2023,INDIA,SR,0.0
SIXHR_BATTERY,2023,INDIA,WR,0.0
SIXHR_BATTERY,2024,INDIA,ER,0.012172858
SIXHR_BATTERY,2024,INDIA,NER,0.00111143
SIXHR_BATTERY,2024,INDIA,NR,0.138071372
SIXHR_BATTERY,2024,INDIA,SR,0.32182939899999996
SIXHR_BATTERY,2024,INDIA,WR,0.12681494150000003
SIXHR_BATTERY,2025,INDIA,ER,0.024265875
SIXHR_BATTERY,2025,INDIA,NER,0.002215569
SIXHR_BATTERY,2025,INDIA,NR,0.275237149
SIXHR_BATTERY,2025,INDIA,SR,0.64154795
SIXHR_BATTERY,2025,INDIA,WR,0.252798118
SIXHR_BATTERY,2026,INDIA,ER,0.048372592
SIXHR_BATTERY,2026,INDIA,NER,0.0044166069999999995
SIXHR_BATTERY,2026,INDIA,NR,0.548669046
SIXHR_BATTERY,2026,INDIA,SR,1.278888053
SIXHR_BATTERY,2026,INDIA,WR,0.5039381589999999
SIXHR_BATTERY,2027,INDIA,ER,0.096427911
SIXHR_BATTERY,2027,INDIA,NER,0.008804244999999999
SIXHR_BATTERY,2027,INDIA,NR,1.093739431
SIXHR_BATTERY,2027,INDIA,SR,2.549388011
SIXHR_BATTERY,2027,INDIA,WR,1.004571037
SIXHR_BATTERY,2028,INDIA,ER,0.192223363
SIXHR_BATTERY,2028,INDIA,NER,0.017550745
SIXHR_BATTERY,2028,INDIA,NR,2.180305135
SIXHR_BATTERY,2028,INDIA,SR,5.082054847
SIXHR_BATTERY,2028,INDIA,WR,2.0025531979999998
SIXHR_BATTERY,2029,INDIA,ER,0.38318595099999997
SIXHR_BATTERY,2029,INDIA,NER,0.034986377
SIXHR_BATTERY,2029,INDIA,NR,4.346309870000001
SIXHR_BATTERY,2029,INDIA,SR,10.130777019000002
SIXHR_BATTERY,2029,INDIA,WR,3.9919718559999997
SIXHR_BATTERY,2030,INDIA,ER,0.763858627
SIXHR_BATTERY,2030,INDIA,NER,0.069743283
SIXHR_BATTERY,2030,INDIA,NR,8.664112739
SIXHR_BATTERY,2030,INDIA,SR,20.195107306
SIXHR_BATTERY,2030,INDIA,WR,7.957760776
SIXHR_BATTERY,2031,INDIA,ER,1.522707185
SIXHR_BATTERY,2031,INDIA,NER,0.139029127
SIXHR_BATTERY,2031,INDIA,NR,17.271398447
SIXHR_BATTERY,2031,INDIA,SR,40.257756967
SIXHR_BATTERY,2031,INDIA,WR,15.863327415999999
PUMPED_STOR,2021,INDIA,ER,0.0
PUMPED_STOR,2021,INDIA,NER,0.0
