ModelGeography,SubGeography1,SubGeography2,ConsumerType1,NumHH,Year,UsagePenetration
INDIA,ER,JH,RURAL,8866976,2041,0.97364618
INDIA,ER,JH,URBAN,2886561,2024,0.763152426
INDIA,ER,JH,URBAN,3007231,2025,0.814707077
INDIA,ER,JH,URBAN,3132129,2026,0.869682594
INDIA,ER,JH,URBAN,3259324,2027,0.928234313
INDIA,ER,JH,URBAN,3389722,2028,0.982819603
INDIA,ER,JH,URBAN,3524615,2029,1
INDIA,ER,JH,URBAN,3664146,2030,1
INDIA,ER,JH,URBAN,3808461,2031,1
INDIA,ER,JH,URBAN,3955077,2032,1
INDIA,ER,JH,URBAN,4103972,2033,1
INDIA,ER,JH,URBAN,4258222,2034,1
INDIA,ER,JH,URBAN,4417654,2035,1
INDIA,ER,JH,URBAN,4582790,2036,1
INDIA,ER,JH,URBAN,4752718,2037,1
INDIA,ER,JH,URBAN,4931444,2038,1
INDIA,ER,JH,URBAN,5116892,2039,1
INDIA,ER,JH,URBAN,5309313,2040,1
INDIA,ER,JH,URBAN,5508970,2041,1
INDIA,ER,OD,RURAL,10220730,2024,0.341631604
INDIA,ER,OD,RURAL,10374117,2025,0.370256751
INDIA,ER,OD,RURAL,10529086,2026,0.401239125
INDIA,ER,OD,RURAL,10676951,2027,0.434723716
INDIA,ER,OD,RURAL,10819704,2028,0.470926758
INDIA,ER,OD,RURAL,10964305,2029,0.510096701
INDIA,ER,OD,RURAL,11110197,2030,0.545410399
INDIA,ER,OD,RURAL,11257971,2031,0.58312224
INDIA,ER,OD,RURAL,11397283,2032,0.623331249
INDIA,ER,OD,RURAL,11530808,2033,0.666216386
INDIA,ER,OD,RURAL,11665892,2034,0.712000285
INDIA,ER,OD,RURAL,11801941,2035,0.760876241
INDIA,ER,OD,RURAL,11939570,2036,0.802611559
INDIA,ER,OD,RURAL,12078799,2037,0.846583655
INDIA,ER,OD,RURAL,12221308,2038,0.892823847
INDIA,ER,OD,RURAL,12365498,2039,0.941513893
INDIA,ER,OD,RURAL,12511390,2040,0.986373356
INDIA,ER,OD,RURAL,12659002,2041,1
INDIA,ER,OD,URBAN,2432031,2024,0.827706612
INDIA,ER,OD,URBAN,2470744,2025,0.867617478
INDIA,ER,OD,URBAN,2510010,2026,0.909397151
INDIA,ER,OD,URBAN,2547618,2027,0.947611671
INDIA,ER,OD,URBAN,2584119,2028,0.987348685
INDIA,ER,OD,URBAN,2620897,2029,1
INDIA,ER,OD,URBAN,2657951,2030,1
INDIA,ER,OD,URBAN,2695282,2031,1
INDIA,ER,OD,URBAN,2730953,2032,1
INDIA,ER,OD,URBAN,2765519,2033,1
INDIA,ER,OD,URBAN,2800361,2034,1
INDIA,ER,OD,URBAN,2835203,2035,1
INDIA,ER,OD,URBAN,2870598,2036,1
INDIA,ER,OD,URBAN,2905717,2037,1
INDIA,ER,OD,URBAN,2942353,2038,1
INDIA,ER,OD,URBAN,2979451,2039,1
INDIA,ER,OD,URBAN,3017017,2040,1
INDIA,ER,OD,URBAN,3055057,2041,1
INDIA,ER,SK,RURAL,86020,2024,0.808142731
INDIA,ER,SK,RURAL,83791,2025,0.835856836
INDIA,ER,SK,RURAL,81278,2026,0.864464247
INDIA,ER,SK,RURAL,78985,2027,0.893931431
INDIA,ER,SK,RURAL,76148,2028,0.92430733
INDIA,ER,SK,RURAL,73529,2029,0.951738823
INDIA,ER,SK,RURAL,70875,2030,0.97993286
