EnergyCarrier,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,Year,TransitCost,TransitLoss,MaxTransit
ELECTRICITY,INDIA,NR,INDIA,WR,2024,0.43,0.033,26.89517033
ELECTRICITY,INDIA,NR,INDIA,WR,2025,0.44,0.033,27.67923171
ELECTRICITY,INDIA,NR,INDIA,WR,2026,0.45,0.033,28.46329309
ELECTRICITY,INDIA,NR,INDIA,WR,2027,0.46,0.033,29.24735448
ELECTRICITY,INDIA,NR,INDIA,WR,2028,0.47,0.033,30.03141586
ELECTRICITY,INDIA,NR,INDIA,WR,2029,0.48,0.033,30.81547724
ELECTRICITY,INDIA,NR,INDIA,WR,2030,0.49,0.033,31.59953862
ELECTRICITY,INDIA,NR,INDIA,WR,2031,0.5,0.033,32.3836
ELECTRICITY,INDIA,WR,INDIA,SR,2021,0.4,0.033,10.26344368
ELECTRICITY,INDIA,WR,INDIA,SR,2022,0.41,0.033,10.59132431
ELECTRICITY,INDIA,WR,INDIA,SR,2023,0.42,0.033,10.91920494
ELECTRICITY,INDIA,WR,INDIA,SR,2024,0.43,0.033,11.24708558
ELECTRICITY,INDIA,WR,INDIA,SR,2025,0.44,0.033,11.57496621
ELECTRICITY,INDIA,WR,INDIA,SR,2026,0.45,0.033,11.90284684
ELECTRICITY,INDIA,WR,INDIA,SR,2027,0.46,0.033,12.23072747
ELECTRICITY,INDIA,WR,INDIA,SR,2028,0.47,0.033,12.5586081
ELECTRICITY,INDIA,WR,INDIA,SR,2029,0.48,0.033,12.88648874
ELECTRICITY,INDIA,WR,INDIA,SR,2030,0.49,0.033,13.21436937
ELECTRICITY,INDIA,WR,INDIA,SR,2031,0.5,0.033,13.54225
ELECTRICITY,INDIA,SR,INDIA,ER,2021,0.4,0.033,6.118466811
ELECTRICITY,INDIA,SR,INDIA,ER,2022,0.41,0.033,6.31393013
ELECTRICITY,INDIA,SR,INDIA,ER,2023,0.42,0.033,6.509393448
ELECTRICITY,INDIA,SR,INDIA,ER,2024,0.43,0.033,6.704856767
ELECTRICITY,INDIA,SR,INDIA,ER,2025,0.44,0.033,6.900320086
ELECTRICITY,INDIA,SR,INDIA,ER,2026,0.45,0.033,7.095783405
ELECTRICITY,INDIA,SR,INDIA,ER,2027,0.46,0.033,7.291246724
ELECTRICITY,INDIA,SR,INDIA,ER,2028,0.47,0.033,7.486710043
ELECTRICITY,INDIA,SR,INDIA,ER,2029,0.48,0.033,7.682173362
ELECTRICITY,INDIA,SR,INDIA,ER,2030,0.49,0.033,7.877636681
ELECTRICITY,INDIA,SR,INDIA,ER,2031,0.5,0.033,8.0731
ELECTRICITY,INDIA,ER,INDIA,NER,2021,0.4,0.033,15.43296494
ELECTRICITY,INDIA,ER,INDIA,NER,2022,0.41,0.033,15.92599345
ELECTRICITY,INDIA,ER,INDIA,NER,2023,0.42,0.033,16.41902195
ELECTRICITY,INDIA,ER,INDIA,NER,2024,0.43,0.033,16.91205046
ELECTRICITY,INDIA,ER,INDIA,NER,2025,0.44,0.033,17.40507897
ELECTRICITY,INDIA,ER,INDIA,NER,2026,0.45,0.033,17.89810747
ELECTRICITY,INDIA,ER,INDIA,NER,2027,0.46,0.033,18.39113598
ELECTRICITY,INDIA,ER,INDIA,NER,2028,0.47,0.033,18.88416448
ELECTRICITY,INDIA,ER,INDIA,NER,2029,0.48,0.033,19.37719299
ELECTRICITY,INDIA,ER,INDIA,NER,2030,0.49,0.033,19.87022149
ELECTRICITY,INDIA,ER,INDIA,NER,2031,0.5,0.033,20.36325
ELECTRICITY,INDIA,NER,INDIA,NR,2021,0.4,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2022,0.41,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2023,0.42,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2024,0.43,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2025,0.44,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2026,0.45,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2027,0.46,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2028,0.47,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2029,0.48,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2030,0.49,0.033,0
ELECTRICITY,INDIA,NER,INDIA,NR,2031,0.5,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2021,0.4,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2022,0.41,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2023,0.42,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2024,0.43,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2025,0.44,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2026,0.45,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2027,0.46,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2028,0.47,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2029,0.48,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2030,0.49,0.033,0
ELECTRICITY,INDIA,NR,INDIA,SR,2031,0.5,0.033,0
ELECTRICITY,INDIA,WR,INDIA,ER,2021,0.4,0.033,16.74406497
ELECTRICITY,INDIA,WR,INDIA,ER,2022,0.41,0.033,17.27897848
