ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,WB,URBAN,2024,0.171107143
INDIA,ER,WB,URBAN,2025,0.183222946
INDIA,ER,WB,URBAN,2026,0.196163352
INDIA,ER,WB,URBAN,2027,0.209953261
INDIA,ER,WB,URBAN,2028,0.224655355
INDIA,ER,WB,URBAN,2029,0.240346177
INDIA,ER,WB,URBAN,2030,0.257089653
INDIA,ER,WB,URBAN,2031,0.273623001
INDIA,ER,WB,URBAN,2032,0.291128999
INDIA,ER,WB,URBAN,2033,0.309672318
INDIA,ER,WB,URBAN,2034,0.329345491
INDIA,ER,WB,URBAN,2035,0.350214775
INDIA,ER,WB,URBAN,2036,0.372347198
INDIA,ER,WB,URBAN,2037,0.395814785
INDIA,ER,WB,URBAN,2038,0.420619477
INDIA,ER,WB,URBAN,2039,0.446886811
INDIA,ER,WB,URBAN,2040,0.47469735
INDIA,ER,WB,URBAN,2041,0.50413545
INDIA,NER,AS,RURAL,2022,0.002563359
INDIA,NER,AS,RURAL,2023,0.002879121
INDIA,NER,AS,RURAL,2024,0.003196483
INDIA,NER,AS,RURAL,2025,0.003586044
INDIA,NER,AS,RURAL,2026,0.004022388
INDIA,NER,AS,RURAL,2027,0.004510417
INDIA,NER,AS,RURAL,2028,0.005056348
INDIA,NER,AS,RURAL,2029,0.005667378
INDIA,NER,AS,RURAL,2030,0.006351161
INDIA,NER,AS,RURAL,2031,0.007116222
INDIA,NER,AS,RURAL,2032,0.007970722
INDIA,NER,AS,RURAL,2033,0.008925214
INDIA,NER,AS,RURAL,2034,0.009992302
INDIA,NER,AS,RURAL,2035,0.011185088
INDIA,NER,AS,RURAL,2036,0.012518072
INDIA,NER,AS,RURAL,2037,0.014007449
INDIA,NER,AS,RURAL,2038,0.015668229
INDIA,NER,AS,RURAL,2039,0.01752197
INDIA,NER,AS,RURAL,2040,0.019590632
INDIA,NER,AS,RURAL,2041,0.021898609
INDIA,NER,AS,URBAN,2022,0.06595581
INDIA,NER,AS,URBAN,2023,0.07312046
INDIA,NER,AS,URBAN,2024,0.080117341
INDIA,NER,AS,URBAN,2025,0.088715416
INDIA,NER,AS,URBAN,2026,0.098219064
INDIA,NER,AS,URBAN,2027,0.108706455
INDIA,NER,AS,URBAN,2028,0.120282109
INDIA,NER,AS,URBAN,2029,0.133067156
INDIA,NER,AS,URBAN,2030,0.147185663
INDIA,NER,AS,URBAN,2031,0.162773856
INDIA,NER,AS,URBAN,2032,0.179950822
INDIA,NER,AS,URBAN,2033,0.198881483
INDIA,NER,AS,URBAN,2034,0.219765676
INDIA,NER,AS,URBAN,2035,0.24280156
INDIA,NER,AS,URBAN,2036,0.266537979
INDIA,NER,AS,URBAN,2037,0.292546478
INDIA,NER,AS,URBAN,2038,0.320981182
INDIA,NER,AS,URBAN,2039,0.352105094
INDIA,NER,AS,URBAN,2040,0.386165449
INDIA,NER,AS,URBAN,2041,0.42343128
INDIA,NER,NE,RURAL,2022,0.003123453
INDIA,NER,NE,RURAL,2023,0.003612929
INDIA,NER,NE,RURAL,2024,0.00412792
INDIA,NER,NE,RURAL,2025,0.004731496
INDIA,NER,NE,RURAL,2026,0.005422484
INDIA,NER,NE,RURAL,2027,0.006212641
INDIA,NER,NE,RURAL,2028,0.007116281
INDIA,NER,NE,RURAL,2029,0.008150094
INDIA,NER,NE,RURAL,2030,0.009332657
INDIA,NER,NE,RURAL,2031,0.01068516
INDIA,NER,NE,RURAL,2032,0.012229918
INDIA,NER,NE,RURAL,2033,0.01399432
INDIA,NER,NE,RURAL,2034,0.016010816
