ModelGeography,SubGeography1,SubGeography2,Year,PPC+OPC+PSC+CC+LC3
INDIA,NR,UK,2023,1.658570986
INDIA,NR,UK,2024,1.747946951
INDIA,NR,UK,2025,1.863150085
INDIA,NR,UK,2026,1.988872723
INDIA,NR,UK,2027,2.119443729
INDIA,NR,UK,2028,2.256144356
INDIA,NR,UK,2029,2.400463288
INDIA,NR,UK,2030,2.552753804
INDIA,NR,UK,2031,2.713374243
INDIA,NR,UK,2032,2.879066
INDIA,NR,UK,2033,3.045773036
INDIA,NR,UK,2034,3.212488969
INDIA,NR,UK,2035,3.378130498
INDIA,NR,UK,2036,3.54432917
INDIA,NR,UK,2037,3.7166658
INDIA,NR,UK,2038,3.895145196
INDIA,NR,UK,2039,4.079722575
INDIA,NR,UK,2040,4.270291911
INDIA,NR,UK,2041,4.466671925
INDIA,NR,HR,2022,3.222192392
INDIA,NR,HR,2023,3.405254683
INDIA,NR,HR,2024,3.588754771
INDIA,NR,HR,2025,3.825281283
INDIA,NR,HR,2026,4.083405659
INDIA,NR,HR,2027,4.351484345
INDIA,NR,HR,2028,4.632147912
INDIA,NR,HR,2029,4.928452818
INDIA,NR,HR,2030,5.241124388
INDIA,NR,HR,2031,5.570898335
INDIA,NR,HR,2032,5.911084336
INDIA,NR,HR,2033,6.253354833
INDIA,NR,HR,2034,6.595643597
INDIA,NR,HR,2035,6.935726474
INDIA,NR,HR,2036,7.276953233
INDIA,NR,HR,2037,7.630781995
INDIA,NR,HR,2038,7.997222625
INDIA,NR,HR,2039,8.376183183
INDIA,NR,HR,2040,8.767445979
INDIA,NR,HR,2041,9.17063883
INDIA,NR,DL,2022,0
INDIA,NR,DL,2023,0
INDIA,NR,DL,2024,0
INDIA,NR,DL,2025,0
INDIA,NR,DL,2026,0
INDIA,NR,DL,2027,0
INDIA,NR,DL,2028,0
INDIA,NR,DL,2029,0
INDIA,NR,DL,2030,0
INDIA,NR,DL,2031,0
INDIA,NR,DL,2032,0
INDIA,NR,DL,2033,0
INDIA,NR,DL,2034,0
INDIA,NR,DL,2035,0
INDIA,NR,DL,2036,0
INDIA,NR,DL,2037,0
INDIA,NR,DL,2038,0
INDIA,NR,DL,2039,0
INDIA,NR,DL,2040,0
INDIA,NR,DL,2041,0
INDIA,NR,RJ,2022,32.84152191
INDIA,NR,RJ,2023,34.70734601
INDIA,NR,RJ,2024,36.57763228
INDIA,NR,RJ,2025,38.98837927
INDIA,NR,RJ,2026,41.61925798
INDIA,NR,RJ,2027,44.35159391
INDIA,NR,RJ,2028,47.2121986
INDIA,NR,RJ,2029,50.23222438
INDIA,NR,RJ,2030,53.41906394
INDIA,NR,RJ,2031,56.78021591
INDIA,NR,RJ,2032,60.24749057
INDIA,NR,RJ,2033,63.73601101
INDIA,NR,RJ,2034,67.22471763
INDIA,NR,RJ,2035,70.69094121
INDIA,NR,RJ,2036,74.16882358
INDIA,NR,RJ,2037,77.77514921
INDIA,NR,RJ,2038,81.51001868
INDIA,NR,RJ,2039,85.37249489
INDIA,NR,RJ,2040,89.3603591
INDIA,NR,RJ,2041,93.46981788
INDIA,NR,UP,2022,11.89711251
INDIA,NR,UP,2023,12.5730227
INDIA,NR,UP,2024,13.25054935
INDIA,NR,UP,2025,14.12386235
INDIA,NR,UP,2026,15.07691989
INDIA,NR,UP,2027,16.06673114
INDIA,NR,UP,2028,17.10300881
INDIA,NR,UP,2029,18.19703809
INDIA,NR,UP,2030,19.35149704
INDIA,NR,UP,2031,20.5691021
INDIA,NR,UP,2032,21.82515097
INDIA,NR,UP,2033,23.08889631
INDIA,NR,UP,2034,24.35270909
INDIA,NR,UP,2035,25.60837721
INDIA,NR,UP,2036,26.86826881
INDIA,NR,UP,2037,28.17469006
INDIA,NR,UP,2038,29.52767736
INDIA,NR,UP,2039,30.92689127
INDIA,NR,UP,2040,32.37152801
INDIA,NR,UP,2041,33.86021339
INDIA,WR,GA,2022,0
INDIA,WR,GA,2023,0
INDIA,WR,GA,2024,0
INDIA,WR,GA,2025,0
INDIA,WR,GA,2026,0
INDIA,WR,GA,2027,0
INDIA,WR,GA,2028,0
INDIA,WR,GA,2029,0
INDIA,WR,GA,2030,0
INDIA,WR,GA,2031,0
INDIA,WR,GA,2032,0
INDIA,WR,GA,2033,0
INDIA,WR,GA,2034,0
INDIA,WR,GA,2035,0
INDIA,WR,GA,2036,0
INDIA,WR,GA,2037,0
INDIA,WR,GA,2038,0
INDIA,WR,GA,2039,0
INDIA,WR,GA,2040,0
INDIA,WR,GA,2041,0
INDIA,WR,MH,2022,16.20878776
INDIA,WR,MH,2023,17.12965699
INDIA,WR,MH,2024,18.0527285
INDIA,WR,MH,2025,19.242542
INDIA,WR,MH,2026,20.54100054
INDIA,WR,MH,2027,21.88953285
INDIA,WR,MH,2028,23.30137163
INDIA,WR,MH,2029,24.79189198
INDIA,WR,MH,2030,26.36474254
INDIA,WR,MH,2031,28.02362422
INDIA,WR,MH,2032,29.73488228
INDIA,WR,MH,2033,31.4566261
INDIA,WR,MH,2034,33.17846181
INDIA,WR,MH,2035,34.88920111
INDIA,WR,MH,2036,36.60569456
INDIA,WR,MH,2037,38.38558061
INDIA,WR,MH,2038,40.22890891
INDIA,WR,MH,2039,42.13521694
INDIA,WR,MH,2040,44.10340967
INDIA,WR,MH,2041,46.13161486
INDIA,WR,GJ,2022,17.20440839
INDIA,WR,GJ,2023,18.18184177
INDIA,WR,GJ,2024,19.16161271
INDIA,WR,GJ,2025,20.42451021
INDIA,WR,GJ,2026,21.80272623
INDIA,WR,GJ,2027,23.23409178
INDIA,WR,GJ,2028,24.7326524
INDIA,WR,GJ,2029,26.31472759
INDIA,WR,GJ,2030,27.98419009
INDIA,WR,GJ,2031,29.74496815
INDIA,WR,GJ,2032,31.56133979
INDIA,WR,GJ,2033,33.38884129
INDIA,WR,GJ,2034,35.21644031
INDIA,WR,GJ,2035,37.03226134
INDIA,WR,GJ,2036,38.85418995
INDIA,WR,GJ,2037,40.74340505
INDIA,WR,GJ,2038,42.69995931
INDIA,WR,GJ,2039,44.72336183
INDIA,WR,GJ,2040,46.81245029
INDIA,WR,GJ,2041,48.96523747
INDIA,WR,MP,2022,17.58464167
INDIA,WR,MP,2023,18.58367724
INDIA,WR,MP,2024,19.58510202
INDIA,WR,MP,2025,20.87591071
INDIA,WR,MP,2026,22.28458658
INDIA,WR,MP,2027,23.74758663
INDIA,WR,MP,2028,25.27926682
INDIA,WR,MP,2029,26.89630732
INDIA,WR,MP,2030,28.60266648
INDIA,WR,MP,2031,30.40235936
INDIA,WR,MP,2032,32.25887449
INDIA,WR,MP,2033,34.12676546
INDIA,WR,MP,2034,35.9947561
INDIA,WR,MP,2035,37.85070845
INDIA,WR,MP,2036,39.71290337
INDIA,WR,MP,2037,41.64387186
INDIA,WR,MP,2038,43.64366777
INDIA,WR,MP,2039,45.71178935
INDIA,WR,MP,2040,47.84704859
INDIA,WR,MP,2041,50.04741435
INDIA,WR,CG,2022,11.0801298
INDIA,WR,CG,2023,11.70962479
INDIA,WR,CG,2024,12.34062522
INDIA,WR,CG,2025,13.15396723
INDIA,WR,CG,2026,14.04157767
INDIA,WR,CG,2027,14.96341792
INDIA,WR,CG,2028,15.92853371
INDIA,WR,CG,2029,16.94743526
INDIA,WR,CG,2030,18.02261674
INDIA,WR,CG,2031,19.15660804
INDIA,WR,CG,2032,20.32640319
INDIA,WR,CG,2033,21.50336629
INDIA,WR,CG,2034,22.6803922
INDIA,WR,CG,2035,23.84983274
INDIA,WR,CG,2036,25.02320674
INDIA,WR,CG,2037,26.23991516
INDIA,WR,CG,2038,27.49999192
INDIA,WR,CG,2039,28.80312087
INDIA,WR,CG,2040,30.14855343
