ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q2,INDIA,NR,HP,2024,0.54118
RURAL,Q3,INDIA,NR,HP,2024,0.46433
RURAL,Q4,INDIA,NR,HP,2024,0.42911
RURAL,Q5,INDIA,NR,HP,2024,0.21093
URBAN,Q1,INDIA,NR,HP,2024,0.08715
URBAN,Q2,INDIA,NR,HP,2024,0.03904
URBAN,Q3,INDIA,NR,HP,2024,0.01482
URBAN,Q4,INDIA,NR,HP,2024,0.00748
URBAN,Q5,INDIA,NR,HP,2024,0.00206
RURAL,Q1,INDIA,NR,HP,2025,0.6782
RURAL,Q2,INDIA,NR,HP,2025,0.51477
RURAL,Q3,INDIA,NR,HP,2025,0.43577
RURAL,Q4,INDIA,NR,HP,2025,0.4036
RURAL,Q5,INDIA,NR,HP,2025,0.20017
URBAN,Q1,INDIA,NR,HP,2025,0.07717
URBAN,Q2,INDIA,NR,HP,2025,0.03609
URBAN,Q3,INDIA,NR,HP,2025,0.01338
URBAN,Q4,INDIA,NR,HP,2025,0.00674
URBAN,Q5,INDIA,NR,HP,2025,0.00196
RURAL,Q1,INDIA,NR,HP,2026,0.65607
RURAL,Q2,INDIA,NR,HP,2026,0.48781
RURAL,Q3,INDIA,NR,HP,2026,0.40762
RURAL,Q4,INDIA,NR,HP,2026,0.37931
RURAL,Q5,INDIA,NR,HP,2026,0.19029
URBAN,Q1,INDIA,NR,HP,2026,0.0681
URBAN,Q2,INDIA,NR,HP,2026,0.03353
URBAN,Q3,INDIA,NR,HP,2026,0.01212
URBAN,Q4,INDIA,NR,HP,2026,0.0061
URBAN,Q5,INDIA,NR,HP,2026,0.00188
RURAL,Q1,INDIA,NR,HP,2027,0.63288
RURAL,Q2,INDIA,NR,HP,2027,0.46058
RURAL,Q3,INDIA,NR,HP,2027,0.38015
RURAL,Q4,INDIA,NR,HP,2027,0.35637
RURAL,Q5,INDIA,NR,HP,2027,0.18126
URBAN,Q1,INDIA,NR,HP,2027,0.05988
URBAN,Q2,INDIA,NR,HP,2027,0.03131
URBAN,Q3,INDIA,NR,HP,2027,0.01104
URBAN,Q4,INDIA,NR,HP,2027,0.00556
URBAN,Q5,INDIA,NR,HP,2027,0.00182
RURAL,Q1,INDIA,NR,HP,2028,0.6084
RURAL,Q2,INDIA,NR,HP,2028,0.43285
RURAL,Q3,INDIA,NR,HP,2028,0.35312
RURAL,Q4,INDIA,NR,HP,2028,0.33452
RURAL,Q5,INDIA,NR,HP,2028,0.17289
URBAN,Q1,INDIA,NR,HP,2028,0.05235
URBAN,Q2,INDIA,NR,HP,2028,0.02935
URBAN,Q3,INDIA,NR,HP,2028,0.01008
URBAN,Q4,INDIA,NR,HP,2028,0.00509
URBAN,Q5,INDIA,NR,HP,2028,0.00177
RURAL,Q1,INDIA,NR,HP,2029,0.58271
RURAL,Q2,INDIA,NR,HP,2029,0.40482
RURAL,Q3,INDIA,NR,HP,2029,0.3267
RURAL,Q4,INDIA,NR,HP,2029,0.31379
RURAL,Q5,INDIA,NR,HP,2029,0.16515
URBAN,Q1,INDIA,NR,HP,2029,0.04546
URBAN,Q2,INDIA,NR,HP,2029,0.02764
URBAN,Q3,INDIA,NR,HP,2029,0.00924
URBAN,Q4,INDIA,NR,HP,2029,0.00469
URBAN,Q5,INDIA,NR,HP,2029,0.00172
RURAL,Q1,INDIA,NR,HP,2030,0.55593
RURAL,Q2,INDIA,NR,HP,2030,0.37665
RURAL,Q3,INDIA,NR,HP,2030,0.30102
RURAL,Q4,INDIA,NR,HP,2030,0.29422
RURAL,Q5,INDIA,NR,HP,2030,0.158
URBAN,Q1,INDIA,NR,HP,2030,0.03915
URBAN,Q2,INDIA,NR,HP,2030,0.02613
URBAN,Q3,INDIA,NR,HP,2030,0.00851
URBAN,Q4,INDIA,NR,HP,2030,0.00434
URBAN,Q5,INDIA,NR,HP,2030,0.00169
RURAL,Q1,INDIA,NR,HP,2031,0.52819
RURAL,Q2,INDIA,NR,HP,2031,0.34853
RURAL,Q3,INDIA,NR,HP,2031,0.2762
RURAL,Q4,INDIA,NR,HP,2031,0.27583
RURAL,Q5,INDIA,NR,HP,2031,0.15141
URBAN,Q1,INDIA,NR,HP,2031,0.03339
URBAN,Q2,INDIA,NR,HP,2031,0.0248
URBAN,Q3,INDIA,NR,HP,2031,0.00786
URBAN,Q4,INDIA,NR,HP,2031,0.00404
URBAN,Q5,INDIA,NR,HP,2031,0.00166
RURAL,Q1,INDIA,WR,GJ,2021,0.54683
RURAL,Q2,INDIA,WR,GJ,2021,0.51338
RURAL,Q3,INDIA,WR,GJ,2021,0.45632
RURAL,Q4,INDIA,WR,GJ,2021,0.45209
RURAL,Q5,INDIA,WR,GJ,2021,0.3549
URBAN,Q1,INDIA,WR,GJ,2021,0.18868
URBAN,Q2,INDIA,WR,GJ,2021,0.09486
URBAN,Q3,INDIA,WR,GJ,2021,0.03989
URBAN,Q4,INDIA,WR,GJ,2021,0.0152
URBAN,Q5,INDIA,WR,GJ,2021,0.00223
RURAL,Q1,INDIA,WR,GJ,2022,0.518
RURAL,Q2,INDIA,WR,GJ,2022,0.48209
RURAL,Q3,INDIA,WR,GJ,2022,0.42574
RURAL,Q4,INDIA,WR,GJ,2022,0.41656
RURAL,Q5,INDIA,WR,GJ,2022,0.32413
URBAN,Q1,INDIA,WR,GJ,2022,0.16384
URBAN,Q2,INDIA,WR,GJ,2022,0.08433
URBAN,Q3,INDIA,WR,GJ,2022,0.03426
URBAN,Q4,INDIA,WR,GJ,2022,0.0121
URBAN,Q5,INDIA,WR,GJ,2022,0.00135
RURAL,Q1,INDIA,WR,GJ,2023,0.48928
RURAL,Q2,INDIA,WR,GJ,2023,0.45244
RURAL,Q3,INDIA,WR,GJ,2023,0.39789
RURAL,Q4,INDIA,WR,GJ,2023,0.38538
RURAL,Q5,INDIA,WR,GJ,2023,0.29945
URBAN,Q1,INDIA,WR,GJ,2023,0.1449
URBAN,Q2,INDIA,WR,GJ,2023,0.07668
URBAN,Q3,INDIA,WR,GJ,2023,0.03008
URBAN,Q4,INDIA,WR,GJ,2023,0.00977
URBAN,Q5,INDIA,WR,GJ,2023,0.00069
RURAL,Q1,INDIA,WR,GJ,2024,0.46115
RURAL,Q2,INDIA,WR,GJ,2024,0.42459
RURAL,Q3,INDIA,WR,GJ,2024,0.37255
RURAL,Q4,INDIA,WR,GJ,2024,0.35792
RURAL,Q5,INDIA,WR,GJ,2024,0.27932
URBAN,Q1,INDIA,WR,GJ,2024,0.1301
URBAN,Q2,INDIA,WR,GJ,2024,0.07093
URBAN,Q3,INDIA,WR,GJ,2024,0.02688
URBAN,Q4,INDIA,WR,GJ,2024,0.00796
URBAN,Q5,INDIA,WR,GJ,2024,0.00018
RURAL,Q1,INDIA,WR,GJ,2025,0.4306
RURAL,Q2,INDIA,WR,GJ,2025,0.39542
RURAL,Q3,INDIA,WR,GJ,2025,0.34671
RURAL,Q4,INDIA,WR,GJ,2025,0.33077
RURAL,Q5,INDIA,WR,GJ,2025,0.26075
URBAN,Q1,INDIA,WR,GJ,2025,0.11698
URBAN,Q2,INDIA,WR,GJ,2025,0.066
URBAN,Q3,INDIA,WR,GJ,2025,0.02409
URBAN,Q4,INDIA,WR,GJ,2025,0.00635
RURAL,Q1,INDIA,WR,GJ,2026,0.39762
RURAL,Q2,INDIA,WR,GJ,2026,0.36496
RURAL,Q3,INDIA,WR,GJ,2026,0.32036
RURAL,Q4,INDIA,WR,GJ,2026,0.3039
RURAL,Q5,INDIA,WR,GJ,2026,0.24356
URBAN,Q1,INDIA,WR,GJ,2026,0.10531
URBAN,Q2,INDIA,WR,GJ,2026,0.06174
URBAN,Q3,INDIA,WR,GJ,2026,0.02163
URBAN,Q4,INDIA,WR,GJ,2026,0.00492
RURAL,Q1,INDIA,WR,GJ,2027,0.3625
RURAL,Q2,INDIA,WR,GJ,2027,0.33351
RURAL,Q3,INDIA,WR,GJ,2027,0.29373
RURAL,Q4,INDIA,WR,GJ,2027,0.27755
RURAL,Q5,INDIA,WR,GJ,2027,0.22775
URBAN,Q1,INDIA,WR,GJ,2027,0.09496
URBAN,Q2,INDIA,WR,GJ,2027,0.05808
URBAN,Q3,INDIA,WR,GJ,2027,0.01947
URBAN,Q4,INDIA,WR,GJ,2027,0.00364
RURAL,Q1,INDIA,WR,GJ,2028,0.32523
RURAL,Q2,INDIA,WR,GJ,2028,0.301
RURAL,Q3,INDIA,WR,GJ,2028,0.2667
RURAL,Q4,INDIA,WR,GJ,2028,0.25157
RURAL,Q5,INDIA,WR,GJ,2028,0.21311
URBAN,Q1,INDIA,WR,GJ,2028,0.08572
URBAN,Q2,INDIA,WR,GJ,2028,0.0549
URBAN,Q3,INDIA,WR,GJ,2028,0.01756
URBAN,Q4,INDIA,WR,GJ,2028,0.0025
RURAL,Q1,INDIA,WR,GJ,2029,0.28614
RURAL,Q2,INDIA,WR,GJ,2029,0.26771
RURAL,Q3,INDIA,WR,GJ,2029,0.23943
RURAL,Q4,INDIA,WR,GJ,2029,0.22612
RURAL,Q5,INDIA,WR,GJ,2029,0.19959
URBAN,Q1,INDIA,WR,GJ,2029,0.07749
URBAN,Q2,INDIA,WR,GJ,2029,0.05214
URBAN,Q3,INDIA,WR,GJ,2029,0.01586
URBAN,Q4,INDIA,WR,GJ,2029,0.00146
RURAL,Q1,INDIA,WR,GJ,2030,0.2457
RURAL,Q2,INDIA,WR,GJ,2030,0.23392
RURAL,Q3,INDIA,WR,GJ,2030,0.21209
RURAL,Q4,INDIA,WR,GJ,2030,0.20131
RURAL,Q5,INDIA,WR,GJ,2030,0.18714
URBAN,Q1,INDIA,WR,GJ,2030,0.07018
URBAN,Q2,INDIA,WR,GJ,2030,0.04974
URBAN,Q3,INDIA,WR,GJ,2030,0.01435
URBAN,Q4,INDIA,WR,GJ,2030,0.00054
RURAL,Q1,INDIA,WR,GJ,2031,0.20442
RURAL,Q2,INDIA,WR,GJ,2031,0.19994
RURAL,Q3,INDIA,WR,GJ,2031,0.18485
RURAL,Q4,INDIA,WR,GJ,2031,0.17726
