EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,EnergyDemand
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,EVENING,0.235820204
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,NIGHT,0.582181129
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,EARLY,0.184234535
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,MORN,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,MID,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,AFTERNOON,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,EVENING,0.235820204
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SUMMER,ALLDAYS,NIGHT,0.602824235
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EARLY,0.190767163
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SUMMER,ALLDAYS,MORN,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SUMMER,ALLDAYS,MID,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SUMMER,ALLDAYS,AFTERNOON,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SUMMER,ALLDAYS,EVENING,0.244181969
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,MONSOON,ALLDAYS,NIGHT,0.602824235
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,MONSOON,ALLDAYS,EARLY,0.190767163
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,MONSOON,ALLDAYS,MORN,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,MONSOON,ALLDAYS,MID,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,MONSOON,ALLDAYS,AFTERNOON,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,MONSOON,ALLDAYS,EVENING,0.244181969
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,AUTUMN,ALLDAYS,NIGHT,0.602824235
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,AUTUMN,ALLDAYS,EARLY,0.190767163
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,AUTUMN,ALLDAYS,MORN,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,AUTUMN,ALLDAYS,MID,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,AUTUMN,ALLDAYS,AFTERNOON,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,AUTUMN,ALLDAYS,EVENING,0.244181969
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,WINTER,ALLDAYS,NIGHT,0.602824235
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,WINTER,ALLDAYS,EARLY,0.190767163
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,WINTER,ALLDAYS,MORN,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,WINTER,ALLDAYS,MID,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,WINTER,ALLDAYS,AFTERNOON,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,WINTER,ALLDAYS,EVENING,0.244181969
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SPRING,ALLDAYS,NIGHT,0.602824235
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SPRING,ALLDAYS,EARLY,0.190767163
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SPRING,ALLDAYS,MORN,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SPRING,ALLDAYS,MID,0.183136477
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2022,SPRING,ALLDAYS,AFTERNOON,0.183136477
