ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,ER,JH,2038,34974.212037443205
INDIA,ER,JH,2039,34394.80661621047
INDIA,ER,JH,2040,33825.00000000001
INDIA,ER,JH,2041,33264.63316879835
INDIA,ER,OD,2014,39975
INDIA,ER,OD,2015,39975
INDIA,ER,OD,2016,39975
INDIA,ER,OD,2017,39975
INDIA,ER,OD,2018,39975
INDIA,ER,OD,2019,39975
INDIA,ER,OD,2020,39975
INDIA,ER,OD,2021,39975
INDIA,ER,OD,2022,39975
INDIA,ER,OD,2023,39975
INDIA,ER,OD,2024,39975
INDIA,ER,OD,2025,39975
INDIA,ER,OD,2026,39975
INDIA,ER,OD,2027,39975
INDIA,ER,OD,2028,39975
INDIA,ER,OD,2029,39975
INDIA,ER,OD,2030,39975
INDIA,ER,OD,2031,39312.74829039804
INDIA,ER,OD,2032,38661.467871024244
INDIA,ER,OD,2033,38020.97698438742
INDIA,ER,OD,2034,37391.09688410855
INDIA,ER,OD,2035,36771.65178503679
INDIA,ER,OD,2036,36162.468814191794
INDIA,ER,OD,2037,35563.37796251885
INDIA,ER,OD,2038,34974.212037443205
INDIA,ER,OD,2039,34394.80661621047
INDIA,ER,OD,2040,33825.00000000001
INDIA,ER,OD,2041,33264.63316879835
INDIA,ER,SK,2014,39975
INDIA,ER,SK,2015,39975
INDIA,ER,SK,2016,39975
INDIA,ER,SK,2017,39975
INDIA,ER,SK,2018,39975
INDIA,ER,SK,2019,39975
INDIA,ER,SK,2020,39975
INDIA,ER,SK,2021,39975
INDIA,ER,SK,2022,39975
INDIA,ER,SK,2023,39975
INDIA,ER,SK,2024,39975
INDIA,ER,SK,2025,39975
INDIA,ER,SK,2026,39975
INDIA,ER,SK,2027,39975
INDIA,ER,SK,2028,39975
INDIA,ER,SK,2029,39975
INDIA,ER,SK,2030,39975
INDIA,ER,SK,2031,39312.74829039804
INDIA,ER,SK,2032,38661.467871024244
INDIA,ER,SK,2033,38020.97698438742
INDIA,ER,SK,2034,37391.09688410855
INDIA,ER,SK,2035,36771.65178503679
INDIA,ER,SK,2036,36162.468814191794
INDIA,ER,SK,2037,35563.37796251885
INDIA,ER,SK,2038,34974.212037443205
INDIA,ER,SK,2039,34394.80661621047
INDIA,ER,SK,2040,33825.00000000001
INDIA,ER,SK,2041,33264.63316879835
INDIA,ER,WB,2014,39975
INDIA,ER,WB,2015,39975
INDIA,ER,WB,2016,39975
INDIA,ER,WB,2017,39975
INDIA,ER,WB,2018,39975
INDIA,ER,WB,2019,39975
INDIA,ER,WB,2020,39975
INDIA,ER,WB,2021,39975
INDIA,ER,WB,2022,39975
INDIA,ER,WB,2023,39975
INDIA,ER,WB,2024,39975
INDIA,ER,WB,2025,39975
INDIA,ER,WB,2026,39975
INDIA,ER,WB,2027,39975
INDIA,ER,WB,2028,39975
INDIA,ER,WB,2029,39975
INDIA,ER,WB,2030,39975
INDIA,ER,WB,2031,39312.74829039804
INDIA,ER,WB,2032,38661.467871024244
INDIA,ER,WB,2033,38020.97698438742
INDIA,ER,WB,2034,37391.09688410855
INDIA,ER,WB,2035,36771.65178503679
INDIA,ER,WB,2036,36162.468814191794
INDIA,ER,WB,2037,35563.37796251885
INDIA,ER,WB,2038,34974.212037443205
INDIA,ER,WB,2039,34394.80661621047
INDIA,ER,WB,2040,33825.00000000001
INDIA,ER,WB,2041,33264.63316879835
INDIA,NER,AS,2014,39975
INDIA,NER,AS,2015,39975
INDIA,NER,AS,2016,39975
INDIA,NER,AS,2017,39975
