EnergyCarrier,EmissionType,DemandSector,EnergyService,ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Emission
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2030,17935.81569520396
NATGAS,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2031,18863.353273410503
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2021,18675.77869958653
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2022,16719.453321542493
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2023,15506.548569746563
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2024,14263.663574072243
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2025,13271.019021505463
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2026,12212.13354888332
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2027,11259.409222957136
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2028,10603.010676679078
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2029,9728.284893962573
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2030,9031.54921984975
NATGAS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2031,8444.565015512262
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2021,140641.32956885712
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2022,142790.49232535993
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2023,144382.7408243864
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2024,145965.76717281138
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2025,147536.8776827502
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2026,149108.65007024352
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2027,150675.99799273364
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2028,152259.82101348398
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2029,153860.2923079557
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2030,155477.58687441752
BIOMASS,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2031,157111.88154831537
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2021,30917.620546378992
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2022,31389.97118973151
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2023,31739.92004738562
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2024,32087.84117004807
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2025,32433.14255865804
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2026,32778.588586756116
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2027,33123.061382207066
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2028,33471.15426989593
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2029,33822.90529328886
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2030,34178.352896199605
BIOMASS,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2031,34537.53592594362
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2021,27702.22986338888
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2022,28527.489695995326
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2023,29147.636843891105
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2024,29770.64803502989
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2025,30395.33672671639
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2026,31026.607469835453
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2027,31662.401582047398
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2028,32311.224323522383
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2029,32973.34267492729
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2030,33649.02908888664
HSD,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2031,34338.5616001325
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2021,34744.17269841249
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2022,35674.156900284535
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2023,36629.03364587336
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2024,37609.46922056027
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2025,38616.147740189765
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2026,39649.7716453354
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2027,40711.06217343467
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2028,41800.75986780918
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2029,42919.625094062016
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2030,44068.438556475136
HSD,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2031,45248.001880800635
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2021,179525.27407192223
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2022,186429.04725756054
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2023,191608.27377889023
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2024,196789.85228732237
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2025,201961.97210764693
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2026,207163.17770876628
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2027,212374.5930249773
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2028,217663.68203598552
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2029,223030.28519234754
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2030,228474.21534407427
HSD,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2031,233995.25788405488
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2021,15718.42170483246
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2022,15891.676909389274
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2023,16019.497934140967
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2024,16146.188061686777
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2025,16271.544526816155
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2026,16396.58161647354
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2027,16520.900442469127
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2028,16646.16185346039
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2029,16772.37299598993
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2030,16899.541070981762
HSD,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2031,17027.67333377581
