EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,EnergyDemand
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2032,258.0327008
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2033,834.900376
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2033,270.6283523
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2034,842.3640058
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2034,283.83885
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2035,849.8943571
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2035,297.6942072
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2036,857.4920264
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2036,312.2259021
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2037,865.1576153
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2037,327.4669496
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2038,872.8917311
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2038,343.4519762
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2039,880.6949864
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2039,360.2172985
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2040,888.5679993
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2040,377.801006
RES_OTHER,ELECTRICITY,INDIA,NR,HP,RURAL,2041,896.5113933
RES_OTHER,ELECTRICITY,INDIA,NR,HP,URBAN,2041,396.2430476
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2024,876.0520904
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2024,750.6089279
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2025,896.8651856
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2025,784.0229882
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2026,918.1727548
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2026,818.9245069
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2027,939.9865455
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2027,855.3796993
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2028,962.3185845
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2028,893.4577288
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2029,985.1811843
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2029,933.2308375
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2030,1008.58695
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2030,974.7744835
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2031,1032.548785
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2031,1018.167484
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2032,1057.079902
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2032,1063.492164
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2033,1082.193825
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2033,1110.834515
RES_OTHER,ELECTRICITY,INDIA,NR,JK,RURAL,2034,1107.9044
RES_OTHER,ELECTRICITY,INDIA,NR,JK,URBAN,2034,1160.284356
