ServiceTechCategory,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,TechSplitRatio
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2025,CK_INDUCTION,0.013713774
FRIDGE,URBAN,INDIA,SR,AP,2026,FR_DIRECTCOOL,0.754383919
FRIDGE,URBAN,INDIA,SR,AP,2026,FR_FROSTFREE,0.245616081
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2026,CK_LPG,0.960483388
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2026,CK_PNG,0.013520475
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2026,CK_BIOGAS,0.009926344
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2026,CK_INDUCTION,0.016069793
FRIDGE,URBAN,INDIA,SR,AP,2027,FR_DIRECTCOOL,0.739097194
FRIDGE,URBAN,INDIA,SR,AP,2027,FR_FROSTFREE,0.260902806
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2027,CK_LPG,0.953079963
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2027,CK_PNG,0.018316772
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2027,CK_BIOGAS,0.009780536
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2027,CK_INDUCTION,0.018822729
FRIDGE,URBAN,INDIA,SR,AP,2028,FR_DIRECTCOOL,0.72358227
FRIDGE,URBAN,INDIA,SR,AP,2028,FR_FROSTFREE,0.27641773
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2028,CK_LPG,0.943582235
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2028,CK_PNG,0.024778991
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2028,CK_BIOGAS,0.009623071
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2028,CK_INDUCTION,0.022015704
FRIDGE,URBAN,INDIA,SR,AP,2029,FR_DIRECTCOOL,0.708531493
FRIDGE,URBAN,INDIA,SR,AP,2029,FR_FROSTFREE,0.291468507
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2029,CK_LPG,0.931409801
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2029,CK_PNG,0.033448266
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2029,CK_BIOGAS,0.009447568
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2029,CK_INDUCTION,0.025694365
FRIDGE,URBAN,INDIA,SR,AP,2030,FR_DIRECTCOOL,0.696734239
FRIDGE,URBAN,INDIA,SR,AP,2030,FR_FROSTFREE,0.303265761
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2030,CK_LPG,0.915859135
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2030,CK_PNG,0.045004742
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2030,CK_BIOGAS,0.009245301
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2030,CK_INDUCTION,0.029890822
FRIDGE,URBAN,INDIA,SR,AP,2031,FR_DIRECTCOOL,0.68421622
FRIDGE,URBAN,INDIA,SR,AP,2031,FR_FROSTFREE,0.31578378
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2031,CK_LPG,0.896090608
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2031,CK_PNG,0.060284447
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2031,CK_BIOGAS,0.009007088
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2031,CK_INDUCTION,0.034617857
FRIDGE,URBAN,INDIA,SR,AP,2032,FR_DIRECTCOOL,0.671201998
FRIDGE,URBAN,INDIA,SR,AP,2032,FR_FROSTFREE,0.328798002
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2032,CK_LPG,0.889757042
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2032,CK_PNG,0.059983025
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2032,CK_BIOGAS,0.008841069
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2032,CK_INDUCTION,0.041418865
FRIDGE,URBAN,INDIA,SR,AP,2033,FR_DIRECTCOOL,0.657742656
FRIDGE,URBAN,INDIA,SR,AP,2033,FR_FROSTFREE,0.342257344
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2033,CK_LPG,0.883468242
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2033,CK_PNG,0.059683109
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2033,CK_BIOGAS,0.00867811
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2033,CK_INDUCTION,0.048170539
FRIDGE,URBAN,INDIA,SR,AP,2034,FR_DIRECTCOOL,0.643838076
FRIDGE,URBAN,INDIA,SR,AP,2034,FR_FROSTFREE,0.356161924
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2034,CK_LPG,0.87722389
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2034,CK_PNG,0.059384694
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2034,CK_BIOGAS,0.008518154
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2034,CK_INDUCTION,0.054873262
FRIDGE,URBAN,INDIA,SR,AP,2035,FR_DIRECTCOOL,0.629558393
FRIDGE,URBAN,INDIA,SR,AP,2035,FR_FROSTFREE,0.370441607
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2035,CK_LPG,0.871023674
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2035,CK_PNG,0.05908777
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2035,CK_BIOGAS,0.008361147
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2035,CK_INDUCTION,0.061527409
FRIDGE,URBAN,INDIA,SR,AP,2036,FR_DIRECTCOOL,0.614985834
FRIDGE,URBAN,INDIA,SR,AP,2036,FR_FROSTFREE,0.385014166
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2036,CK_LPG,0.864867281
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2036,CK_PNG,0.058792332
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2036,CK_BIOGAS,0.008207034
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2036,CK_INDUCTION,0.068133354
FRIDGE,URBAN,INDIA,SR,AP,2037,FR_DIRECTCOOL,0.600188846
FRIDGE,URBAN,INDIA,SR,AP,2037,FR_FROSTFREE,0.399811154
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2037,CK_LPG,0.858754401
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2037,CK_PNG,0.05849837
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2037,CK_BIOGAS,0.008055762
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2037,CK_INDUCTION,0.074691468
FRIDGE,URBAN,INDIA,SR,AP,2038,FR_DIRECTCOOL,0.571956056
FRIDGE,URBAN,INDIA,SR,AP,2038,FR_FROSTFREE,0.428043944
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2038,CK_LPG,0.852684727
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2038,CK_PNG,0.058205878
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2038,CK_BIOGAS,0.007907277
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2038,CK_INDUCTION,0.081202118
FRIDGE,URBAN,INDIA,SR,AP,2039,FR_DIRECTCOOL,0.547647708
FRIDGE,URBAN,INDIA,SR,AP,2039,FR_FROSTFREE,0.452352292
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2039,CK_LPG,0.846657953
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2039,CK_PNG,0.057914849
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2039,CK_BIOGAS,0.00776153
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2039,CK_INDUCTION,0.087665668
FRIDGE,URBAN,INDIA,SR,AP,2040,FR_DIRECTCOOL,0.523399439
FRIDGE,URBAN,INDIA,SR,AP,2040,FR_FROSTFREE,0.476600561
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2040,CK_LPG,0.840673777
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2040,CK_PNG,0.057625274
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2040,CK_BIOGAS,0.007618469
COOKSTOVE_MOD,URBAN,INDIA,SR,AP,2040,CK_INDUCTION,0.094082479
FRIDGE,URBAN,INDIA,SR,AP,2041,FR_DIRECTCOOL,0.499702256
FRIDGE,URBAN,INDIA,SR,AP,2041,FR_FROSTFREE,0.500297744
