EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,FixedTaxOHDEC
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,0.105202406
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,0.105202406
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,0.105202406
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,0.105202406
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,0.105202406
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,SR,0.105202406
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,0.071004708
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,0.071004708
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,0.071004708
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,0.071004708
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,0.071004708
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,0.071004708
