EnergyConvTech,Year,ModelGeography,SubGeography1,MinCapacity
EG_OCGT,2021,INDIA,ER,0.0
EG_OCGT,2021,INDIA,NER,0.0
EG_OCGT,2021,INDIA,NR,0.0
EG_OCGT,2021,INDIA,SR,0.0
EG_OCGT,2021,INDIA,WR,0.0
EG_OCGT,2022,INDIA,ER,0.0
EG_OCGT,2022,INDIA,NER,0.0
EG_OCGT,2022,INDIA,NR,0.0
EG_OCGT,2022,INDIA,SR,0.0
EG_OCGT,2022,INDIA,WR,0.0
EG_OCGT,2023,INDIA,ER,0.0
EG_OCGT,2023,INDIA,NER,0.0
EG_OCGT,2023,INDIA,NR,0.0
EG_OCGT,2023,INDIA,SR,0.0
EG_OCGT,2023,INDIA,WR,0.0
EG_OCGT,2024,INDIA,ER,0.0
EG_OCGT,2024,INDIA,NER,0.0
EG_OCGT,2024,INDIA,NR,0.0
EG_OCGT,2024,INDIA,SR,0.0
EG_OCGT,2024,INDIA,WR,0.0
EG_OCGT,2025,INDIA,ER,0.0
EG_OCGT,2025,INDIA,NER,0.0
EG_OCGT,2025,INDIA,NR,0.0
EG_OCGT,2025,INDIA,SR,0.0
EG_OCGT,2025,INDIA,WR,0.0
EG_OCGT,2026,INDIA,ER,0.0
EG_OCGT,2026,INDIA,NER,0.0
EG_OCGT,2026,INDIA,NR,0.0
EG_OCGT,2026,INDIA,SR,0.0
EG_OCGT,2026,INDIA,WR,0.0
EG_OCGT,2027,INDIA,ER,0.0
EG_OCGT,2027,INDIA,NER,0.0
EG_OCGT,2027,INDIA,NR,0.0
EG_OCGT,2027,INDIA,SR,0.0
EG_OCGT,2027,INDIA,WR,0.0
EG_OCGT,2028,INDIA,ER,0.0
EG_OCGT,2028,INDIA,NER,0.0
EG_OCGT,2028,INDIA,NR,0.0
EG_OCGT,2028,INDIA,SR,0.0
EG_OCGT,2028,INDIA,WR,0.0
EG_OCGT,2029,INDIA,ER,0.0
EG_OCGT,2029,INDIA,NER,0.0
EG_OCGT,2029,INDIA,NR,0.0
EG_OCGT,2029,INDIA,SR,0.0
EG_OCGT,2029,INDIA,WR,0.0
EG_OCGT,2030,INDIA,ER,0.0
EG_OCGT,2030,INDIA,NER,0.0
EG_OCGT,2030,INDIA,NR,0.0
EG_OCGT,2030,INDIA,SR,0.0
EG_OCGT,2030,INDIA,WR,0.0
EG_OCGT,2031,INDIA,ER,0.0
EG_OCGT,2031,INDIA,NER,0.0
EG_OCGT,2031,INDIA,NR,0.0
EG_OCGT,2031,INDIA,SR,0.0
EG_OCGT,2031,INDIA,WR,0.0
EG_SOLARPV,2021,INDIA,ER,0.05743
EG_SOLARPV,2021,INDIA,NER,0.00297
EG_SOLARPV,2021,INDIA,NR,1.13931
EG_SOLARPV,2021,INDIA,SR,1.3733799999999998
EG_SOLARPV,2021,INDIA,WR,1.8657700000000002
EG_SOLARPV,2022,INDIA,ER,0.04414
