ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration,
RURAL,Q5,INDIA,NR,JK,2027,0.382817583,
URBAN,Q1,INDIA,NER,AS,2027,0.925306098,
URBAN,Q1,INDIA,NR,JK,2027,0.534430319,
URBAN,Q2,INDIA,NER,AS,2027,0.926182115,
URBAN,Q2,INDIA,NR,JK,2027,0.449124357,
URBAN,Q3,INDIA,NER,AS,2027,0.913892559,
URBAN,Q3,INDIA,NR,JK,2027,0.370485774,
URBAN,Q4,INDIA,NER,AS,2027,0.880676778,
URBAN,Q4,INDIA,NR,JK,2027,0.266665287,
URBAN,Q5,INDIA,NER,AS,2027,0.75021094,
URBAN,Q5,INDIA,NR,JK,2027,0.120982401,
RURAL,Q1,INDIA,NER,AS,2028,0.853063511,
RURAL,Q1,INDIA,NR,JK,2028,0.564198811,
RURAL,Q2,INDIA,NER,AS,2028,0.88334383,
RURAL,Q2,INDIA,NR,JK,2028,0.568885317,
RURAL,Q3,INDIA,NER,AS,2028,0.8987958,
RURAL,Q3,INDIA,NR,JK,2028,0.554491292,
RURAL,Q4,INDIA,NER,AS,2028,0.912008525,
RURAL,Q4,INDIA,NR,JK,2028,0.524736709,
RURAL,Q5,INDIA,NER,AS,2028,0.924256999,
RURAL,Q5,INDIA,NR,JK,2028,0.369455174,
URBAN,Q1,INDIA,NER,AS,2028,0.92686203,
URBAN,Q1,INDIA,NR,JK,2028,0.526652898,
URBAN,Q2,INDIA,NER,AS,2028,0.924323419,
URBAN,Q2,INDIA,NR,JK,2028,0.438436092,
URBAN,Q3,INDIA,NER,AS,2028,0.909495161,
URBAN,Q3,INDIA,NR,JK,2028,0.359139533,
URBAN,Q4,INDIA,NER,AS,2028,0.872337342,
URBAN,Q4,INDIA,NR,JK,2028,0.255575804,
URBAN,Q5,INDIA,NER,AS,2028,0.732342606,
URBAN,Q5,INDIA,NR,JK,2028,0.11283787,
RURAL,Q1,INDIA,NER,AS,2029,0.861754164,
RURAL,Q1,INDIA,NR,JK,2029,0.566674576,
RURAL,Q2,INDIA,NER,AS,2029,0.889707321,
RURAL,Q2,INDIA,NR,JK,2029,0.566951899,
RURAL,Q3,INDIA,NER,AS,2029,0.903695488,
RURAL,Q3,INDIA,NR,JK,2029,0.549972532,
RURAL,Q4,INDIA,NER,AS,2029,0.915298524,
RURAL,Q4,INDIA,NR,JK,2029,0.51765069,
RURAL,Q5,INDIA,NER,AS,2029,0.924169423,
RURAL,Q5,INDIA,NR,JK,2029,0.356086775,
URBAN,Q1,INDIA,NER,AS,2029,0.927930315,
URBAN,Q1,INDIA,NR,JK,2029,0.518487377,
URBAN,Q2,INDIA,NER,AS,2029,0.921924416,
URBAN,Q2,INDIA,NR,JK,2029,0.427603284,
URBAN,Q3,INDIA,NER,AS,2029,0.904468459,
URBAN,Q3,INDIA,NR,JK,2029,0.347846825,
URBAN,Q4,INDIA,NER,AS,2029,0.863218351,
URBAN,Q4,INDIA,NR,JK,2029,0.24475841,
URBAN,Q5,INDIA,NER,AS,2029,0.713615222,
URBAN,Q5,INDIA,NR,JK,2029,0.105179483,
RURAL,Q1,INDIA,NER,AS,2030,0.869808485,
RURAL,Q1,INDIA,NR,JK,2030,0.568636927,
RURAL,Q2,INDIA,NER,AS,2030,0.895489344,
RURAL,Q2,INDIA,NR,JK,2030,0.564484673,
RURAL,Q3,INDIA,NER,AS,2030,0.908046567,
RURAL,Q3,INDIA,NR,JK,2030,0.544959128,
RURAL,Q4,INDIA,NER,AS,2030,0.918066937,
RURAL,Q4,INDIA,NR,JK,2030,0.510157982,
RURAL,Q5,INDIA,NER,AS,2030,0.923557378,
RURAL,Q5,INDIA,NR,JK,2030,0.342759905,
URBAN,Q1,INDIA,NER,AS,2030,0.928512089,
URBAN,Q1,INDIA,NR,JK,2030,0.509958783,
URBAN,Q2,INDIA,NER,AS,2030,0.918970873,
URBAN,Q2,INDIA,NR,JK,2030,0.416655993,
URBAN,Q3,INDIA,NER,AS,2030,0.898790382,
URBAN,Q3,INDIA,NR,JK,2030,0.336632463,
URBAN,Q4,INDIA,NER,AS,2030,0.853297441,
URBAN,Q4,INDIA,NR,JK,2030,0.234225991,
URBAN,Q5,INDIA,NER,AS,2030,0.694071329,
URBAN,Q5,INDIA,NR,JK,2030,0.09798829,
RURAL,Q1,INDIA,NER,AS,2031,0.877243132,
RURAL,Q1,INDIA,NR,JK,2031,0.570081405,
RURAL,Q2,INDIA,NER,AS,2031,0.90070564,
RURAL,Q2,INDIA,NR,JK,2031,0.561491914,
RURAL,Q3,INDIA,NER,AS,2031,0.911861825,
RURAL,Q3,INDIA,NR,JK,2031,0.539467327,
RURAL,Q4,INDIA,NER,AS,2031,0.920321485,
RURAL,Q4,INDIA,NR,JK,2031,0.502282595,
RURAL,Q5,INDIA,NER,AS,2031,0.922414259,
RURAL,Q5,INDIA,NR,JK,2031,0.329519332,
URBAN,Q1,INDIA,NER,AS,2031,0.928606304,
URBAN,Q1,INDIA,NR,JK,2031,0.501093048,
URBAN,Q2,INDIA,NER,AS,2031,0.915446623,
URBAN,Q2,INDIA,NR,JK,2031,0.405623752,
URBAN,Q3,INDIA,NER,AS,2031,0.892437939,
URBAN,Q3,INDIA,NR,JK,2031,0.325519751,
URBAN,Q4,INDIA,NER,AS,2031,0.842554376,
URBAN,Q4,INDIA,NR,JK,2031,0.22398918,
URBAN,Q5,INDIA,NER,AS,2031,0.673763717,
URBAN,Q5,INDIA,NR,JK,2031,0.091244499,
RURAL,Q1,INDIA,NER,NE,2021,0.388307075,
RURAL,Q1,INDIA,NR,HP,2021,0.520868209,
RURAL,Q2,INDIA,NER,NE,2021,0.472263879,
RURAL,Q2,INDIA,NR,HP,2021,0.596956375,
RURAL,Q3,INDIA,NER,NE,2021,0.52881938,
RURAL,Q3,INDIA,NR,HP,2021,0.655517401,
RURAL,Q4,INDIA,NER,NE,2021,0.594337604,
RURAL,Q4,INDIA,NR,HP,2021,0.701571353,
RURAL,Q5,INDIA,NER,NE,2021,0.70649844,
RURAL,Q5,INDIA,NR,HP,2021,0.740611641,
URBAN,Q1,INDIA,NER,NE,2021,0.663169663,
URBAN,Q1,INDIA,NR,HP,2021,0.735131545,
URBAN,Q2,INDIA,NER,NE,2021,0.746578989,
URBAN,Q2,INDIA,NR,HP,2021,0.745367462,
URBAN,Q3,INDIA,NER,NE,2021,0.798206335,
URBAN,Q3,INDIA,NR,HP,2021,0.710273075,
URBAN,Q4,INDIA,NER,NE,2021,0.831453447,
URBAN,Q4,INDIA,NR,HP,2021,0.651429246,
URBAN,Q5,INDIA,NER,NE,2021,0.853906509,
URBAN,Q5,INDIA,NR,HP,2021,0.390422742,
RURAL,Q1,INDIA,NER,NE,2022,0.404290426,
RURAL,Q1,INDIA,NR,HP,2022,0.538904626,
RURAL,Q2,INDIA,NER,NE,2022,0.488739031,
RURAL,Q2,INDIA,NR,HP,2022,0.612209704,
RURAL,Q3,INDIA,NER,NE,2022,0.545087064,
RURAL,Q3,INDIA,NR,HP,2022,0.668394884,
RURAL,Q4,INDIA,NER,NE,2022,0.609754624,
RURAL,Q4,INDIA,NR,HP,2022,0.71036223,
RURAL,Q5,INDIA,NER,NE,2022,0.718758434,
RURAL,Q5,INDIA,NR,HP,2022,0.739751913,
URBAN,Q1,INDIA,NER,NE,2022,0.677075016,
URBAN,Q1,INDIA,NR,HP,2022,0.740319365,
URBAN,Q2,INDIA,NER,NE,2022,0.757328018,
URBAN,Q2,INDIA,NR,HP,2022,0.739367955,
URBAN,Q3,INDIA,NER,NE,2022,0.805980825,
URBAN,Q3,INDIA,NR,HP,2022,0.69718477,
URBAN,Q4,INDIA,NER,NE,2022,0.836342688,
URBAN,Q4,INDIA,NR,HP,2022,0.630007194,
URBAN,Q5,INDIA,NER,NE,2022,0.854170197,
URBAN,Q5,INDIA,NR,HP,2022,0.351844072,
RURAL,Q1,INDIA,NER,NE,2023,0.416331464,
RURAL,Q1,INDIA,NR,HP,2023,0.551859563,
RURAL,Q2,INDIA,NER,NE,2023,0.501018061,
RURAL,Q2,INDIA,NR,HP,2023,0.622963103,
RURAL,Q3,INDIA,NER,NE,2023,0.55712177,
RURAL,Q3,INDIA,NR,HP,2023,0.677231959,
RURAL,Q4,INDIA,NER,NE,2023,0.621056574,
RURAL,Q4,INDIA,NR,HP,2023,0.716121358,
RURAL,Q5,INDIA,NER,NE,2023,0.727574176,
RURAL,Q5,INDIA,NR,HP,2023,0.738537438,
URBAN,Q1,INDIA,NER,NE,2023,0.687168297,
URBAN,Q1,INDIA,NR,HP,2023,0.743602142,
URBAN,Q2,INDIA,NER,NE,2023,0.764996101,
URBAN,Q2,INDIA,NR,HP,2023,0.733995485,
URBAN,Q3,INDIA,NER,NE,2023,0.811407805,
URBAN,Q3,INDIA,NR,HP,2023,0.686571856,
URBAN,Q4,INDIA,NER,NE,2023,0.839608539,
URBAN,Q4,INDIA,NR,HP,2023,0.613258664,
URBAN,Q5,INDIA,NER,NE,2023,0.853963607,
URBAN,Q5,INDIA,NR,HP,2023,0.324372247,
RURAL,Q1,INDIA,NER,NE,2024,0.428370563,
RURAL,Q1,INDIA,NR,HP,2024,0.564353991,
RURAL,Q2,INDIA,NER,NE,2024,0.51318274,
RURAL,Q2,INDIA,NR,HP,2024,0.633170758,
RURAL,Q3,INDIA,NER,NE,2024,0.568968795,
RURAL,Q3,INDIA,NR,HP,2024,0.685411018,
RURAL,Q4,INDIA,NER,NE,2024,0.632095768,
RURAL,Q4,INDIA,NR,HP,2024,0.721212509,
RURAL,Q5,INDIA,NER,NE,2024,0.736041652,
RURAL,Q5,INDIA,NR,HP,2024,0.736861455,
URBAN,Q1,INDIA,NER,NE,2024,0.696943618,
URBAN,Q1,INDIA,NR,HP,2024,0.746403957,
URBAN,Q2,INDIA,NER,NE,2024,0.772309781,
URBAN,Q2,INDIA,NR,HP,2024,0.727916933,
URBAN,Q3,INDIA,NER,NE,2024,0.816480199,
URBAN,Q3,INDIA,NR,HP,2024,0.675330761,
URBAN,Q4,INDIA,NER,NE,2024,0.842527963,
URBAN,Q4,INDIA,NR,HP,2024,0.596031857,
URBAN,Q5,INDIA,NER,NE,2024,0.853414575,
URBAN,Q5,INDIA,NR,HP,2024,0.298380186,
RURAL,Q1,INDIA,NER,NE,2025,0.440376619,
RURAL,Q1,INDIA,NR,HP,2025,0.57635815,
RURAL,Q2,INDIA,NER,NE,2025,0.525203084,
RURAL,Q2,INDIA,NR,HP,2025,0.642820315,
RURAL,Q3,INDIA,NER,NE,2025,0.580601193,
RURAL,Q3,INDIA,NR,HP,2025,0.692933615,
RURAL,Q4,INDIA,NER,NE,2025,0.642850795,
RURAL,Q4,INDIA,NR,HP,2025,0.72565051,
RURAL,Q5,INDIA,NER,NE,2025,0.744151768,
RURAL,Q5,INDIA,NR,HP,2025,0.734752733,
URBAN,Q1,INDIA,NER,NE,2025,0.706386813,
URBAN,Q1,INDIA,NR,HP,2025,0.748740665,
URBAN,Q2,INDIA,NER,NE,2025,0.779264248,
URBAN,Q2,INDIA,NR,HP,2025,0.721191046,
URBAN,Q3,INDIA,NER,NE,2025,0.821198309,
URBAN,Q3,INDIA,NR,HP,2025,0.663548608,
URBAN,Q4,INDIA,NER,NE,2025,0.845104038,
URBAN,Q4,INDIA,NR,HP,2025,0.578465298,
URBAN,Q5,INDIA,NER,NE,2025,0.852528902,
URBAN,Q5,INDIA,NR,HP,2025,0.273992214,
RURAL,Q1,INDIA,NER,NE,2026,0.452427745,
RURAL,Q1,INDIA,NR,HP,2026,0.587959776,
RURAL,Q2,INDIA,NER,NE,2026,0.537158026,
RURAL,Q2,INDIA,NR,HP,2026,0.651992436,
RURAL,Q3,INDIA,NER,NE,2026,0.592097052,
RURAL,Q3,INDIA,NR,HP,2026,0.699871983,
RURAL,Q4,INDIA,NER,NE,2026,0.653396802,
RURAL,Q4,INDIA,NR,HP,2026,0.729489539,
RURAL,Q5,INDIA,NER,NE,2026,0.751966949,
RURAL,Q5,INDIA,NR,HP,2026,0.732215378,
URBAN,Q1,INDIA,NER,NE,2026,0.71556781,
URBAN,Q1,INDIA,NR,HP,2026,0.750647502,
URBAN,Q2,INDIA,NER,NE,2026,0.785915429,
URBAN,Q2,INDIA,NR,HP,2026,0.713805278,
URBAN,Q3,INDIA,NER,NE,2026,0.825602467,
URBAN,Q3,INDIA,NR,HP,2026,0.651192084,
URBAN,Q4,INDIA,NER,NE,2026,0.847360223,
URBAN,Q4,INDIA,NR,HP,2026,0.56051948,
URBAN,Q5,INDIA,NER,NE,2026,0.851301275,
URBAN,Q5,INDIA,NR,HP,2026,0.251065896,
RURAL,Q1,INDIA,NER,NE,2027,0.464474845,
RURAL,Q1,INDIA,NR,HP,2027,0.599111221,
RURAL,Q2,INDIA,NER,NE,2027,0.548999094,
RURAL,Q2,INDIA,NR,HP,2027,0.660657992,
RURAL,Q3,INDIA,NER,NE,2027,0.60341108,
RURAL,Q3,INDIA,NR,HP,2027,0.706211949,
RURAL,Q4,INDIA,NER,NE,2027,0.663694654,
RURAL,Q4,INDIA,NR,HP,2027,0.732731531,
RURAL,Q5,INDIA,NER,NE,2027,0.759462732,
RURAL,Q5,INDIA,NR,HP,2027,0.729275547,
URBAN,Q1,INDIA,NER,NE,2027,0.724455837,
URBAN,Q1,INDIA,NR,HP,2027,0.752131265,
URBAN,Q2,INDIA,NER,NE,2027,0.792244386,
URBAN,Q2,INDIA,NR,HP,2027,0.705820869,
URBAN,Q3,INDIA,NER,NE,2027,0.829681491,
URBAN,Q3,INDIA,NR,HP,2027,0.638358707,
URBAN,Q4,INDIA,NER,NE,2027,0.849290973,
URBAN,Q4,INDIA,NR,HP,2027,0.542348153,
URBAN,Q5,INDIA,NER,NE,2027,0.849734038,
URBAN,Q5,INDIA,NR,HP,2027,0.229699886,
RURAL,Q1,INDIA,NER,NE,2028,0.476651754,
RURAL,Q1,INDIA,NR,HP,2028,0.60994956,
RURAL,Q2,INDIA,NER,NE,2028,0.560856846,
RURAL,Q2,INDIA,NR,HP,2028,0.668929614,
RURAL,Q3,INDIA,NER,NE,2028,0.614668485,
RURAL,Q3,INDIA,NR,HP,2028,0.712040372,
RURAL,Q4,INDIA,NER,NE,2028,0.673859665,
RURAL,Q4,INDIA,NR,HP,2028,0.735426688,
RURAL,Q5,INDIA,NER,NE,2028,0.766725511,
RURAL,Q5,INDIA,NR,HP,2028,0.725904933,
URBAN,Q1,INDIA,NER,NE,2028,0.733152604,
URBAN,Q1,INDIA,NR,HP,2028,0.753218949,
URBAN,Q2,INDIA,NER,NE,2028,0.798325095,
URBAN,Q2,INDIA,NR,HP,2028,0.697158619,
URBAN,Q3,INDIA,NER,NE,2028,0.833482549,
URBAN,Q3,INDIA,NR,HP,2028,0.624925697,
URBAN,Q4,INDIA,NER,NE,2028,0.8509162,
URBAN,Q4,INDIA,NR,HP,2028,0.523796507,
URBAN,Q5,INDIA,NER,NE,2028,0.847801581,
URBAN,Q5,INDIA,NR,HP,2028,0.209627492,
RURAL,Q1,INDIA,NER,NE,2029,0.488942665,
RURAL,Q1,INDIA,NR,HP,2029,0.620455448,
RURAL,Q2,INDIA,NER,NE,2029,0.572713186,
RURAL,Q2,INDIA,NR,HP,2029,0.676795267,
RURAL,Q3,INDIA,NER,NE,2029,0.625851388,
RURAL,Q3,INDIA,NR,HP,2029,0.717348649,
RURAL,Q4,INDIA,NER,NE,2029,0.683875655,
RURAL,Q4,INDIA,NR,HP,2029,0.737570776,
RURAL,Q5,INDIA,NER,NE,2029,0.773743523,
RURAL,Q5,INDIA,NR,HP,2029,0.722106991,
URBAN,Q1,INDIA,NER,NE,2029,0.741645044,
URBAN,Q1,INDIA,NR,HP,2029,0.753909517,
URBAN,Q2,INDIA,NER,NE,2029,0.804147655,
URBAN,Q2,INDIA,NR,HP,2029,0.687835735,
URBAN,Q3,INDIA,NER,NE,2029,0.836996391,
URBAN,Q3,INDIA,NR,HP,2029,0.610934126,
URBAN,Q4,INDIA,NER,NE,2029,0.852225684,
URBAN,Q4,INDIA,NR,HP,2029,0.504947287,
URBAN,Q5,INDIA,NER,NE,2029,0.845491005,
URBAN,Q5,INDIA,NR,HP,2029,0.190867596,
RURAL,Q1,INDIA,NER,NE,2030,0.501330682,
RURAL,Q1,INDIA,NR,HP,2030,0.630610536,
RURAL,Q2,INDIA,NER,NE,2030,0.584549447,
RURAL,Q2,INDIA,NR,HP,2030,0.68424379,
RURAL,Q3,INDIA,NER,NE,2030,0.636941677,
RURAL,Q3,INDIA,NR,HP,2030,0.722129022,
RURAL,Q4,INDIA,NER,NE,2030,0.693726496,
RURAL,Q4,INDIA,NR,HP,2030,0.73916024,
RURAL,Q5,INDIA,NER,NE,2030,0.780505144,
RURAL,Q5,INDIA,NR,HP,2030,0.717885805,
URBAN,Q1,INDIA,NER,NE,2030,0.749920289,
URBAN,Q1,INDIA,NR,HP,2030,0.754202238,
URBAN,Q2,INDIA,NER,NE,2030,0.809702233,
URBAN,Q2,INDIA,NR,HP,2030,0.677871919,
URBAN,Q3,INDIA,NER,NE,2030,0.840213605,
URBAN,Q3,INDIA,NR,HP,2030,0.596428206,
URBAN,Q4,INDIA,NER,NE,2030,0.853208859,
URBAN,Q4,INDIA,NR,HP,2030,0.485884397,
URBAN,Q5,INDIA,NER,NE,2030,0.842789089,
URBAN,Q5,INDIA,NR,HP,2030,0.173417861,
RURAL,Q1,INDIA,NER,NE,2031,0.51379787,
RURAL,Q1,INDIA,NR,HP,2031,0.640397492,
RURAL,Q2,INDIA,NER,NE,2031,0.596346479,
RURAL,Q2,INDIA,NR,HP,2031,0.691264876,
RURAL,Q3,INDIA,NER,NE,2031,0.647921087,
RURAL,Q3,INDIA,NR,HP,2031,0.726374546,
RURAL,Q4,INDIA,NER,NE,2031,0.703396172,
RURAL,Q4,INDIA,NR,HP,2031,0.740192201,
RURAL,Q5,INDIA,NER,NE,2031,0.786998884,
RURAL,Q5,INDIA,NR,HP,2031,0.713246123,
URBAN,Q1,INDIA,NER,NE,2031,0.757965699,
URBAN,Q1,INDIA,NR,HP,2031,0.754096686,
URBAN,Q2,INDIA,NER,NE,2031,0.814979055,
URBAN,Q2,INDIA,NR,HP,2031,0.66728944,
URBAN,Q3,INDIA,NER,NE,2031,0.843124594,
URBAN,Q3,INDIA,NR,HP,2031,0.581455049,
URBAN,Q4,INDIA,NER,NE,2031,0.853854792,
URBAN,Q4,INDIA,NR,HP,2031,0.466691874,
URBAN,Q5,INDIA,NER,NE,2031,0.839682331,
URBAN,Q5,INDIA,NR,HP,2031,0.157257869,
RURAL,Q1,INDIA,ER,JH,2021,0.604984971,
RURAL,Q1,INDIA,NR,PB,2021,0.694572614,
RURAL,Q2,INDIA,ER,JH,2021,0.66627351,
RURAL,Q2,INDIA,NR,PB,2021,0.608386257,
RURAL,Q3,INDIA,ER,JH,2021,0.70910096,
RURAL,Q3,INDIA,NR,PB,2021,0.547182028,
RURAL,Q4,INDIA,ER,JH,2021,0.747671645,
RURAL,Q4,INDIA,NR,PB,2021,0.448619815,
RURAL,Q5,INDIA,ER,JH,2021,0.803899938,
RURAL,Q5,INDIA,NR,PB,2021,0.272999944,
URBAN,Q1,INDIA,ER,JH,2021,0.801561013,
URBAN,Q1,INDIA,NR,PB,2021,0.494809846,
URBAN,Q2,INDIA,ER,JH,2021,0.820514033,
URBAN,Q2,INDIA,NR,PB,2021,0.377241312,
URBAN,Q3,INDIA,ER,JH,2021,0.800291486,
URBAN,Q3,INDIA,NR,PB,2021,0.292682659,
URBAN,Q4,INDIA,ER,JH,2021,0.748218152,
URBAN,Q4,INDIA,NR,PB,2021,0.228192444,
URBAN,Q5,INDIA,ER,JH,2021,0.582245656,
URBAN,Q5,INDIA,NR,PB,2021,0.103018732,
RURAL,Q1,INDIA,ER,JH,2022,0.621640671,
RURAL,Q1,INDIA,NR,PB,2022,0.670434568,
RURAL,Q2,INDIA,ER,JH,2022,0.680858885,
