Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2025,URBAN,INDIA,NR,RJ,22116000,5377002
2036,RURAL,INDIA,WR,CG,23388000,5524715
2026,URBAN,INDIA,NR,RJ,22468000,5523421
2037,RURAL,INDIA,WR,CG,23467000,5569442
2027,URBAN,INDIA,NR,RJ,22796000,5666468
2038,RURAL,INDIA,WR,CG,23551728,5615832
2028,URBAN,INDIA,NR,RJ,23109000,5808247
2039,RURAL,INDIA,WR,CG,23636761,5662609
2029,URBAN,INDIA,NR,RJ,23424000,5952988
2040,RURAL,INDIA,WR,CG,23722101,5709776
2030,URBAN,INDIA,NR,RJ,23740000,6100491
2041,RURAL,INDIA,WR,CG,23807749,5757335
2031,URBAN,INDIA,NR,RJ,24059000,6251320
2032,URBAN,INDIA,NR,RJ,24373000,6403438
2033,URBAN,INDIA,NR,RJ,24685000,6557638
2021,RURAL,INDIA,NR,DL,143000,36231
2034,URBAN,INDIA,NR,RJ,24999000,6715015
2022,RURAL,INDIA,NR,DL,121000,31501
2035,URBAN,INDIA,NR,RJ,25315000,6875628
2023,RURAL,INDIA,NR,DL,101000,27018
2036,URBAN,INDIA,NR,RJ,25633000,7039535
2024,RURAL,INDIA,NR,DL,82000,22539
2037,URBAN,INDIA,NR,RJ,25950000,7205962
2025,RURAL,INDIA,NR,DL,65000,18358
2038,URBAN,INDIA,NR,RJ,26279313,7378680
2026,RURAL,INDIA,NR,DL,51000,14801
2039,URBAN,INDIA,NR,RJ,26612804,7555538
2027,RURAL,INDIA,NR,DL,37000,11033
2040,URBAN,INDIA,NR,RJ,26950527,7736635
2028,RURAL,INDIA,NR,DL,25000,7660
2041,URBAN,INDIA,NR,RJ,27292536,7922073
2029,RURAL,INDIA,NR,DL,16000,5038
2030,RURAL,INDIA,NR,DL,8000,2588
2031,RURAL,INDIA,NR,DL,4000,1330
2032,RURAL,INDIA,NR,DL,0,0
2033,RURAL,INDIA,NR,DL,0,0
2034,RURAL,INDIA,NR,DL,1000,361
2035,RURAL,INDIA,NR,DL,0,0
2036,RURAL,INDIA,NR,DL,0,0
2037,RURAL,INDIA,NR,DL,0,0
2038,RURAL,INDIA,NR,DL,0,0
2039,RURAL,INDIA,NR,DL,0,0
2040,RURAL,INDIA,NR,DL,0,0
2041,RURAL,INDIA,NR,DL,0,0
2021,RURAL,INDIA,WR,GA,417000,102448
2022,RURAL,INDIA,WR,GA,402000,99194
2023,RURAL,INDIA,WR,GA,387000,95910
2024,RURAL,INDIA,WR,GA,372000,92595
2025,RURAL,INDIA,WR,GA,358000,89499
2026,RURAL,INDIA,WR,GA,343000,86124
2027,RURAL,INDIA,WR,GA,329000,82969
2021,URBAN,INDIA,ER,BR,14787000,3402330
2028,RURAL,INDIA,WR,GA,314000,79532
2022,URBAN,INDIA,ER,BR,15105000,3517183
2029,RURAL,INDIA,WR,GA,299000,76063
2023,URBAN,INDIA,ER,BR,15430000,3635952
2030,RURAL,INDIA,WR,GA,285000,72818
2024,URBAN,INDIA,ER,BR,15756000,3757302
2031,RURAL,INDIA,WR,GA,271000,69543
2025,URBAN,INDIA,ER,BR,16084000,3881523
2032,RURAL,INDIA,WR,GA,256000,65981
2026,URBAN,INDIA,ER,BR,16415000,4008916
2033,RURAL,INDIA,WR,GA,242000,62645
2027,URBAN,INDIA,ER,BR,16743000,4138064
2034,RURAL,INDIA,WR,GA,228000,59278
2028,URBAN,INDIA,ER,BR,17069000,4269234
2035,RURAL,INDIA,WR,GA,214000,55881
2029,URBAN,INDIA,ER,BR,17397000,4403461
2036,RURAL,INDIA,WR,GA,201000,52716
2030,URBAN,INDIA,ER,BR,17727000,4540807
2037,RURAL,INDIA,WR,GA,188000,49522
2031,URBAN,INDIA,ER,BR,18060000,4681591
2038,RURAL,INDIA,WR,GA,176885,46797
2032,URBAN,INDIA,ER,BR,18376000,4820639
2039,RURAL,INDIA,WR,GA,166426,44222
2033,URBAN,INDIA,ER,BR,18682000,4959695
2040,RURAL,INDIA,WR,GA,156586,41789
2034,URBAN,INDIA,ER,BR,18989000,5101661
2041,RURAL,INDIA,WR,GA,147328,39490
2035,URBAN,INDIA,ER,BR,19299000,5247136
2036,URBAN,INDIA,ER,BR,19611000,5395916
2037,URBAN,INDIA,ER,BR,19923000,5547510
2021,RURAL,INDIA,WR,GJ,36643000,7770730
2038,URBAN,INDIA,ER,BR,20251673,5706663
2022,RURAL,INDIA,WR,GJ,36761000,7866825
2039,URBAN,INDIA,ER,BR,20585768,5870381
2023,RURAL,INDIA,WR,GJ,36858000,7959492
2040,URBAN,INDIA,ER,BR,20925375,6038797
2024,RURAL,INDIA,WR,GJ,36949000,8051886
2041,URBAN,INDIA,ER,BR,21270584,6212044
2025,RURAL,INDIA,WR,GJ,37030000,8143105
2021,URBAN,INDIA,NER,AS,5326000,1419561
2026,RURAL,INDIA,WR,GJ,37107000,8234430
2022,URBAN,INDIA,NER,AS,5423000,1445415
2027,RURAL,INDIA,WR,GJ,37154000,8320026
2023,URBAN,INDIA,NER,AS,5517000,1470469
2028,RURAL,INDIA,WR,GJ,37177000,8401074
2024,URBAN,INDIA,NER,AS,5613000,1496057
2029,RURAL,INDIA,WR,GJ,37192000,8481084
2025,URBAN,INDIA,NER,AS,5710000,1521911
2030,RURAL,INDIA,WR,GJ,37203000,8560935
2026,URBAN,INDIA,NER,AS,5807000,1547764
2031,RURAL,INDIA,WR,GJ,37205000,8639446
2027,URBAN,INDIA,NER,AS,5902000,1573085
2032,RURAL,INDIA,WR,GJ,37182000,8712820
2028,URBAN,INDIA,NER,AS,5994000,1597606
2033,RURAL,INDIA,WR,GJ,37137000,8781611
2029,URBAN,INDIA,NER,AS,6088000,1622661
2034,RURAL,INDIA,WR,GJ,37088000,8849977
2030,URBAN,INDIA,NER,AS,6182000,1647715
2035,RURAL,INDIA,WR,GJ,37031000,8916934
2031,URBAN,INDIA,NER,AS,6278000,1673302
2036,RURAL,INDIA,WR,GJ,36968000,8982919
2032,URBAN,INDIA,NER,AS,6369000,1697557
2037,RURAL,INDIA,WR,GJ,36907000,9049855
2033,URBAN,INDIA,NER,AS,6456000,1720745
2038,RURAL,INDIA,WR,GJ,36857566,9120128
2034,URBAN,INDIA,NER,AS,6545000,1744467
2039,RURAL,INDIA,WR,GJ,36808199,9190946
2035,URBAN,INDIA,NER,AS,6635000,1768455
2040,RURAL,INDIA,WR,GJ,36758897,9262314
2036,URBAN,INDIA,NER,AS,6725000,1792443
2041,RURAL,INDIA,WR,GJ,36709661,9334236
2037,URBAN,INDIA,NER,AS,6815000,1816431
2038,URBAN,INDIA,NER,AS,6908864,1841449
2039,URBAN,INDIA,NER,AS,7004020,1866811
2021,RURAL,INDIA,NR,HR,17391000,3616012
2040,URBAN,INDIA,NER,AS,7100487,1892523
2022,RURAL,INDIA,NR,HR,17442000,3662101
2041,URBAN,INDIA,NER,AS,7198283,1918589
2023,RURAL,INDIA,NR,HR,17478000,3705565
2024,RURAL,INDIA,NR,HR,17511000,3748887
2025,RURAL,INDIA,NR,HR,17541000,3792053
2026,RURAL,INDIA,NR,HR,17566000,3834614
2027,RURAL,INDIA,NR,HR,17577000,3874559
2028,RURAL,INDIA,NR,HR,17577000,3912469
2029,RURAL,INDIA,NR,HR,17573000,3949852
2030,RURAL,INDIA,NR,HR,17565000,3986683
2031,RURAL,INDIA,NR,HR,17554000,4023170
2032,RURAL,INDIA,NR,HR,17532000,4057443
2033,RURAL,INDIA,NR,HR,17502000,4090132
2034,RURAL,INDIA,NR,HR,17469000,4122365
2035,RURAL,INDIA,NR,HR,17431000,4153645
2036,RURAL,INDIA,NR,HR,17392000,4184902
2037,RURAL,INDIA,NR,HR,17352000,4216130
2038,RURAL,INDIA,NR,HR,17318561,4249178
2039,RURAL,INDIA,NR,HR,17285185,4282485
2040,RURAL,INDIA,NR,HR,17251874,4316054
2041,RURAL,INDIA,NR,HR,17218627,4349885
2021,RURAL,INDIA,NR,HP,6618000,1564376
2021,URBAN,INDIA,ER,JH,9853000,2548627
2022,RURAL,INDIA,NR,HP,6653000,1572650
2022,URBAN,INDIA,ER,JH,10052000,2657912
2023,RURAL,INDIA,NR,HP,6685000,1580214
2023,URBAN,INDIA,ER,JH,10249000,2770257
2024,RURAL,INDIA,NR,HP,6716000,1587542
2024,URBAN,INDIA,ER,JH,10447000,2886561
2025,RURAL,INDIA,NR,HP,6748000,1595106
2025,URBAN,INDIA,ER,JH,10647000,3007231
2026,RURAL,INDIA,NR,HP,6779000,1602434
2026,URBAN,INDIA,ER,JH,10848000,3132129
