Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2027,RURAL,INDIA,NR,HP,6806000,1608816
2027,URBAN,INDIA,ER,JH,11043000,3259324
2028,RURAL,INDIA,NR,HP,6827000,1613780
2028,URBAN,INDIA,ER,JH,11235000,3389722
2029,RURAL,INDIA,NR,HP,6849000,1618981
2029,URBAN,INDIA,ER,JH,11428000,3524615
2030,RURAL,INDIA,NR,HP,6871000,1624181
2030,URBAN,INDIA,ER,JH,11622000,3664146
2031,RURAL,INDIA,NR,HP,6893000,1629382
2031,URBAN,INDIA,ER,JH,11817000,3808461
2032,RURAL,INDIA,NR,HP,6908000,1632927
2032,URBAN,INDIA,ER,JH,12005000,3955077
2033,RURAL,INDIA,NR,HP,6920000,1635764
2033,URBAN,INDIA,ER,JH,12186000,4103972
2034,RURAL,INDIA,NR,HP,6931000,1638364
2034,URBAN,INDIA,ER,JH,12369000,4258222
2035,RURAL,INDIA,NR,HP,6942000,1640964
2035,URBAN,INDIA,ER,JH,12553000,4417654
2036,RURAL,INDIA,NR,HP,6953000,1643564
2036,URBAN,INDIA,ER,JH,12739000,4582790
2037,RURAL,INDIA,NR,HP,6965000,1646401
2037,URBAN,INDIA,ER,JH,12924000,4752718
2038,RURAL,INDIA,NR,HP,6977073,1649255
2038,URBAN,INDIA,ER,JH,13118331,4931444
2039,RURAL,INDIA,NR,HP,6989167,1652114
2039,URBAN,INDIA,ER,JH,13315584,5116892
2040,RURAL,INDIA,NR,HP,7001282,1654977
2040,URBAN,INDIA,ER,JH,13515802,5309313
2041,RURAL,INDIA,NR,HP,7013418,1657846
2041,URBAN,INDIA,ER,JH,13719031,5508970
2021,URBAN,INDIA,ER,OD,8378000,2316720
2022,URBAN,INDIA,ER,OD,8519000,2355710
2021,RURAL,INDIA,NR,JK,9575000,1928209
2023,URBAN,INDIA,ER,OD,8657000,2393870
2022,RURAL,INDIA,NR,JK,9611000,1958298
2024,URBAN,INDIA,ER,OD,8795000,2432031
