ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,UsagePenetration
INDIA,ER,JH,URBAN,2041,1
INDIA,ER,OD,RURAL,2024,0.573965715
INDIA,ER,OD,RURAL,2025,0.612297513
INDIA,ER,OD,RURAL,2026,0.644723273
INDIA,ER,OD,RURAL,2027,0.678764018
INDIA,ER,OD,RURAL,2028,0.714607114
INDIA,ER,OD,RURAL,2029,0.752340359
INDIA,ER,OD,RURAL,2030,0.788119654
INDIA,ER,OD,RURAL,2031,0.825597809
INDIA,ER,OD,RURAL,2032,0.865508633
INDIA,ER,OD,RURAL,2033,0.907828244
INDIA,ER,OD,RURAL,2034,0.944808602
INDIA,ER,OD,RURAL,2035,0.98332882
INDIA,ER,OD,RURAL,2036,1
INDIA,ER,OD,RURAL,2037,1
INDIA,ER,OD,RURAL,2038,1
INDIA,ER,OD,RURAL,2039,1
INDIA,ER,OD,RURAL,2040,1
INDIA,ER,OD,RURAL,2041,1
INDIA,ER,OD,URBAN,2024,0.824368041
INDIA,ER,OD,URBAN,2025,0.832800738
INDIA,ER,OD,URBAN,2026,0.84462241
INDIA,ER,OD,URBAN,2027,0.86135744
INDIA,ER,OD,URBAN,2028,0.885254052
INDIA,ER,OD,URBAN,2029,0.914723515
INDIA,ER,OD,URBAN,2030,0.945196305
INDIA,ER,OD,URBAN,2031,0.982979116
INDIA,ER,OD,URBAN,2032,1
INDIA,ER,OD,URBAN,2033,1
INDIA,ER,OD,URBAN,2034,1
INDIA,ER,OD,URBAN,2035,1
INDIA,ER,OD,URBAN,2036,1
INDIA,ER,OD,URBAN,2037,1
INDIA,ER,OD,URBAN,2038,1
INDIA,ER,OD,URBAN,2039,1
INDIA,ER,OD,URBAN,2040,1
INDIA,ER,OD,URBAN,2041,1
INDIA,ER,SK,RURAL,2024,0.770831912
INDIA,ER,SK,RURAL,2025,0.772251689
INDIA,ER,SK,RURAL,2026,0.774284578
INDIA,ER,SK,RURAL,2027,0.77708373
INDIA,ER,SK,RURAL,2028,0.78108415
INDIA,ER,SK,RURAL,2029,0.786561238
INDIA,ER,SK,RURAL,2030,0.794293263
INDIA,ER,SK,RURAL,2031,0.805547419
INDIA,ER,SK,RURAL,2032,0.821540014
INDIA,ER,SK,RURAL,2033,0.841128457
INDIA,ER,SK,RURAL,2034,0.865862168
INDIA,ER,SK,RURAL,2035,0.895634491
INDIA,ER,SK,RURAL,2036,0.933600097
INDIA,ER,SK,RURAL,2037,0.972176281
INDIA,ER,SK,RURAL,2038,1
INDIA,ER,SK,RURAL,2039,1
INDIA,ER,SK,RURAL,2040,1
INDIA,ER,SK,RURAL,2041,1
