ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration,
RURAL,Q1,INDIA,NR,JK,2026,0.564387186,
RURAL,Q2,INDIA,NER,AS,2026,0.8797198,
RURAL,Q2,INDIA,NR,JK,2026,0.56919547,
RURAL,Q3,INDIA,NER,AS,2026,0.893055135,
RURAL,Q3,INDIA,NR,JK,2026,0.557757017,
RURAL,Q4,INDIA,NER,AS,2026,0.907989261,
RURAL,Q4,INDIA,NR,JK,2026,0.530125736,
RURAL,Q5,INDIA,NER,AS,2026,0.923790473,
RURAL,Q5,INDIA,NR,JK,2026,0.380221679,
URBAN,Q1,INDIA,NER,AS,2026,0.926430983,
URBAN,Q1,INDIA,NR,JK,2026,0.526098185,
URBAN,Q2,INDIA,NER,AS,2026,0.925377642,
URBAN,Q2,INDIA,NR,JK,2026,0.440504554,
URBAN,Q3,INDIA,NER,AS,2026,0.914089294,
URBAN,Q3,INDIA,NR,JK,2026,0.368263006,
URBAN,Q4,INDIA,NER,AS,2026,0.881060061,
URBAN,Q4,INDIA,NR,JK,2026,0.26448021,
URBAN,Q5,INDIA,NER,AS,2026,0.751055875,
URBAN,Q5,INDIA,NR,JK,2026,0.119365117,
RURAL,Q1,INDIA,NER,AS,2027,0.860880016,
RURAL,Q1,INDIA,NR,JK,2027,0.56728169,
RURAL,Q2,INDIA,NER,AS,2027,0.887502602,
RURAL,Q2,INDIA,NR,JK,2027,0.566979276,
RURAL,Q3,INDIA,NER,AS,2027,0.899057163,
RURAL,Q3,INDIA,NR,JK,2027,0.553198319,
RURAL,Q4,INDIA,NER,AS,2027,0.912187701,
RURAL,Q4,INDIA,NR,JK,2027,0.522670542,
RURAL,Q5,INDIA,NER,AS,2027,0.92426509,
RURAL,Q5,INDIA,NR,JK,2027,0.365494667,
URBAN,Q1,INDIA,NER,AS,2027,0.927841857,
URBAN,Q1,INDIA,NR,JK,2027,0.516111713,
URBAN,Q2,INDIA,NER,AS,2027,0.922843936,
URBAN,Q2,INDIA,NR,JK,2027,0.427738961,
URBAN,Q3,INDIA,NER,AS,2027,0.909256065,
URBAN,Q3,INDIA,NR,JK,2027,0.355770053,
URBAN,Q4,INDIA,NER,AS,2027,0.871894764,
URBAN,Q4,INDIA,NR,JK,2027,0.252332475,
URBAN,Q5,INDIA,NER,AS,2027,0.731420845,
URBAN,Q5,INDIA,NR,JK,2027,0.110528278,
RURAL,Q1,INDIA,NER,AS,2028,0.870604298,
RURAL,Q1,INDIA,NR,JK,2028,0.569419725,
RURAL,Q2,INDIA,NER,AS,2028,0.894478285,
RURAL,Q2,INDIA,NR,JK,2028,0.564017719,
RURAL,Q3,INDIA,NER,AS,2028,0.904381722,
RURAL,Q3,INDIA,NR,JK,2028,0.548024071,
RURAL,Q4,INDIA,NER,AS,2028,0.91574613,
RURAL,Q4,INDIA,NR,JK,2028,0.514698716,
RURAL,Q5,INDIA,NER,AS,2028,0.924111289,
RURAL,Q5,INDIA,NR,JK,2028,0.350772432,
URBAN,Q1,INDIA,NER,AS,2028,0.928544418,
URBAN,Q1,INDIA,NR,JK,2028,0.505593377,
URBAN,Q2,INDIA,NER,AS,2028,0.919551124,
URBAN,Q2,INDIA,NR,JK,2028,0.414805186,
URBAN,Q3,INDIA,NER,AS,2028,0.903660113,
URBAN,Q3,INDIA,NR,JK,2028,0.343346767,
URBAN,Q4,INDIA,NER,AS,2028,0.861784135,
URBAN,Q4,INDIA,NR,JK,2028,0.24051582,
URBAN,Q5,INDIA,NER,AS,2028,0.710745867,
URBAN,Q5,INDIA,NR,JK,2028,0.1022715,
RURAL,Q1,INDIA,NER,AS,2029,0.879432319,
RURAL,Q1,INDIA,NR,JK,2029,0.57079263,
RURAL,Q2,INDIA,NER,AS,2029,0.900671741,
RURAL,Q2,INDIA,NR,JK,2029,0.560323173,
RURAL,Q3,INDIA,NER,AS,2029,0.90904696,
RURAL,Q3,INDIA,NR,JK,2029,0.542254015,
RURAL,Q4,INDIA,NER,AS,2029,0.918676566,
RURAL,Q4,INDIA,NR,JK,2029,0.506240859,
RURAL,Q5,INDIA,NER,AS,2029,0.923322507,
RURAL,Q5,INDIA,NR,JK,2029,0.336117268,
URBAN,Q1,INDIA,NER,AS,2029,0.92853573,
URBAN,Q1,INDIA,NR,JK,2029,0.494588827,
URBAN,Q2,INDIA,NER,AS,2029,0.915472789,
URBAN,Q2,INDIA,NR,JK,2029,0.401751308,
URBAN,Q3,INDIA,NER,AS,2029,0.897271395,
URBAN,Q3,INDIA,NR,JK,2029,0.331025713,
URBAN,Q4,INDIA,NER,AS,2029,0.850697991,
URBAN,Q4,INDIA,NR,JK,2029,0.229046736,
URBAN,Q5,INDIA,NER,AS,2029,0.689087955,
URBAN,Q5,INDIA,NR,JK,2029,0.094569578,
RURAL,Q1,INDIA,NER,AS,2030,0.887392346,
RURAL,Q1,INDIA,NR,JK,2030,0.571394898,
RURAL,Q2,INDIA,NER,AS,2030,0.906106074,
RURAL,Q2,INDIA,NR,JK,2030,0.555911145,
RURAL,Q3,INDIA,NER,AS,2030,0.913069003,
RURAL,Q3,INDIA,NR,JK,2030,0.53591015,
RURAL,Q4,INDIA,NER,AS,2030,0.920988298,
RURAL,Q4,INDIA,NR,JK,2030,0.497329227,
RURAL,Q5,INDIA,NER,AS,2030,0.921888898,
RURAL,Q5,INDIA,NR,JK,2030,0.321587388,
URBAN,Q1,INDIA,NER,AS,2030,0.92780816,
URBAN,Q1,INDIA,NR,JK,2030,0.4831454,
URBAN,Q2,INDIA,NER,AS,2030,0.910578999,
URBAN,Q2,INDIA,NR,JK,2030,0.388624184,
URBAN,Q3,INDIA,NER,AS,2030,0.890058558,
URBAN,Q3,INDIA,NR,JK,2030,0.318837261,
URBAN,Q4,INDIA,NER,AS,2030,0.838609353,
URBAN,Q4,INDIA,NR,JK,2030,0.217938485,
URBAN,Q5,INDIA,NER,AS,2030,0.666519156,
URBAN,Q5,INDIA,NR,JK,2030,0.08739621,
RURAL,Q1,INDIA,NER,AS,2031,0.8945121,
RURAL,Q1,INDIA,NR,JK,2031,0.571224229,
RURAL,Q2,INDIA,NER,AS,2031,0.910802099,
RURAL,Q2,INDIA,NR,JK,2031,0.550800215,
RURAL,Q3,INDIA,NER,AS,2031,0.916461679,
RURAL,Q3,INDIA,NR,JK,2031,0.529016612,
RURAL,Q4,INDIA,NER,AS,2031,0.922687726,
RURAL,Q4,INDIA,NR,JK,2031,0.48799752,
RURAL,Q5,INDIA,NER,AS,2031,0.919797405,
RURAL,Q5,INDIA,NR,JK,2031,0.307236523,
URBAN,Q1,INDIA,NER,AS,2031,0.926349388,
URBAN,Q1,INDIA,NR,JK,2031,0.471311733,
URBAN,Q2,INDIA,NER,AS,2031,0.904836744,
URBAN,Q2,INDIA,NR,JK,2031,0.375469112,
URBAN,Q3,INDIA,NER,AS,2031,0.881989573,
URBAN,Q3,INDIA,NR,JK,2031,0.306809465,
URBAN,Q4,INDIA,NER,AS,2031,0.825495674,
URBAN,Q4,INDIA,NR,JK,2031,0.207201265,
URBAN,Q5,INDIA,NER,AS,2031,0.643126337,
URBAN,Q5,INDIA,NR,JK,2031,0.080724466,
RURAL,Q1,INDIA,NER,NE,2021,0.390947768,
RURAL,Q1,INDIA,NR,HP,2021,0.522586392,
RURAL,Q2,INDIA,NER,NE,2021,0.474611691,
RURAL,Q2,INDIA,NR,HP,2021,0.597980516,
RURAL,Q3,INDIA,NER,NE,2021,0.530249216,
RURAL,Q3,INDIA,NR,HP,2021,0.655517401,
RURAL,Q4,INDIA,NER,NE,2021,0.595699093,
RURAL,Q4,INDIA,NR,HP,2021,0.701571353,
RURAL,Q5,INDIA,NER,NE,2021,0.707591895,
RURAL,Q5,INDIA,NR,HP,2021,0.740611641,
URBAN,Q1,INDIA,NER,NE,2021,0.665507173,
URBAN,Q1,INDIA,NR,HP,2021,0.73564779,
URBAN,Q2,INDIA,NER,NE,2021,0.748143535,
URBAN,Q2,INDIA,NR,HP,2021,0.745014823,
URBAN,Q3,INDIA,NER,NE,2021,0.798909923,
URBAN,Q3,INDIA,NR,HP,2021,0.710273075,
URBAN,Q4,INDIA,NER,NE,2021,0.831904946,
URBAN,Q4,INDIA,NR,HP,2021,0.651429246,
URBAN,Q5,INDIA,NER,NE,2021,0.853954208,
URBAN,Q5,INDIA,NR,HP,2021,0.390422742,
RURAL,Q1,INDIA,NER,NE,2022,0.411116483,
RURAL,Q1,INDIA,NR,HP,2022,0.543213001,
RURAL,Q2,INDIA,NER,NE,2022,0.494780564,
RURAL,Q2,INDIA,NR,HP,2022,0.614938309,
RURAL,Q3,INDIA,NER,NE,2022,0.548876301,
RURAL,Q3,INDIA,NR,HP,2022,0.668970805,
RURAL,Q4,INDIA,NER,NE,2022,0.613322662,
RURAL,Q4,INDIA,NR,HP,2022,0.710745126,
RURAL,Q5,INDIA,NER,NE,2022,0.721557426,
RURAL,Q5,INDIA,NR,HP,2022,0.73968914,
URBAN,Q1,INDIA,NER,NE,2022,0.682836317,
URBAN,Q1,INDIA,NR,HP,2022,0.741451803,
URBAN,Q2,INDIA,NER,NE,2022,0.761137052,
URBAN,Q2,INDIA,NR,HP,2022,0.738098324,
URBAN,Q3,INDIA,NER,NE,2022,0.807719314,
URBAN,Q3,INDIA,NR,HP,2022,0.696540856,
URBAN,Q4,INDIA,NER,NE,2022,0.837403346,
URBAN,Q4,INDIA,NR,HP,2022,0.628982364,
URBAN,Q5,INDIA,NER,NE,2022,0.854142595,
URBAN,Q5,INDIA,NR,HP,2022,0.350133709,
RURAL,Q1,INDIA,NER,NE,2023,0.428201348,
RURAL,Q1,INDIA,NR,HP,2023,0.559848468,
RURAL,Q2,INDIA,NER,NE,2023,0.511624662,
RURAL,Q2,INDIA,NR,HP,2023,0.628326308,
RURAL,Q3,INDIA,NER,NE,2023,0.564295108,
RURAL,Q3,INDIA,NR,HP,2023,0.679308434,
RURAL,Q4,INDIA,NER,NE,2023,0.627751063,
RURAL,Q4,INDIA,NR,HP,2023,0.717438044,
RURAL,Q5,INDIA,NER,NE,2023,0.7327262,
RURAL,Q5,INDIA,NR,HP,2023,0.738164338,
URBAN,Q1,INDIA,NER,NE,2023,0.696808847,
URBAN,Q1,INDIA,NR,HP,2023,0.745439516,
URBAN,Q2,INDIA,NER,NE,2023,0.771388596,
URBAN,Q2,INDIA,NR,HP,2023,0.730933827,
URBAN,Q3,INDIA,NER,NE,2023,0.8145112,
URBAN,Q3,INDIA,NR,HP,2023,0.683870972,
URBAN,Q4,INDIA,NER,NE,2023,0.841411559,
URBAN,Q4,INDIA,NR,HP,2023,0.60909402,
URBAN,Q5,INDIA,NER,NE,2023,0.853672928,
URBAN,Q5,INDIA,NR,HP,2023,0.317994758,
RURAL,Q1,INDIA,NER,NE,2024,0.442801536,
RURAL,Q1,INDIA,NR,HP,2024,0.573381211,
RURAL,Q2,INDIA,NER,NE,2024,0.525848248,
RURAL,Q2,INDIA,NR,HP,2024,0.639020352,
RURAL,Q3,INDIA,NER,NE,2024,0.577221524,
RURAL,Q3,INDIA,NR,HP,2024,0.687363817,
RURAL,Q4,INDIA,NER,NE,2024,0.639734678,
RURAL,Q4,INDIA,NR,HP,2024,0.722389633,
RURAL,Q5,INDIA,NER,NE,2024,0.741816345,
RURAL,Q5,INDIA,NR,HP,2024,0.736368308,
URBAN,Q1,INDIA,NER,NE,2024,0.70825857,
URBAN,Q1,INDIA,NR,HP,2024,0.748198755,
URBAN,Q2,INDIA,NER,NE,2024,0.779629921,
URBAN,Q2,INDIA,NR,HP,2024,0.723969875,
URBAN,Q3,INDIA,NER,NE,2024,0.819854468,
URBAN,Q3,INDIA,NR,HP,2024,0.672431262,
URBAN,Q4,INDIA,NER,NE,2024,0.844385626,
URBAN,Q4,INDIA,NR,HP,2024,0.591685528,
URBAN,Q5,INDIA,NER,NE,2024,0.852822468,
URBAN,Q5,INDIA,NR,HP,2024,0.292259916,
RURAL,Q1,INDIA,NER,NE,2025,0.457353115,
RURAL,Q1,INDIA,NR,HP,2025,0.586331949,
RURAL,Q2,INDIA,NER,NE,2025,0.539872537,
RURAL,Q2,INDIA,NR,HP,2025,0.649084572,
RURAL,Q3,INDIA,NER,NE,2025,0.589888616,
RURAL,Q3,INDIA,NR,HP,2025,0.694761197,
RURAL,Q4,INDIA,NER,NE,2025,0.65137727,
RURAL,Q4,INDIA,NR,HP,2025,0.72668815,
RURAL,Q5,INDIA,NER,NE,2025,0.750481087,
RURAL,Q5,INDIA,NR,HP,2025,0.734141592,
URBAN,Q1,INDIA,NER,NE,2025,0.719237048,
URBAN,Q1,INDIA,NR,HP,2025,0.750405656,
URBAN,Q2,INDIA,NER,NE,2025,0.78738902,
URBAN,Q2,INDIA,NR,HP,2025,0.716271428,
URBAN,Q3,INDIA,NER,NE,2025,0.824776539,
URBAN,Q3,INDIA,NR,HP,2025,0.660461212,
URBAN,Q4,INDIA,NER,NE,2025,0.846949523,
URBAN,Q4,INDIA,NR,HP,2025,0.573959271,
URBAN,Q5,INDIA,NER,NE,2025,0.851565072,
URBAN,Q5,INDIA,NR,HP,2025,0.26815498,
RURAL,Q1,INDIA,NER,NE,2026,0.471941576,
RURAL,Q1,INDIA,NR,HP,2026,0.598792217,
RURAL,Q2,INDIA,NER,NE,2026,0.553782837,
RURAL,Q2,INDIA,NR,HP,2026,0.65860268,
RURAL,Q3,INDIA,NER,NE,2026,0.602378545,
RURAL,Q3,INDIA,NR,HP,2026,0.70157217,
RURAL,Q4,INDIA,NER,NE,2026,0.662758234,
RURAL,Q4,INDIA,NR,HP,2026,0.730386898,
RURAL,Q5,INDIA,NER,NE,2026,0.758786776,
RURAL,Q5,INDIA,NR,HP,2026,0.731487461,
URBAN,Q1,INDIA,NER,NE,2026,0.729823356,
URBAN,Q1,INDIA,NR,HP,2026,0.752097388,
URBAN,Q2,INDIA,NER,NE,2026,0.79472846,
URBAN,Q2,INDIA,NR,HP,2026,0.707826096,
URBAN,Q3,INDIA,NER,NE,2026,0.82931989,
URBAN,Q3,INDIA,NR,HP,2026,0.647926644,
URBAN,Q4,INDIA,NER,NE,2026,0.849126954,
URBAN,Q4,INDIA,NR,HP,2026,0.555874887,
URBAN,Q5,INDIA,NER,NE,2026,0.849892334,
URBAN,Q5,INDIA,NR,HP,2026,0.245531063,
RURAL,Q1,INDIA,NER,NE,2027,0.486498872,
RURAL,Q1,INDIA,NR,HP,2027,0.610708298,
RURAL,Q2,INDIA,NER,NE,2027,0.567516562,
RURAL,Q2,INDIA,NR,HP,2027,0.667544206,
RURAL,Q3,INDIA,NER,NE,2027,0.614639527,
RURAL,Q3,INDIA,NR,HP,2027,0.707783306,
RURAL,Q4,INDIA,NER,NE,2027,0.673833622,
RURAL,Q4,INDIA,NR,HP,2027,0.733488502,
RURAL,Q5,INDIA,NER,NE,2027,0.766707082,
RURAL,Q5,INDIA,NR,HP,2027,0.728432582,
URBAN,Q1,INDIA,NER,NE,2027,0.739980178,
URBAN,Q1,INDIA,NR,HP,2027,0.753283938,
URBAN,Q2,INDIA,NER,NE,2027,0.801627375,
URBAN,Q2,INDIA,NR,HP,2027,0.698706174,
URBAN,Q3,INDIA,NER,NE,2027,0.833473107,
URBAN,Q3,INDIA,NR,HP,2027,0.634926306,
URBAN,Q4,INDIA,NER,NE,2027,0.850912408,
URBAN,Q4,INDIA,NR,HP,2027,0.537586884,
URBAN,Q5,INDIA,NER,NE,2027,0.847807048,
URBAN,Q5,INDIA,NR,HP,2027,0.224478225,
RURAL,Q1,INDIA,NER,NE,2028,0.501176705,
RURAL,Q1,INDIA,NR,HP,2028,0.622223273,
RURAL,Q2,INDIA,NER,NE,2028,0.581217808,
RURAL,Q2,INDIA,NR,HP,2028,0.676024399,
RURAL,Q3,INDIA,NER,NE,2028,0.626804028,
RURAL,Q3,INDIA,NR,HP,2028,0.713479988,
RURAL,Q4,INDIA,NER,NE,2028,0.684725068,
RURAL,Q4,INDIA,NR,HP,2028,0.736041458,
RURAL,Q5,INDIA,NER,NE,2028,0.774332163,
RURAL,Q5,INDIA,NR,HP,2028,0.72494723,
URBAN,Q1,INDIA,NER,NE,2028,0.749820391,
URBAN,Q1,INDIA,NR,HP,2028,0.753989541,
URBAN,Q2,INDIA,NER,NE,2028,0.808164957,
URBAN,Q2,INDIA,NR,HP,2028,0.688824318,
URBAN,Q3,INDIA,NER,NE,2028,0.837283356,
URBAN,Q3,INDIA,NR,HP,2028,0.621335918,
URBAN,Q4,INDIA,NER,NE,2028,0.852322709,
URBAN,Q4,INDIA,NR,HP,2028,0.518939253,
URBAN,Q5,INDIA,NER,NE,2028,0.845275357,
URBAN,Q5,INDIA,NR,HP,2028,0.204727344,
RURAL,Q1,INDIA,NER,NE,2029,0.515945835,
RURAL,Q1,INDIA,NR,HP,2029,0.633312587,
RURAL,Q2,INDIA,NER,NE,2029,0.594858089,
RURAL,Q2,INDIA,NR,HP,2029,0.684029191,
RURAL,Q3,INDIA,NER,NE,2029,0.638849276,
RURAL,Q3,INDIA,NR,HP,2029,0.718653815,
RURAL,Q4,INDIA,NER,NE,2029,0.695412506,
RURAL,Q4,INDIA,NR,HP,2029,0.738041695,
RURAL,Q5,INDIA,NER,NE,2029,0.781647874,
RURAL,Q5,INDIA,NR,HP,2029,0.721035021,
URBAN,Q1,INDIA,NER,NE,2029,0.759324869,
URBAN,Q1,INDIA,NR,HP,2029,0.754212903,
URBAN,Q2,INDIA,NER,NE,2029,0.8143277,
URBAN,Q2,INDIA,NR,HP,2029,0.678203824,
URBAN,Q3,INDIA,NER,NE,2029,0.840739306,
URBAN,Q3,INDIA,NR,HP,2029,0.607197449,
URBAN,Q4,INDIA,NER,NE,2029,0.853345022,
URBAN,Q4,INDIA,NR,HP,2029,0.500015279,
URBAN,Q5,INDIA,NER,NE,2029,0.842281038,
URBAN,Q5,INDIA,NR,HP,2029,0.186291665,
RURAL,Q1,INDIA,NER,NE,2030,0.530775405,
RURAL,Q1,INDIA,NR,HP,2030,0.643953135,
RURAL,Q2,INDIA,NER,NE,2030,0.608408376,
RURAL,Q2,INDIA,NR,HP,2030,0.691545621,
RURAL,Q3,INDIA,NER,NE,2030,0.650752384,
RURAL,Q3,INDIA,NR,HP,2030,0.723297223,
RURAL,Q4,INDIA,NER,NE,2030,0.705876094,
RURAL,Q4,INDIA,NR,HP,2030,0.739485821,
RURAL,Q5,INDIA,NER,NE,2030,0.788640285,
RURAL,Q5,INDIA,NR,HP,2030,0.716700213,
URBAN,Q1,INDIA,NER,NE,2030,0.768475071,
URBAN,Q1,INDIA,NR,HP,2030,0.753953176,
URBAN,Q2,INDIA,NER,NE,2030,0.820102208,
URBAN,Q2,INDIA,NR,HP,2030,0.66687137,
URBAN,Q3,INDIA,NER,NE,2030,0.843829368,
URBAN,Q3,INDIA,NR,HP,2030,0.592555964,
URBAN,Q4,INDIA,NER,NE,2030,0.853966006,
URBAN,Q4,INDIA,NR,HP,2030,0.480899145,
URBAN,Q5,INDIA,NER,NE,2030,0.838807492,
URBAN,Q5,INDIA,NR,HP,2030,0.169163949,
RURAL,Q1,INDIA,NER,NE,2031,0.545633124,
RURAL,Q1,INDIA,NR,HP,2031,0.654123288,
RURAL,Q2,INDIA,NER,NE,2031,0.62183928,
RURAL,Q2,INDIA,NR,HP,2031,0.698561794,
RURAL,Q3,INDIA,NER,NE,2031,0.662490461,
RURAL,Q3,INDIA,NR,HP,2031,0.727403452,
RURAL,Q4,INDIA,NER,NE,2031,0.716096291,
RURAL,Q4,INDIA,NR,HP,2031,0.740371119,
RURAL,Q5,INDIA,NER,NE,2031,0.795295675,
RURAL,Q5,INDIA,NR,HP,2031,0.711947733,
URBAN,Q1,INDIA,NER,NE,2031,0.777253044,
URBAN,Q1,INDIA,NR,HP,2031,0.753209968,
URBAN,Q2,INDIA,NER,NE,2031,0.825475141,
URBAN,Q2,INDIA,NR,HP,2031,0.654857084,
URBAN,Q3,INDIA,NER,NE,2031,0.846541655,
URBAN,Q3,INDIA,NR,HP,2031,0.577459366,
URBAN,Q4,INDIA,NER,NE,2031,0.854171794,
URBAN,Q4,INDIA,NR,HP,2031,0.461674897,
URBAN,Q5,INDIA,NER,NE,2031,0.834837818,
URBAN,Q5,INDIA,NR,HP,2031,0.153319649,
RURAL,Q1,INDIA,ER,JH,2021,0.6090048,
RURAL,Q1,INDIA,NR,PB,2021,0.691480024,
RURAL,Q2,INDIA,ER,JH,2021,0.669316531,
RURAL,Q2,INDIA,NR,PB,2021,0.605775047,
RURAL,Q3,INDIA,ER,JH,2021,0.710719241,
RURAL,Q3,INDIA,NR,PB,2021,0.547182028,
RURAL,Q4,INDIA,ER,JH,2021,0.748974889,
RURAL,Q4,INDIA,NR,PB,2021,0.448619815,
RURAL,Q5,INDIA,ER,JH,2021,0.804408198,
RURAL,Q5,INDIA,NR,PB,2021,0.272999944,
URBAN,Q1,INDIA,ER,JH,2021,0.802923433,
URBAN,Q1,INDIA,NR,PB,2021,0.491063797,
URBAN,Q2,INDIA,ER,JH,2021,0.82033724,
URBAN,Q2,INDIA,NR,PB,2021,0.375351232,
URBAN,Q3,INDIA,ER,JH,2021,0.799484911,
URBAN,Q3,INDIA,NR,PB,2021,0.292682659,
URBAN,Q4,INDIA,ER,JH,2021,0.746691483,
URBAN,Q4,INDIA,NR,PB,2021,0.228192444,
URBAN,Q5,INDIA,ER,JH,2021,0.579693652,
URBAN,Q5,INDIA,NR,PB,2021,0.103018732,
RURAL,Q1,INDIA,ER,JH,2022,0.629873782,
RURAL,Q1,INDIA,NR,PB,2022,0.663246396,
RURAL,Q2,INDIA,ER,JH,2022,0.68704758,
