ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,WR,GA,2025,IPT4W,IPT4W_NATGAS,0.04691479406342785
INDIA,WR,GA,2025,IPT4W,IPT4W_MS,0.9386975502326824
INDIA,WR,GJ,2025,IPT4W,IPT4W_E,0.004982168934191276
INDIA,WR,GJ,2025,IPT4W,IPT4W_HSD,0.3506479488046019
INDIA,WR,GJ,2025,IPT4W,IPT4W_NATGAS,0.500826870652531
INDIA,WR,GJ,2025,IPT4W,IPT4W_MS,0.14354301160867583
INDIA,NR,HP,2025,IPT4W,IPT4W_E,0.0026954755721991
INDIA,NR,HP,2025,IPT4W,IPT4W_HSD,0.21846619412406626
INDIA,NR,HP,2025,IPT4W,IPT4W_NATGAS,0.004254093535709132
INDIA,NR,HP,2025,IPT4W,IPT4W_MS,0.7745842367680255
INDIA,NR,HR,2025,IPT4W,IPT4W_E,0.031221333450797414
INDIA,NR,HR,2025,IPT4W,IPT4W_HSD,0.021417562797001136
INDIA,NR,HR,2025,IPT4W,IPT4W_NATGAS,0.8726410385879778
INDIA,NR,HR,2025,IPT4W,IPT4W_MS,0.07472006516422365
INDIA,ER,JH,2025,IPT4W,IPT4W_E,0.0292062833882694
INDIA,ER,JH,2025,IPT4W,IPT4W_HSD,0.7046373721529834
INDIA,ER,JH,2025,IPT4W,IPT4W_NATGAS,0.04035451437623277
INDIA,ER,JH,2025,IPT4W,IPT4W_MS,0.2258018300825145
INDIA,NR,JK,2025,IPT4W,IPT4W_E,0.0018579217559517914
INDIA,NR,JK,2025,IPT4W,IPT4W_HSD,0.6425705094757176
INDIA,NR,JK,2025,IPT4W,IPT4W_NATGAS,0.00022643005619640692
INDIA,NR,JK,2025,IPT4W,IPT4W_MS,0.35534513871213425
INDIA,SR,KA,2025,IPT4W,IPT4W_E,0.061201929027770795
INDIA,SR,KA,2025,IPT4W,IPT4W_HSD,0.5459857967915385
INDIA,SR,KA,2025,IPT4W,IPT4W_NATGAS,0.23158127659546257
INDIA,SR,KA,2025,IPT4W,IPT4W_MS,0.16123099758522835
INDIA,SR,KL,2025,IPT4W,IPT4W_E,0.0195194553954674
INDIA,SR,KL,2025,IPT4W,IPT4W_HSD,0.4887851144261239
INDIA,SR,KL,2025,IPT4W,IPT4W_NATGAS,0.25297627580156246
INDIA,SR,KL,2025,IPT4W,IPT4W_MS,0.23871915437684624
INDIA,WR,MH,2025,IPT4W,IPT4W_E,0.03269939466192976
INDIA,WR,MH,2025,IPT4W,IPT4W_HSD,0.281907518667317
INDIA,WR,MH,2025,IPT4W,IPT4W_NATGAS,0.6202403967909781
INDIA,WR,MH,2025,IPT4W,IPT4W_MS,0.0651526898797752
INDIA,WR,MP,2025,IPT4W,IPT4W_E,0.01963222988177875
INDIA,WR,MP,2025,IPT4W,IPT4W_HSD,0.4867646155109094
INDIA,WR,MP,2025,IPT4W,IPT4W_NATGAS,0.25403969193238135
INDIA,WR,MP,2025,IPT4W,IPT4W_MS,0.23956346267493048
INDIA,NER,NE,2025,IPT4W,IPT4W_E,0.0019026117927409287
INDIA,NER,NE,2025,IPT4W,IPT4W_HSD,0.07393738638498094
INDIA,NER,NE,2025,IPT4W,IPT4W_NATGAS,0.049168262994896496
INDIA,NER,NE,2025,IPT4W,IPT4W_MS,0.8749917388273817
